neuron,state
BDUL,0.04763803069795365
BDUL,0.04205700617908682
BDUL,0.010962726729551767
BDUR,0.07913095476372752
BDUR,0.04504684074222794
BDUR,0.021128164242704296
BDUR,0.06378313733755198
CANR,0.003787123779342764
CEPDL,0.2138728323938425
CEPDL,0.11660354794443505
CEPDL,0.13035678693193511
CEPDL,0.0017939007374736793
CEPDR,0.20370739487798556
CEPDR,0.10703607734109917
CEPDR,0.058202112819213773
CEPDR,0.0013952561289421598
CEPVL,0.2543352601424395
CEPVL,0.12118796093898397
CEPVL,0.07235399641710555
CEPVL,0.011361371338571853
CEPVR,0.20510265100563776
CEPVR,0.10165437512961452
CEPVR,0.12238389476397638
CEPVR,0.0101654375125086
DVA,0.39944189759269716
DVA,0.6210882998355627
DVA,0.18118397449684182
DVA,0.19732908113574263
DVB,0.10584014351537935
DVB,0.014949172813101897
DVB,0.11640422563455438
DVC,0.21626470004843668
DVC,0.2527406816915479
DVC,0.15188359578270413
DVC,0.11341439107229473
FLPL,0.15846123182844551
FLPL,0.10344827587119558
FLPL,0.04544548535279179
FLPL,0.0406617500504423
FLPR,0.10882997808526049
FLPR,0.11999202711986674
FLPR,0.02352003189257625
FLPR,0.04145903926760408
HSNL,0.19593382502351506
HSNL,0.19752840344355255
HSNL,0.10045844130114275
HSNL,0.022722742676954656
HSNR,0.14231612519386358
HSNR,0.33904723939208803
HSNR,0.12218457246161135
HSNR,0.03687462627341881
I1L,0.05461431134167533
I1L,0.010763404425373846
I1L,0.012955949771118384
I1R,0.0725533187243485
I1R,0.015746462030180597
I1R,0.004983057604928856
I2L,0.008770181383374534
I2L,0.03189156866752428
I2L,0.02053019733035308
I2R,0.020928841938521223
I2R,0.01355391668443541
I2R,0.05800279051846006
I3,0.02292206498052854
I3,0.05002989834749701
I3,0.013155272076101851
I4,0.035479370142837384
I4,0.03408411401387395
I4,0.009766792904272278
I5,0.0370739485768378
I5,0.04225632848550244
I5,0.00717560294964603
I6,0.00936814829636189
I6,0.016145106638392605
I6,0.0021925453456597406
IL1DL,0.07793502093774078
IL1DL,0.011361371337799716
IL1DL,0.041658361571846755
IL1DL,0.02411799880482045
IL1DR,0.05361769982373494
IL1DR,0.0179390073766435
IL1DR,0.0512258321725631
IL1DR,0.10145505284187066
IL1L,0.17679888381695635
IL1L,0.09487741678963398
IL1L,0.04484751843996866
IL1L,0.014351205900492351
IL1R,0.15806258721933802
IL1R,0.06218855890388465
IL1R,0.07833366554125437
IL1R,0.004584412996008656
IL1VL,0.033486147100813324
IL1VL,0.01415188359640476
IL1VL,0.0452461630498732
IL1VL,0.11002591191944705
IL1VR,0.0400637831369864
IL1VR,0.012756627466941955
IL1VR,0.030894957147577656
IL1VR,0.09427944988724356
IL2DL,0.11062387882080958
IL2DL,0.04783735300113866
IL2DL,0.010364759817861934
IL2DL,0.00019932230429874165
IL2DR,0.08630655771061202
IL2DR,0.0039864460831955
IL2DR,0.03807056009668069
IL2DR,0.02013155272024842
IL2L,0.12098863864610793
IL2L,0.06936416185316205
IL2L,0.04106039465994292
IL2L,0.05042854295511458
IL2R,0.14211680288598977
IL2R,0.03667530396576866
IL2R,0.01813832967923197
IL2R,0.06338449272709425
IL2VL,0.0867052023213369
IL2VL,0.035080725537472025
IL2VL,0.0025911899540571985
IL2VL,0.00538170221326787
IL2VR,0.08212078932446093
IL2VR,0.021526808851587458
IL2VR,0.006577636037813057
IL2VR,0.05521227825892137
LUAL,0.05780346820778104
LUAL,0.0711580625873904
LUAL,0.07115806259536302
LUAR,0.10803268886075641
LUAR,0.061989236593985954
LUAR,0.12198525016148515
M1,0.02830376719290154
M1,0.021925453460268165
M1,0.009168825992819707
M2L,0.026509866455378065
M2L,0.033087502492540555
M2L,0.012955949770897427
M2R,0.034084114012720976
M2R,0.011162049034706478
M2R,0.018736296592888
M3L,0.044249551525998784
M3L,0.01056408212159892
M3L,0.013553916684220511
M3R,0.035479370143760035
M3R,0.008969503688052594
M3R,0.011760015946113546
M5,0.01056408212109217
M5,0.01813832967932832
MCL,0.0015945784330127508
MCL,0.0
MCL,0.02491528802190043
MCR,0.011361371337812138
MCR,0.0049830576042216536
MCR,0.015746462029872947
MI,0.0207295196343716
MI,0.03707394857738539
MI,0.00697628064587416
NSML,0.03348614710224903
NSML,0.00558102451683776
NSML,0.016543751247318515
NSMR,0.035479370143712254
NSMR,0.016145106639169342
NSMR,0.028702411802492372
OLLL,0.19633246963055706
OLLL,0.07614112019589936
OLLL,0.014550528203566365
OLLL,0.060195335861989274
OLLR,0.19374127966798096
OLLR,0.11819812637372361
OLLR,0.00877018138318066
OLLR,0.13494119992158068
OLQDL,0.11760015947153858
OLQDL,0.03787123779436416
OLQDL,0.02690851106387169
OLQDL,0.020928841939438135
OLQDR,0.12676898546304965
OLQDR,0.037871237792379824
OLQDR,0.044249551526986515
OLQDR,0.03846920470731063
OLQVL,0.13693442297503683
OLQVL,0.042854295399561905
OLQVL,0.06776958341926334
OLQVL,0.02790512258467219
OLQVR,0.1492924058383471
OLQVR,0.06378313733729546
OLQVR,0.02810444488834828
OLQVR,0.04424955152615415
PDB,0.0588000797322306
PDB,0.05501295595211071
PDB,0.00358780147497577
PDEL,0.07075941798334112
PDEL,0.001594578433276925
PDEL,0.04066175005129138
PDER,0.03607733705745125
PDER,0.08530994618665227
