neuron,chem_in,chem_out,gap_deg,pep_in,pep_out,chem_in_z,chem_out_z,gap_deg_z,pep_in_z,pep_out_z,archetype,NT,is_command,is_monoamine,is_sensory,kmeans_k5,kmeans_k6,kmeans_k7,kmeans_k8,cluster,cluster_label
BWM-VR01,9,0,1,0,0,-0.12234429222915194,-1.2279883906391011,-0.6471998517734652,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
BWM-VR02,10,0,2,0,0,0.01838333924686735,-1.2279883906391011,-0.2343309808145305,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
BWM-VR03,7,0,1,0,0,-0.4037995551811905,-1.2279883906391011,-0.6471998517734652,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
BWM-VR04,11,0,3,0,0,0.15911097072288663,-1.2279883906391011,0.17853789014440422,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
BWM-VR05,5,0,0,0,0,-0.6852548181332291,-1.2279883906391011,-1.0600687227324,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
BWM-VR06,6,0,0,0,0,-0.5445271866572098,-1.2279883906391011,-1.0600687227324,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
BWM-VR07,4,0,0,0,0,-0.8259824496092484,-1.2279883906391011,-1.0600687227324,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
BWM-VR08,3,0,0,0,0,-0.9667100810852677,-1.2279883906391011,-1.0600687227324,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
CANR,0,0,1,14,0,-1.3888929755133255,-1.2279883906391011,-0.6471998517734652,-0.25505798043022154,-0.756431360403864,Quiet,Other,0,0,0,1,1,4,2,4,Baseline
CEPDL,14,22,3,9,65,0.5812938651509445,1.5093440146011408,0.17853789014440422,-0.4614095535188119,1.6800205437541176,Multiplex_integrator,DA,0,1,0,3,2,3,6,3,chem_out+/pep_out+
CEPDR,10,23,3,9,65,0.01838333924686735,1.6337682148393335,0.17853789014440422,-0.4614095535188119,1.6800205437541176,Multiplex_integrator,DA,0,1,0,3,2,3,6,3,chem_out+/pep_out+
CEPVL,13,18,3,9,65,0.4405662336749252,1.0116472136483696,0.17853789014440422,-0.4614095535188119,1.6800205437541176,Multiplex_integrator,DA,0,1,0,3,2,3,6,3,chem_out+/pep_out+
CEPVR,8,23,1,9,65,-0.26307192370517124,1.6337682148393335,-0.6471998517734652,-0.4614095535188119,1.6800205437541176,Multiplex_integrator,DA,0,1,0,3,2,3,6,3,chem_out+/pep_out+
CEPshDL,2,0,0,0,0,-1.1074377125612869,-1.2279883906391011,-1.0600687227324,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
CEPshDR,3,0,1,0,0,-0.9667100810852677,-1.2279883906391011,-0.6471998517734652,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
CEPshVL,8,0,0,0,0,-0.26307192370517124,-1.2279883906391011,-1.0600687227324,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
CEPshVR,8,0,1,0,0,-0.26307192370517124,-1.2279883906391011,-0.6471998517734652,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
DVA,15,28,1,10,31,0.7220214966269638,2.255889216030298,-0.6471998517734652,-0.42013923890109384,0.4055687785022503,Wired_broadcaster,ACh,0,0,0,4,4,5,3,5,chem_in+/chem_out+
DVC,5,19,0,6,0,-0.6852548181332291,1.1360714138865624,-1.0600687227324,-0.5852204973719661,-0.756431360403864,Wired_broadcaster,Glu,0,0,0,4,5,1,0,1,Diffuse
FLPL,2,17,0,38,29,-1.1074377125612869,0.8872230134101767,-1.0600687227324,0.735429570395012,0.33060102760508164,Intermediate,Glu,0,0,0,4,5,1,0,1,Diffuse
FLPR,2,12,0,38,29,-1.1074377125612869,0.2651020122192126,-1.0600687227324,0.735429570395012,0.33060102760508164,Intermediate,Glu,0,0,0,4,5,1,4,1,Diffuse
GLRDL,2,0,1,0,0,-1.1074377125612869,-1.2279883906391011,-0.6471998517734652,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
GLRDR,1,0,1,0,0,-1.2481653440373062,-1.2279883906391011,-0.6471998517734652,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
GLRL,4,0,1,0,0,-0.8259824496092484,-1.2279883906391011,-0.6471998517734652,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
GLRR,5,0,1,0,0,-0.6852548181332291,-1.2279883906391011,-0.6471998517734652,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
GLRVR,2,0,0,0,0,-1.1074377125612869,-1.2279883906391011,-1.0600687227324,-0.8328423850782745,-0.756431360403864,Quiet,Unknown,0,0,0,1,1,4,2,4,Baseline
HSNL,10,21,1,4,72,0.01838333924686735,1.384919814362948,-0.6471998517734652,-0.6677611266074023,1.942407671894208,Multiplex_integrator,ACh,0,0,0,3,2,3,6,3,chem_out+/pep_out+
HSNR,15,18,1,4,72,0.7220214966269638,1.0116472136483696,-0.6471998517734652,-0.6677611266074023,1.942407671894208,Multiplex_integrator,ACh,0,0,0,3,2,3,6,3,chem_out+/pep_out+
IL1DL,9,9,4,2,0,-0.12234429222915194,-0.10817058849536586,0.5914067611033389,-0.7503017558428384,-0.756431360403864,Intermediate,Glu,0,0,0,4,1,4,2,4,Baseline
IL1DR,7,8,3,2,0,-0.4037995551811905,-0.23259478873355868,0.17853789014440422,-0.7503017558428384,-0.756431360403864,Quiet,Glu,0,0,0,4,1,4,2,4,Baseline
IL1L,10,17,3,2,0,0.01838333924686735,0.8872230134101767,0.17853789014440422,-0.7503017558428384,-0.756431360403864,Intermediate,Glu,0,0,0,4,4,5,3,5,chem_in+/chem_out+
IL1R,10,19,2,2,0,0.01838333924686735,1.1360714138865624,-0.2343309808145305,-0.7503017558428384,-0.756431360403864,Wired_broadcaster,Glu,0,0,0,4,4,5,3,5,chem_in+/chem_out+
