wbgene,symbol,motif,rho,p,q_global,q_per_motif
WBGene00017641,csr-1,two_in_resid,-0.36050648499702287,7.152697926921945e-07,0.00043666137101748336,9.960708693716787e-05
WBGene00013196,tbc-20,two_in_resid,0.35973538679720024,7.583300288466149e-07,0.0004583195028343171,0.00010392732490574084
WBGene00016800,C50C3.2,total_deg,0.3592704507013899,7.854781415036996e-07,0.000463741445583624,0.0003229437273210925
WBGene00005008,spr-3,two_in_resid,0.3592231738536585,7.882900949654314e-07,0.000463741445583624,0.00010497883273651269
WBGene00009654,sly-1,two_in_resid,0.35918914300736104,7.903201445301511e-07,0.000463741445583624,0.00010497883273651269
WBGene00009202,aptf-4,recip_resid,-0.35859249781188735,8.267334625042307e-07,0.0004804434327579875,0.003321807976548413
WBGene00016145,C26E6.12,two_in_resid,0.3575408247432688,8.948506051817274e-07,0.0005150760083426023,0.00011706272916877325
WBGene00006817,unc-85,two_in_resid,0.3570107417521785,9.311834007779813e-07,0.0005309326639266003,0.00011936790285832056
WBGene00007194,B0491.7,two_in_resid,0.3566954977014151,9.534539976449391e-07,0.0005367936412793216,0.00011936790285832056
WBGene00022518,zfh-2,two_in_resid,0.35661493823525797,9.592262030207275e-07,0.0005367936412793216,0.00011936790285832056
WBGene00007856,C31H5.5,total_deg,0.356388153809107,9.756552967475636e-07,0.0005371555628624425,0.0003829003560053847
WBGene00007089,B0001.4,two_in_resid,0.3563212635409598,9.805521349577713e-07,0.0005371555628624425,0.00011936790285832056
WBGene00003793,npp-7,two_in_resid,0.35619355955100135,9.899661794459991e-07,0.0005371555628624425,0.00011936790285832056
WBGene00004975,spe-39,two_in_resid,0.3561200553157881,9.954237903404077e-07,0.0005371555628624425,0.00011936790285832056
WBGene00008776,F13H10.5,clust_resid,0.35570728400110924,1.0266089724311948e-06,0.0005443650186379834,0.0009848602075523264
WBGene00004207,ptb-1,two_in_resid,-0.35570481984782043,1.026797910664319e-06,0.0005443650186379834,0.00012144346795446205
WBGene00171754,21ur-7848,two_out_resid,0.3541691877749723,1.1512243995636797e-06,0.0006004203571729575,0.0014199530665475442
WBGene00017320,F09G8.5,recip_resid,-0.3541343552829811,1.1542070801071621e-06,0.0006004203571729575,0.003321807976548413
WBGene00005689,sru-26,two_in_resid,0.35403987343538745,1.162334653516596e-06,0.0006004203571729575,0.00013561618106030122
WBGene00019629,cid-1,total_deg,-0.35343639841769114,1.2155495502944378e-06,0.0006225879976330105,0.00045630673118444244
WBGene00001048,dnj-30,two_in_resid,0.3523446082678816,1.3177825576779074e-06,0.0006662455871319933,0.00014956533588677404
WBGene00219680,linc-35,two_in_resid,0.35222655852251905,1.3293151759894825e-06,0.0006662455871319933,0.00014956533588677404
WBGene00019317,K02E10.1,two_in_resid,0.3521803243179592,1.3338581032292795e-06,0.0006662455871319933,0.00014956533588677404
WBGene00008656,lron-5,two_in_resid,0.35179032535064814,1.3727725879329028e-06,0.0006800625382744983,0.00015175089427302955
WBGene00023419,F53F4.16,two_in_resid,0.35163567659448586,1.3885013490351326e-06,0.0006822621506746777,0.00015175089427302955
WBGene00219758,linc-11,two_out_resid,-0.3514934223750742,1.403121103875341e-06,0.0006838857522259504,0.0015143184513574618
WBGene00007914,mys-4,two_in_resid,0.3512806454212892,1.425262852332362e-06,0.0006855323030593104,0.00015234051179095786
WBGene00001585,gfl-1,two_in_resid,0.3512432854030144,1.429184787475977e-06,0.0006855323030593104,0.00015234051179095786
WBGene00021799,Y53G8AL.1,total_deg,-0.35062897724411085,1.49516721754158e-06,0.0007057381840056904,0.0005284188948708243
WBGene00016630,acer-1,two_in_resid,0.3506146789957128,1.4967370310531947e-06,0.0007057381840056904,0.00015759545763552785
WBGene00018894,mff-2,clust_resid,0.3505275154286693,1.506340807715908e-06,0.0007057381840056904,0.0013005746533819148
WBGene00021927,abhd-14,total_deg,0.3503145577996002,1.5300523942287013e-06,0.0007113331277107249,0.0005284188948708243
WBGene00019554,K09C4.10,clust_resid,0.3490755716094886,1.6752200314823766e-06,0.0007728774676544418,0.001314895431983531
WBGene00019525,K08D9.4,total_deg,0.34843016727959214,1.7559477207868742e-06,0.0008039846087039174,0.0005831097162028412
WBGene00012861,Y45F3A.4,two_out_resid,0.34809474674774515,1.7993527954186232e-06,0.000817663791349705,0.0017261791150715994
WBGene00013893,coa-6,two_in_resid,0.34761513215419265,1.8631966222570872e-06,0.0008386640066557998,0.00019087222991020768
WBGene00006778,unc-42,two_in_resid,0.3475405327982637,1.8733187878244311e-06,0.0008386640066557998,0.00019087222991020768
WBGene00010132,F55H2.7,two_in_resid,0.347419164514119,1.8898989147138683e-06,0.0008387232292404745,0.00019087222991020768
WBGene00007015,mdt-11,two_in_resid,0.34733697648038137,1.9012059036689667e-06,0.0008387232292404745,0.00019087222991020768
WBGene00011828,nepr-1,clust_resid,0.34643245034981646,2.0299789643624873e-06,0.0008886410398582621,0.0014605698648588097
WBGene00000941,ddp-1,two_in_resid,0.346299155167863,2.0496437857778873e-06,0.0008886410398582621,0.00020184167064716483
WBGene00018240,cox-17,two_in_resid,0.3462397306275466,2.058468936433315e-06,0.0008886410398582621,0.00020184167064716483
WBGene00019759,M03F4.6,two_in_resid,0.3460917642016187,2.0806009598792763e-06,0.0008895225401779474,0.00020184167064716483
WBGene00018191,frpr-7,total_deg,0.3460297314753498,2.089946733930119e-06,0.0008895225401779474,0.0006675995246283603
WBGene00022603,gck-2,total_deg,-0.3455408005807716,2.1650204643958872e-06,0.0009150315162738365,0.0006675995246283603
WBGene00013325,Y57G11C.36,two_in_resid,0.34536501411834825,2.1926341055254564e-06,0.0009202668060399134,0.0002103466985234088
WBGene00011117,R07E5.11,two_in_resid,0.34472632328918823,2.2958130447293517e-06,0.0009569265434300177,0.00021782472338673873
WBGene00011807,T16G12.6,two_in_resid,0.3441958831286419,2.3850016088054393e-06,0.0009872926522807065,0.00022382721620028438
