,in_deg,out_deg,total_deg,ffl,cycle3,recip,two_in,two_out,clust,ffl_resid,cycle3_resid,recip_resid,two_in_resid,two_out_resid,clust_resid
ASGL,6,3,9,3,6,3,69,36,0.5,11.647722227921891,9.043441612703713,1.8333755698390588,0.5164539906182171,10.183823297799321,0.009361183459202116
ASGR,7,5,12,8,8,4,74,88,0.45714285714285713,6.700033320608643,6.469942703810677,2.041754038762458,-10.150995572753459,32.02599038781591,-0.0362908698245053
ASHL,9,23,32,107,30,6,98,320,0.6618357487922706,17.746315405022983,-3.7372630264236903,-1.411199800358406,-21.29011969020968,-5.8575039891419465,-0.03497848077341437
ASHR,13,19,32,67,35,7,162,271,0.41295546558704455,-3.7087201376935752,2.7346338343884184,-0.2607909729782394,-16.699153665942504,4.140731705488179,-0.12550353561758987
ASIL,3,9,12,16,4,2,30,106,0.7407407407407407,-3.844931136674788,0.9980458429985575,-0.10865478861770761,5.258038402979345,-8.972245306814244,0.08895178541232762
ASIR,3,7,10,10,4,2,36,100,0.6666666666666666,-0.1223111222520501,4.292361259062602,0.44416103666338724,11.801499115938327,14.96601591561307,0.043133523016138375
ASJL,7,6,13,11,10,4,63,57,0.5,4.838723313397274,6.822784995778655,1.7653461261219112,-21.422725929232953,-13.943140223397734,-0.007561632806304841
ASJR,3,6,9,14,4,3,31,76,1.0,8.738998884959315,5.9395189670946245,1.7205689493039347,7.073229472417822,5.935146526826713,0.39059476218841405
ASKL,8,8,16,19,16,3,79,115,0.546875,2.8910344060840245,8.249286086885618,-0.026275404954689385,-21.09017549260463,13.899026866618854,0.036518456767130614
ASKR,7,11,18,32,11,3,61,179,0.5584415584415584,1.5321732773404335,-0.4130035443814535,-0.6166934370808255,-24.781377711630412,33.21120672053402,-0.019759603559458383
AUAL,9,9,18,16,9,4,122,131,0.30864197530864196,-5.195344494017846,-1.6770551139753955,0.458510976609257,6.514105300503189,14.710324567849085,-0.19038157251184956
AUAR,11,7,18,13,5,1,160,92,0.23376623376623376,1.0771377346238609,-4.941106683569334,-2.4662846097006597,14.809588312636777,5.209442415164176,-0.18607969987373238
AVAL,31,6,37,6,14,6,459,77,0.10752688172043011,-5.562930115974972,-19.877618832117157,-1.9659908129702304,11.601541660862438,0.7871392752555835,0.21102687894581162
AVAR,33,6,39,12,24,6,501,91,0.18181818181818182,-0.013067901755988487,-12.43598581777514,-2.4436022245612428,23.353563960037036,14.34799590014336,0.3362399815462039
AVBL,43,4,47,4,13,4,576,49,0.09883720930232558,-0.5411368162383567,-32.93350533000102,-6.2788434572352045,-52.3428638311309,0.09054024700954244,0.5361238332214351
AVBR,42,6,48,7,21,6,541,88,0.1111111111111111,-7.038687937770582,-26.948637253236072,-4.592853576720795,-72.76233569367719,9.371850712138354,0.49468102210101556
AVDL,19,4,23,6,12,4,239,56,0.23684210526315788,6.860516613133889,-3.2331015021052067,-0.5475065181430647,-26.367131421226304,12.360260748356211,0.06306709915058098
AVDR,23,5,28,9,14,5,255,66,0.2,4.098931034360483,-7.996993181453199,-0.7791372539656356,-71.13481717935656,6.512843386918121,0.11394069305376181
AVEL,40,11,51,16,36,11,590,166,0.11818181818181818,-21.895100188046406,-17.62605880773819,-0.4972817283325206,5.126990224750671,12.965341031182334,0.3801903974743701
AVER,40,8,48,11,30,8,627,136,0.128125,-12.311170166412296,-18.684585683642126,-2.668057990410876,42.94218129418914,27.872732864823263,0.43251729680937906
AVFL,7,11,18,24,18,3,63,169,0.5454545454545454,-6.4678267226595665,6.5869964556185465,-0.6166934370808255,-22.781377711630412,23.211206720534022,-0.032746616546471374
AVFR,10,16,26,40,20,4,88,195,0.375,-15.449583437387936,-3.4863425630285363,-1.7151501176700803,-44.51199604526596,-26.293161398202557,-0.197457987441768
AVHL,6,17,23,48,10,3,64,218,0.5686274509803921,-11.41061787303726,-10.016766299744589,-2.0363352071286043,-8.28777100009468,-17.384005259191753,-0.11980204730559929
AVHR,7,23,30,69,14,6,76,345,0.515527950310559,-19.80354680919598,-17.178896040765714,-0.9335883887673946,-13.042141989384305,19.58163938597022,-0.23220808175776653
AVJL,19,6,25,13,8,3,170,64,0.18421052631578946,4.137896598711151,-10.527416918169251,-2.1003223434241596,-95.91059213418526,-9.578000474071075,-0.017820291474672206
AVJR,14,7,21,18,5,3,137,75,0.23469387755102042,5.401931055952332,-8.778657162056312,-1.182701727087177,-53.5623782386013,-12.44927264750416,-0.10876935233498494
AVKL,16,24,40,118,55,11,228,349,0.4505208333333333,22.309523147578062,10.661294815741343,1.6407523464325067,2.570228000421963,6.6363635867515995,-0.08219499331205221
AVKR,15,27,42,167,71,13,232,441,0.5876543209876544,56.950662018834464,22.999005184474264,3.050334314306369,20.879025781396166,53.948543440666754,-0.012906124425878573
AVL,5,3,8,0,5,2,58,46,0.3333333333333333,8.872791120812401,9.322625105532705,1.0721812756345646,4.640442841030904,20.403394985355433,-0.18276638445878485
AVM,11,12,23,42,21,6,140,99,0.4772727272727273,5.770587698567027,2.8231047762705614,1.1516758270966037,-6.549063469760682,-62.63621064090407,-0.01321273556195085
AWAL,7,14,21,54,23,4,75,192,0.7857142857142857,8.948243255706323,6.645523331522483,-0.4459171750024673,-11.596568781068882,1.3038148868930932,0.16512940619644179
AWAR,8,13,21,41,19,5,74,185,0.5769230769230769,0.5844843700271909,3.013497546725514,0.5916850318425739,-27.44882727500209,9.053373810550596,-0.004072995504504462
AWBL,14,11,25,22,19,6,144,145,0.2662337662337662,-10.043308972893144,-1.3672879941843945,0.7116666223506334,-47.64929966451925,-2.32579509235876,-0.13374108700800874
AWBR,8,13,21,30,14,5,102,202,0.4230769230769231,-10.415515629972809,-1.9865024532744862,0.5916850318425739,0.5511727249979117,26.053373810550596,-0.15791914935065826
BAGL,11,9,20,24,18,4,164,159,0.42424242424242425,2.3545177202011303,4.764577900366621,-0.01910043498175451,18.266127599677787,42.27118119273686,-0.02385932107542671
BAGR,15,16,31,51,38,6,240,242,0.37083333333333335,-5.574927901840489,8.117739972826506,-0.90917864664761,31.868059702670593,19.608980164016884,-0.07432014785183333
BDUL,9,14,23,35,17,4,75,133,0.4126984126984127,-10.5018945300747,-1.9128436541355,-0.9235285865934797,-41.84454648189427,-58.13532848821913,-0.1569646643167908
BDUR,6,11,17,27,16,5,71,124,0.6515151515151515,-3.2427578297690616,5.866179948447542,1.6221122687146803,0.34261113878227434,-21.569221591909866,0.047853088262814425
CANR,0,0,0,0,0,0,0,0,0.0,24.582065606899057,15.66001569377373,1.095433542533736,23.07557816253285,20.408645256776936,-0.6010205065318923
CEPDL,15,22,37,68,48,11,212,326,0.3515151515151515,-17.742787945108688,8.234793724634372,2.4323738775091073,2.237677563793625,13.794196496735026,-0.17840576470366948
CEPDR,12,24,36,72,34,7,184,298,0.3680555555555556,-22.790201280859918,-5.221971212942691,-1.4040248303854703,19.06618340207274,-43.48534966302395,-0.26650387609511106
CEPVL,15,17,32,45,31,7,253,224,0.2980392156862745,-16.43623790905186,-0.52941773520552,-0.18558655928815693,44.596329346191084,-13.360150447196759,-0.16124217133783453
CEPVR,9,22,31,59,10,4,157,255,0.3484848484848485,-25.39237458776563,-22.09010531839167,-3.134791887717859,37.9816106662698,-55.8883733779283,-0.33420147524189414
DVA,16,29,45,114,53,6,255,381,0.3599137931034483,-5.997026888478814,0.42550627558122756,-4.741287216770232,28.211576218024476,-36.209289469316616,-0.2434415627366493
DVC,5,19,24,95,25,3,79,311,1.263157894736842,26.091831005430492,2.968101777020358,-2.3503453266141934,21.292757137359047,45.89730520593707,0.5210116835216455
FLPL,2,17,19,63,3,2,17,241,1.9411764705882353,4.489657698524773,-11.900032328428622,-2.0811123839465804,5.208184401556096,6.4942814910326945,1.1509033672969629
FLPR,2,12,14,39,5,0,18,141,1.8333333333333333,4.796207734581614,-1.6642437882685108,-2.6990728207438437,7.566836183953562,-18.66006545289906,1.1136997592367726
HSNL,10,22,32,84,23,3,96,301,0.4863636363636364,-0.6174434806561635,-10.36928881122067,-4.373597593513364,-38.1423781841429,-10.107945065484444,-0.17086178611178598
HSNR,15,19,34,62,38,8,128,255,0.3508771929824561,-9.158857923474585,3.1762668487304353,0.2615976154307491,-80.94713136676788,-12.298411669624045,-0.13666000571953774
IL1DL,11,9,20,19,13,6,126,84,0.32323232323232326,-2.6454822797988697,-0.23542209963337868,1.9808995650182455,-19.733872400322213,-32.72881880726314,-0.1248694220855277
IL1DR,10,7,17,14,12,5,96,80,0.37142857142857144,2.302206627514373,3.3380768092596576,1.772521096094846,-34.06642283695052,-6.570985897279712,-0.07387826346271498
IL1L,13,13,26,44,22,5,194,131,0.3905325443786982,2.459139905574638,-0.3824199174194476,-0.6023434971349557,16.931228472934436,-46.04448462722996,-0.06315902179228178
