wbgene,symbol,freq_pre,freq_post,freq_max,coef_pre_mean,coef_post_mean
WBGene00008993,F21A3.3,0.03,0.01,0.03,-0.0013240962026394097,-0.00013904785891026087
WBGene00003015,lin-29,0.0,0.03,0.03,0.0,-0.0006908677034996462
WBGene00020579,T19D12.4,0.03,0.0,0.03,0.001212339993504097,0.0
WBGene00020582,oig-8,0.0,0.03,0.03,0.0,0.0015045301582599475
WBGene00019868,R04B3.3,0.03,0.0,0.03,-0.0002563631115880976,0.0
WBGene00019319,K02E10.5,0.03,0.01,0.03,-0.0005504002310745426,-2.783618737799593e-05
WBGene00019394,K04F10.1,0.01,0.03,0.03,-2.452684834848485e-07,7.351914239695044e-05
WBGene00012033,T26C5.3,0.0,0.03,0.03,0.0,-0.0001703381709577836
WBGene00000289,cam-1,0.0,0.03,0.03,0.0,0.00021667083392269319
WBGene00007374,C06C3.3,0.03,0.0,0.03,0.003264694249401591,0.0
WBGene00007375,C06C3.4,0.03,0.0,0.03,0.0007702949285200544,0.0
WBGene00018078,F35H12.6,0.03,0.0,0.03,0.00037877304818863955,0.0
WBGene00019718,M01H9.2,0.0,0.03,0.03,0.0,-0.0011402272679873512
WBGene00022853,ZK1127.6,0.03,0.0,0.03,9.627373101605859e-05,0.0
WBGene00012856,Y44A6D.6,0.0,0.03,0.03,0.0,-0.0007723832122308782
WBGene00012703,nhr-145,0.03,0.0,0.03,-0.0008332343863725328,0.0
WBGene00008440,DY3.8,0.03,0.0,0.03,-0.0004833321982438328,0.0
WBGene00008330,C55A6.1,0.0,0.03,0.03,0.0,-0.0002189732741104601
WBGene00011270,R31.2,0.0,0.03,0.03,0.0,0.0010595862050451906
WBGene00007564,mrps-22,0.03,0.0,0.03,-0.0003739835597253139,0.0
WBGene00010224,F58A3.4,0.01,0.03,0.03,0.003164115251673417,0.0006519783552073324
WBGene00023418,R06F6.12,0.0,0.03,0.03,0.0,-0.0005497307679573523
WBGene00010735,frpr-15,0.03,0.0,0.03,0.0015359319896203318,0.0
WBGene00010013,F54B3.1,0.0,0.03,0.03,0.0,-0.00012552918718314202
WBGene00000904,daf-8,0.0,0.03,0.03,0.0,0.0007878630583305852
WBGene00011807,T16G12.6,0.03,0.0,0.03,-0.00037828662581045817,0.0
WBGene00003743,nlp-5,0.03,0.0,0.03,0.0007001595557756023,0.0
WBGene00019428,dgk-5,0.0,0.03,0.03,0.0,-0.00037191946117373225
WBGene00010721,K09E4.3,0.03,0.0,0.03,-0.001333318127881296,0.0
WBGene00011813,T16H12.3,0.0,0.03,0.03,0.0,7.625941938170023e-05
WBGene00001423,fib-1,0.0,0.03,0.03,0.0,-0.000333489249713693
WBGene00004747,sdc-3,0.0,0.03,0.03,0.0,-9.500208497269867e-05
WBGene00017220,F07F6.8,0.02,0.03,0.03,-0.00010276668330707081,-0.0010490493044357718
WBGene00009980,F53F1.2,0.0,0.03,0.03,0.0,0.0013846433504405608
WBGene00195146,F54D5.17,0.02,0.03,0.03,0.0012540618458988081,-0.0030681148859453074
WBGene00018087,F36D4.1,0.03,0.0,0.03,0.0019251627020488965,0.0
WBGene00010744,K10D6.4,0.03,0.01,0.03,0.0025387514592798244,8.236432705569536e-06
WBGene00012335,W07G4.1,0.03,0.0,0.03,0.00045353492049646964,0.0
WBGene00001874,him-17,0.0,0.03,0.03,0.0,-0.000480506479338402
WBGene00012276,his-74,0.0,0.03,0.03,0.0,-0.001026133835488163
WBGene00003929,pat-2,0.0,0.03,0.03,0.0,0.0007205000955177919
WBGene00000521,cky-1,0.03,0.0,0.03,-0.0005751639685186001,0.0
WBGene00012101,zip-10,0.03,0.0,0.03,0.0015855540023946057,0.0
WBGene00010080,F55A11.7,0.0,0.03,0.03,0.0,-0.0009290460398488679
WBGene00000970,dhs-6,0.0,0.03,0.03,0.0,6.157153597037214e-05
WBGene00000729,col-156,0.0,0.03,0.03,0.0,0.0024433693933093516
WBGene00007799,nrx-1,0.03,0.0,0.03,-7.576224138038794e-05,0.0
WBGene00011142,R08D7.1,0.01,0.03,0.03,7.091449728329364e-07,-0.00036703684179650175
WBGene00004040,pld-1,0.0,0.03,0.03,0.0,0.00015292485185163827
WBGene00003999,pgp-5,0.03,0.0,0.03,-0.0012370428328355248,0.0
WBGene00000535,cpi-1,0.0,0.03,0.03,0.0,0.001230424224657482
WBGene00015330,C02B10.5,0.03,0.0,0.03,-0.000559696120658624,0.0
WBGene00019692,fubl-4,0.03,0.0,0.03,0.0016630664572292232,0.0
WBGene00018508,F46F11.1,0.03,0.0,0.03,9.673082565215917e-05,0.0
WBGene00020886,ttr-6,0.0,0.03,0.03,0.0,-0.000770039393902655
WBGene00001590,C45G3.3,0.03,0.0,0.03,-0.00045983934511610055,0.0
WBGene00005710,sru-47,0.03,0.02,0.03,0.0025394469299478,-0.0008248222388863452
WBGene00022722,tomm-70,0.03,0.0,0.03,-0.0005401687348087577,0.0
WBGene00045248,ZK180.7,0.0,0.03,0.03,0.0,-0.00011922543488951654
WBGene00018089,F36D4.4,0.0,0.03,0.03,0.0,-0.0008671829627743067
WBGene00021425,ppgn-1,0.01,0.03,0.03,0.00013372948300441215,-0.0002846350652064445
WBGene00000270,bre-5,0.0,0.03,0.03,0.0,-0.000512905252098244
WBGene00016752,C48E7.7,0.03,0.0,0.03,-0.001043352405792376,0.0
WBGene00015220,B0507.3,0.0,0.03,0.03,0.0,-0.0014941692480684005
WBGene00019070,F58H7.5,0.0,0.03,0.03,0.0,-0.0007599180575513157
WBGene00006436,ttn-1,0.03,0.0,0.03,0.0009434062524813194,0.0
WBGene00017431,cest-33,0.03,0.0,0.03,0.0003626459101720045,0.0
