FilePath,Tag,Text
./data/temp/VC5.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/BAGR.morph.xml,{http://morphml.org/metadata/schema}notes,SensoryNeuron
./data/temp/LeakConductance.xml,{http://morphml.org/metadata/schema}notes,ChannelML file containing a single Channel description
./data/temp/LeakConductance.xml,{http://morphml.org/metadata/schema}contributor,
./data/temp/LeakConductance.xml,{http://morphml.org/metadata/schema}name,Padraig Gleeson
./data/temp/LeakConductance.xml,{http://morphml.org/metadata/schema}comment,Note: This is not (yet) based on experimental data from C. elegans
./data/temp/LeakConductance.xml,{http://morphml.org/metadata/schema}notes,Simple example of a leak/passive conductance.
./data/temp/RMDR.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/IL2VL.morph.xml,{http://morphml.org/metadata/schema}notes,SensoryNeuron
./data/temp/SAADL.morph.xml,{http://morphml.org/metadata/schema}notes,Interneuron
./data/temp/SABVR.morph.xml,{http://morphml.org/metadata/schema}notes,Interneuron
./data/temp/URXR.morph.xml,{http://morphml.org/metadata/schema}notes,Interneuron
./data/temp/AVEL.morph.xml,{http://morphml.org/metadata/schema}notes,Interneuron
./data/temp/DD1.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/ASIL.morph.xml,{http://morphml.org/metadata/schema}notes,SensoryNeuron
./data/temp/ASER.morph.xml,{http://morphml.org/metadata/schema}notes,SensoryNeuron
./data/temp/Octapamine_GJ.xml,{http://morphml.org/metadata/schema}notes,ChannelML file describing a single synaptic mechanism
./data/temp/Octapamine_GJ.xml,{http://morphml.org/metadata/schema}contributor,
./data/temp/Octapamine_GJ.xml,{http://morphml.org/metadata/schema}name,Padraig Gleeson
./data/temp/Octapamine_GJ.xml,{http://morphml.org/metadata/schema}comment,Note: This is not (yet) based on experimental data from C. elegans
./data/temp/Octapamine_GJ.xml,{http://morphml.org/metadata/schema}notes,Description of an electrical synapse at a gap junction
./data/temp/Serotonin_GJ.xml,{http://morphml.org/metadata/schema}notes,ChannelML file describing a single synaptic mechanism
