neuron,mse_model,mse_identity,delta_identity_minus_model
URADR,1.0027856842564833,2.189841941143005,1.1870562568865215
URAVL,1.0045227526380087,2.189841941143005,1.185319188504996
URAVR,1.0085929802469162,2.1898419411430052,1.181248960896089
URBL,1.0020068939016797,2.189841941143005,1.187835047241325
URBR,1.002475143011615,2.1898419411430057,1.1873667981313907
URXL,1.003419889311442,2.1898419411430057,1.1864220518315636
URXR,1.0069668217583687,2.189841941143005,1.182875119384636
URYDL,1.006025253782375,2.1898419411430057,1.1838166873606306
URYDR,1.0029388693141703,2.1898419411430052,1.186903071828835
URYVL,1.01113664026924,2.189841941143006,1.178705300873766
URYVR,1.0003724543880546,2.1898419411430052,1.1894694867549507
