,Gene_Idx,Saliency
2083,2083,5.2760122e-05
2628,2628,5.2742325e-05
10537,10537,5.273882e-05
262,262,5.2734205e-05
21032,21032,5.27281e-05
11555,11555,5.2725416e-05
7109,7109,5.2725376e-05
11872,11872,5.272518e-05
19026,19026,5.2720265e-05
2831,2831,5.2708292e-05
16276,16276,5.2697153e-05
6587,6587,5.269529e-05
19315,19315,5.268847e-05
21526,21526,5.2684365e-05
22082,22082,5.2669962e-05
13418,13418,5.2668827e-05
9959,9959,5.2662905e-05
2771,2771,5.265681e-05
4158,4158,5.2652988e-05
6353,6353,5.26515e-05
17618,17618,5.2647072e-05
16642,16642,5.2645002e-05
21667,21667,5.2644824e-05
4996,4996,5.2639833e-05
1903,1903,5.2637708e-05
7255,7255,5.263761e-05
5014,5014,5.261616e-05
6434,6434,5.2615997e-05
12609,12609,5.261599e-05
21746,21746,5.261341e-05
4365,4365,5.26111e-05
2936,2936,5.26101e-05
17352,17352,5.260677e-05
7367,7367,5.260638e-05
21202,21202,5.260445e-05
13606,13606,5.2594656e-05
16100,16100,5.2594554e-05
19589,19589,5.2594205e-05
6068,6068,5.25909e-05
11422,11422,5.2583924e-05
18352,18352,5.258224e-05
6213,6213,5.2580912e-05
20897,20897,5.2580366e-05
10982,10982,5.25684e-05
12303,12303,5.256789e-05
13028,13028,5.2551324e-05
19281,19281,5.2549465e-05
1026,1026,5.2536223e-05
20355,20355,5.253116e-05
2923,2923,5.252133e-05
14643,14643,5.2513242e-05
11997,11997,5.250846e-05
11865,11865,5.25066e-05
7744,7744,5.250007e-05
4034,4034,5.249826e-05
1424,1424,5.2493382e-05
5247,5247,5.249131e-05
16086,16086,5.2490224e-05
2028,2028,5.2490104e-05
2759,2759,5.248298e-05
12512,12512,5.248286e-05
10160,10160,5.2475203e-05
7629,7629,5.24735e-05
9514,9514,5.2462852e-05
11458,11458,5.2462594e-05
876,876,5.2454296e-05
14237,14237,5.2453575e-05
4245,4245,5.244996e-05
8955,8955,5.2446936e-05
5385,5385,5.2440846e-05
4410,4410,5.2438667e-05
6345,6345,5.2438194e-05
8815,8815,5.2434418e-05
10106,10106,5.2429234e-05
20980,20980,5.2427942e-05
15371,15371,5.242425e-05
14998,14998,5.2423336e-05
9296,9296,5.2418996e-05
10543,10543,5.2401756e-05
315,315,5.2398955e-05
1445,1445,5.2387473e-05
9811,9811,5.2377054e-05
11437,11437,5.237601e-05
6487,6487,5.2367086e-05
4053,4053,5.236659e-05
18691,18691,5.2366308e-05
9569,9569,5.2364067e-05
8156,8156,5.236358e-05
2114,2114,5.235338e-05
11616,11616,5.2353294e-05
18398,18398,5.235148e-05
6496,6496,5.2349333e-05
478,478,5.2334297e-05
19436,19436,5.2326915e-05
26,26,5.2325726e-05
9353,9353,5.2324143e-05
15731,15731,5.231552e-05
3841,3841,5.2308824e-05
5830,5830,5.2307132e-05
1947,1947,5.2302923e-05
7503,7503,5.2302166e-05
13570,13570,5.2301064e-05
13081,13081,5.230099e-05
15160,15160,5.2300027e-05
1764,1764,5.2299092e-05
11044,11044,5.2298845e-05
20032,20032,5.229577e-05
13106,13106,5.2291172e-05
19169,19169,5.229057e-05
18722,18722,5.227485e-05
8775,8775,5.22737e-05
9551,9551,5.2267947e-05
697,697,5.226149e-05
6138,6138,5.2255822e-05
11101,11101,5.2253865e-05
14798,14798,5.225274e-05
3329,3329,5.2252235e-05
8676,8676,5.2247466e-05
15515,15515,5.2245825e-05
16855,16855,5.223828e-05
1215,1215,5.2230873e-05
360,360,5.2222305e-05
19644,19644,5.2220515e-05
6661,6661,5.2210784e-05
3732,3732,5.2209634e-05
6854,6854,5.2208903e-05
12222,12222,5.2205527e-05
5694,5694,5.220524e-05
3898,3898,5.220172e-05
20623,20623,5.2199863e-05
22166,22166,5.2193507e-05
1125,1125,5.2190004e-05
5143,5143,5.218655e-05
16557,16557,5.2174317e-05
15085,15085,5.2173033e-05
3084,3084,5.217106e-05
13516,13516,5.2170235e-05
4323,4323,5.2159856e-05
2260,2260,5.2155934e-05
18104,18104,5.2153115e-05
19976,19976,5.2148393e-05
2861,2861,5.214552e-05
12796,12796,5.214445e-05
11956,11956,5.213874e-05
15793,15793,5.2135536e-05
3918,3918,5.2130097e-05
9375,9375,5.2130006e-05
17482,17482,5.2125477e-05
13463,13463,5.2124204e-05
20000,20000,5.2122574e-05
18064,18064,5.212192e-05
9730,9730,5.211225e-05
3131,3131,5.211094e-05
15100,15100,5.2102372e-05
12324,12324,5.210065e-05
20860,20860,5.2092044e-05
19874,19874,5.2081083e-05
7461,7461,5.207909e-05
16579,16579,5.207884e-05
14014,14014,5.2075287e-05
9620,9620,5.2073763e-05
7058,7058,5.207086e-05
2121,2121,5.207052e-05
21092,21092,5.2061816e-05
20914,20914,5.2052677e-05
4782,4782,5.2045485e-05
558,558,5.2043422e-05
1757,1757,5.2038155e-05
17449,17449,5.203188e-05
6239,6239,5.2018e-05
12504,12504,5.201696e-05
19091,19091,5.2016414e-05
5635,5635,5.2014355e-05
18058,18058,5.2014148e-05
20356,20356,5.2010575e-05
7474,7474,5.2008065e-05
2893,2893,5.1999297e-05
2552,2552,5.199708e-05
11914,11914,5.1978528e-05
18655,18655,5.1972333e-05
13053,13053,5.1971903e-05
18986,18986,5.197173e-05
21530,21530,5.196703e-05
20278,20278,5.196203e-05
12488,12488,5.196055e-05
2175,2175,5.193726e-05
8772,8772,5.193673e-05
3154,3154,5.193133e-05
20690,20690,5.1928768e-05
21144,21144,5.192535e-05
527,527,5.1925035e-05
3517,3517,5.1921987e-05
2367,2367,5.189438e-05
14678,14678,5.1887186e-05
17689,17689,5.188692e-05
8326,8326,5.1886826e-05
2652,2652,5.1881783e-05
2782,2782,5.187856e-05
8145,8145,5.1874442e-05
12387,12387,5.187369e-05
20489,20489,5.1867017e-05
2401,2401,5.1864434e-05
12114,12114,5.1861618e-05
20494,20494,5.1855288e-05
2877,2877,5.1845218e-05
14525,14525,5.1843595e-05
6175,6175,5.1835217e-05
21715,21715,5.1827774e-05
1572,1572,5.1825096e-05
13461,13461,5.182412e-05
10600,10600,5.182071e-05
19969,19969,5.1819126e-05
7777,7777,5.1817005e-05
10001,10001,5.1816784e-05
20358,20358,5.1814066e-05
497,497,5.1811046e-05
3137,3137,5.1808554e-05
8708,8708,5.1808252e-05
20334,20334,5.180677e-05
16003,16003,5.1805433e-05
15000,15000,5.1802042e-05
16655,16655,5.1799827e-05
17636,17636,5.1795098e-05
10595,10595,5.178898e-05
21215,21215,5.1781124e-05
4055,4055,5.1777315e-05
21049,21049,5.1773794e-05
12616,12616,5.1773455e-05
13508,13508,5.1772702e-05
6920,6920,5.1769675e-05
19421,19421,5.1766405e-05
9810,9810,5.176192e-05
12277,12277,5.176065e-05
8522,8522,5.1759915e-05
500,500,5.1756437e-05
19861,19861,5.1754938e-05
7419,7419,5.1751955e-05
7735,7735,5.174989e-05
17779,17779,5.1748782e-05
13572,13572,5.1746894e-05
6362,6362,5.1746796e-05
