Neuron,Cluster,TSNE_1,TSNE_2,NeuronName,Canonical
Neuron_295,0,0.36697716,-18.144327,Unlabeled,❌
Neuron_296,6,-27.444372,-5.7744026,Unlabeled,❌
Neuron_297,0,-7.9056225,-20.4603,Unlabeled,❌
Neuron_298,0,15.981968,-13.246085,Unlabeled,❌
Neuron_299,6,-42.55814,11.83966,Unlabeled,❌
Neuron_300,6,-45.13264,15.177976,Unlabeled,❌
Neuron_301,6,-12.29499,-22.299988,Unlabeled,❌
Neuron_302,6,-24.667965,-8.796623,Unlabeled,❌
Neuron_303,6,-32.96735,2.6492774,Unlabeled,❌
Neuron_304,6,-38.026924,8.784409,Unlabeled,❌
Neuron_305,6,-28.743103,-1.7501601,Unlabeled,❌
Neuron_306,6,-29.190907,-1.1082312,Unlabeled,❌
Neuron_307,0,21.422047,-17.962639,Unlabeled,❌
Neuron_308,6,-37.395588,6.1878304,Unlabeled,❌
Neuron_309,0,13.980897,-12.249042,Unlabeled,❌
Neuron_310,6,-12.470483,-20.90097,Unlabeled,❌
Neuron_311,6,-14.891075,-20.42028,Unlabeled,❌
Neuron_312,6,-40.17636,9.128037,Unlabeled,❌
Neuron_313,6,-42.154354,11.418759,Unlabeled,❌
Neuron_314,6,-42.72154,12.294674,Unlabeled,❌
Neuron_315,6,-40.694168,9.859989,Unlabeled,❌
Neuron_316,0,17.725813,10.671714,Unlabeled,❌
Neuron_317,0,10.976832,-20.390808,Unlabeled,❌
Neuron_318,0,22.107124,-5.2023,Unlabeled,❌
Neuron_319,0,26.77867,3.1167684,Unlabeled,❌
Neuron_320,0,13.986771,-20.461073,Unlabeled,❌
Neuron_321,0,-5.5805306,-20.872797,Unlabeled,❌
Neuron_322,0,7.0009894,-23.00235,Unlabeled,❌
Neuron_323,0,30.442738,6.677719,Unlabeled,❌
Neuron_324,0,-3.161519,-22.648108,Unlabeled,❌
Neuron_325,6,-21.629135,-9.066713,Unlabeled,❌
Neuron_326,0,45.446045,18.783886,Unlabeled,❌
Neuron_327,0,-6.071966,-18.478827,Unlabeled,❌
Neuron_328,0,46.084908,18.881088,Unlabeled,❌
Neuron_329,0,4.503398,7.263132,Unlabeled,❌
Neuron_330,0,1.8454657,-23.191404,Unlabeled,❌
Neuron_331,0,2.2239404,-21.579739,Unlabeled,❌
Neuron_332,6,-26.424341,-5.7616515,Unlabeled,❌
Neuron_333,6,-29.61826,-0.5133344,Unlabeled,❌
Neuron_334,6,-40.605263,8.908137,Unlabeled,❌
Neuron_335,6,-12.13107,5.0960855,Unlabeled,❌
Neuron_336,0,28.58395,4.6311893,Unlabeled,❌
Neuron_337,6,-20.924522,-11.702496,Unlabeled,❌
Neuron_338,6,-40.722275,9.429601,Unlabeled,❌
Neuron_339,0,32.090397,4.407266,Unlabeled,❌
Neuron_340,0,3.1578977,7.9795003,Unlabeled,❌
Neuron_341,0,-11.727664,-22.78012,Unlabeled,❌
Neuron_342,0,17.016323,-10.455291,Unlabeled,❌
Neuron_343,6,-36.919323,5.988786,Unlabeled,❌
Neuron_344,6,-14.063091,4.997279,Unlabeled,❌
Neuron_345,6,-43.11567,12.146481,Unlabeled,❌
Neuron_346,6,-12.740972,-20.2926,Unlabeled,❌
Neuron_347,0,7.791157,-23.073202,Unlabeled,❌
Neuron_348,6,-12.113501,-19.090044,Unlabeled,❌
Neuron_349,6,-39.78171,11.531226,Unlabeled,❌
Neuron_350,6,-25.428114,-5.6066556,Unlabeled,❌
Neuron_351,0,18.422657,-10.566259,Unlabeled,❌
Neuron_352,0,17.989607,11.1704,Unlabeled,❌
Neuron_353,0,24.362703,-8.437541,Unlabeled,❌
Neuron_354,6,-29.553156,9.57877,Unlabeled,❌
Neuron_355,0,-7.6560993,-23.18726,Unlabeled,❌
Neuron_356,3,-50.290253,18.316597,Unlabeled,❌
Neuron_357,0,20.981236,-9.474465,Unlabeled,❌
Neuron_358,0,27.359877,-8.364865,Unlabeled,❌
Neuron_359,6,-8.58958,9.769984,Unlabeled,❌
Neuron_360,0,8.493443,-22.732504,Unlabeled,❌
Neuron_361,0,1.2955643,-19.296366,Unlabeled,❌
Neuron_362,0,35.377377,20.839064,Unlabeled,❌
Neuron_363,0,-12.218072,-22.859232,Unlabeled,❌
Neuron_364,6,-18.688316,5.241002,Unlabeled,❌
Neuron_365,0,5.78904,-17.558529,Unlabeled,❌
Neuron_366,6,-19.058561,-9.393394,Unlabeled,❌
Neuron_367,6,-13.861097,6.562609,Unlabeled,❌
Neuron_368,0,3.349871,7.3894596,Unlabeled,❌
Neuron_369,0,2.7154996,-17.597475,Unlabeled,❌
Neuron_370,0,15.804498,10.654404,Unlabeled,❌
Neuron_371,6,-41.55818,12.116256,Unlabeled,❌
Neuron_372,6,-31.183754,1.6992375,Unlabeled,❌
Neuron_373,0,-8.759233,-17.591513,Unlabeled,❌
Neuron_374,6,-20.77103,-11.506118,Unlabeled,❌
Neuron_375,0,1.3251344,7.0444536,Unlabeled,❌
