gene,saliency
WBGene00010102,2.7978488e-13
WBGene00001233,2.7971513e-13
WBGene00004855,2.796891e-13
WBGene00003435,2.7961447e-13
WBGene00019257,2.795905e-13
WBGene00018741,2.7958e-13
WBGene00008954,2.7953028e-13
WBGene00018518,2.7932507e-13
WBGene00009679,2.792488e-13
WBGene00206475,2.7923654e-13
WBGene00019819,2.7918187e-13
WBGene00003771,2.790482e-13
WBGene00004129,2.7903827e-13
WBGene00015130,2.7903325e-13
WBGene00021083,2.7894267e-13
WBGene00020040,2.788763e-13
WBGene00018731,2.788576e-13
WBGene00010571,2.7885552e-13
WBGene00044180,2.7876743e-13
WBGene00013176,2.7870325e-13
WBGene00235297,2.786467e-13
WBGene00000681,2.7860144e-13
WBGene00005854,2.7848863e-13
WBGene00018811,2.784794e-13
WBGene00199134,2.7843138e-13
WBGene00010422,2.783871e-13
WBGene00012996,2.783696e-13
WBGene00021862,2.7834001e-13
WBGene00017307,2.7820508e-13
WBGene00017405,2.7819156e-13
WBGene00003694,2.7813472e-13
WBGene00013835,2.78064e-13
WBGene00019392,2.7801635e-13
WBGene00044148,2.779985e-13
WBGene00005851,2.7789064e-13
WBGene00011617,2.778794e-13
WBGene00019015,2.7786944e-13
WBGene00021925,2.7775986e-13
WBGene00019531,2.7774842e-13
WBGene00019549,2.7770283e-13
WBGene00016685,2.7768773e-13
WBGene00012144,2.7765347e-13
WBGene00045252,2.7765206e-13
WBGene00016949,2.7762512e-13
WBGene00006232,2.7755345e-13
WBGene00005638,2.7755248e-13
WBGene00019118,2.7754204e-13
WBGene00017716,2.774992e-13
WBGene00011350,2.774821e-13
WBGene00016710,2.7747363e-13
WBGene00010308,2.773881e-13
WBGene00018015,2.7738199e-13
WBGene00022152,2.77325e-13
WBGene00022537,2.7727338e-13
WBGene00044042,2.7721434e-13
WBGene00001237,2.771992e-13
WBGene00009372,2.7714563e-13
WBGene00015743,2.7714511e-13
WBGene00020143,2.7713118e-13
WBGene00010651,2.7712313e-13
WBGene00003721,2.7707003e-13
WBGene00016907,2.770301e-13
WBGene00012258,2.7700002e-13
WBGene00003688,2.7677242e-13
WBGene00023245,2.7670322e-13
WBGene00006038,2.7670046e-13
WBGene00016761,2.766273e-13
WBGene00044508,2.7652316e-13
WBGene00016574,2.7642155e-13
WBGene00271796,2.7638333e-13
WBGene00022013,2.7637408e-13
WBGene00010891,2.7630909e-13
WBGene00020333,2.7629852e-13
WBGene00013965,2.7625206e-13
WBGene00009582,2.7615464e-13
WBGene00019168,2.7608373e-13
WBGene00000496,2.760631e-13
WBGene00010436,2.7605866e-13
WBGene00219437,2.7602787e-13
WBGene00219606,2.7594897e-13
WBGene00008585,2.7590481e-13
WBGene00001400,2.7586828e-13
WBGene00206418,2.7580837e-13
WBGene00219684,2.7578867e-13
WBGene00000718,2.7578528e-13
WBGene00003012,2.757812e-13
WBGene00008364,2.7577018e-13
WBGene00013228,2.7564225e-13
WBGene00009490,2.756149e-13
WBGene00014020,2.756065e-13
