gene,integrated_gradients
WBGene00020562,2.4301366e-07
WBGene00010731,2.4300255e-07
WBGene00022367,2.4298163e-07
WBGene00020935,2.4293962e-07
WBGene00013719,2.4265574e-07
WBGene00012551,2.4263517e-07
WBGene00006812,2.4208077e-07
WBGene00000232,2.4204252e-07
WBGene00015747,2.4178797e-07
WBGene00220000,2.415507e-07
WBGene00200809,2.4152115e-07
WBGene00007242,2.4149548e-07
WBGene00017430,2.4148994e-07
WBGene00004891,2.4142577e-07
WBGene00008517,2.413309e-07
WBGene00019157,2.4116798e-07
WBGene00023429,2.4110943e-07
WBGene00014294,2.4101604e-07
WBGene00016140,2.4100945e-07
WBGene00019875,2.4082266e-07
WBGene00017861,2.4074393e-07
WBGene00022794,2.4058826e-07
WBGene00018349,2.401398e-07
WBGene00013845,2.4007537e-07
WBGene00014213,2.4007363e-07
WBGene00006651,2.3999425e-07
WBGene00006594,2.399108e-07
WBGene00016454,2.3956918e-07
WBGene00003599,2.395067e-07
WBGene00004088,2.3943377e-07
WBGene00016500,2.394132e-07
WBGene00009201,2.3932478e-07
WBGene00007646,2.3928226e-07
WBGene00013597,2.39234e-07
WBGene00001087,2.388019e-07
WBGene00011474,2.386818e-07
WBGene00195728,2.3864442e-07
WBGene00006062,2.3859235e-07
WBGene00014223,2.3846619e-07
WBGene00044004,2.383646e-07
WBGene00303019,2.3829107e-07
WBGene00001439,2.381253e-07
WBGene00006700,2.3796959e-07
WBGene00009176,2.3776259e-07
WBGene00020443,2.3774088e-07
WBGene00015868,2.3773481e-07
WBGene00021281,2.3766819e-07
WBGene00009068,2.3764939e-07
WBGene00008726,2.3762051e-07
WBGene00008558,2.3759873e-07
WBGene00019221,2.3751385e-07
WBGene00004830,2.3749357e-07
WBGene00001976,2.3748083e-07
WBGene00007780,2.3747704e-07
WBGene00013219,2.3742322e-07
WBGene00017178,2.3721533e-07
WBGene00006959,2.3718555e-07
WBGene00013040,2.3714587e-07
WBGene00015748,2.3684807e-07
WBGene00020558,2.3683639e-07
WBGene00001389,2.3681329e-07
WBGene00304811,2.3677393e-07
WBGene00220072,2.3670017e-07
WBGene00003674,2.3667059e-07
WBGene00006527,2.3660137e-07
WBGene00000081,2.365643e-07
WBGene00014308,2.3644824e-07
WBGene00022019,2.3638233e-07
WBGene00021816,2.3631057e-07
WBGene00016125,2.3630528e-07
WBGene00013805,2.3627312e-07
WBGene00044418,2.3621712e-07
WBGene00015251,2.3617329e-07
WBGene00017653,2.3610889e-07
WBGene00001008,2.3596226e-07
WBGene00194934,2.3595963e-07
WBGene00012117,2.3589278e-07
WBGene00007860,2.3586821e-07
WBGene00010038,2.357038e-07
WBGene00011375,2.3541885e-07
WBGene00022211,2.3537899e-07
WBGene00012156,2.3529067e-07
WBGene00009290,2.3522492e-07
WBGene00009264,2.3521488e-07
WBGene00017352,2.3518376e-07
WBGene00018508,2.3515744e-07
WBGene00019947,2.3506476e-07
WBGene00200967,2.348853e-07
WBGene00006707,2.3472364e-07
WBGene00003406,2.3467884e-07
WBGene00004027,2.345153e-07
WBGene00003613,2.3447525e-07
WBGene00020696,2.343894e-07
WBGene00017320,2.3438706e-07
WBGene00023284,2.342624e-07
WBGene00006365,2.3425687e-07
WBGene00007736,2.3420088e-07
WBGene00012136,2.3393434e-07
WBGene00200808,2.3392955e-07
WBGene00194742,2.338416e-07
WBGene00044068,2.3372395e-07
WBGene00000508,2.3371605e-07
WBGene00000396,2.3367109e-07
WBGene00044927,2.3349857e-07
WBGene00016041,2.3347765e-07
WBGene00017778,2.3337137e-07
WBGene00012982,2.3332315e-07
WBGene00014018,2.3314773e-07
WBGene00001194,2.3309116e-07
WBGene00001909,2.3308075e-07
WBGene00008974,2.3304683e-07
WBGene00012606,2.3297537e-07
WBGene00001214,2.329645e-07
WBGene00012471,2.3291554e-07
WBGene00017950,2.328418e-07
WBGene00003598,2.3276297e-07
WBGene00001606,2.3267468e-07
WBGene00194835,2.3263625e-07
WBGene00006779,2.3262434e-07
WBGene00000898,2.325834e-07
WBGene00000210,2.3224936e-07
WBGene00201075,2.3220456e-07
WBGene00013353,2.3217669e-07
WBGene00018386,2.3212078e-07
WBGene00013240,2.3203934e-07
WBGene00001538,2.3196358e-07
WBGene00021845,2.3194872e-07
WBGene00009353,2.3187867e-07
WBGene00001149,2.3187415e-07
WBGene00021247,2.3173523e-07
WBGene00020842,2.3162546e-07
WBGene00022306,2.3146309e-07
WBGene00006814,2.3145799e-07
WBGene00015008,2.3141439e-07
WBGene00012695,2.3140908e-07
WBGene00016192,2.3128379e-07
WBGene00012987,2.3119048e-07
WBGene00015658,2.309717e-07
WBGene00012221,2.3084407e-07
WBGene00014746,2.3074823e-07
WBGene00001431,2.3070274e-07
WBGene00000899,2.30559e-07
WBGene00013361,2.3051264e-07
WBGene00015745,2.3038329e-07
WBGene00020279,2.3036348e-07
WBGene00016250,2.3031012e-07
WBGene00018415,2.3025207e-07
WBGene00004923,2.3019223e-07
WBGene00003561,2.3002276e-07
WBGene00016000,2.3000433e-07
WBGene00044995,2.299548e-07
WBGene00017385,2.2976924e-07
WBGene00009254,2.2970785e-07
WBGene00007266,2.2964788e-07
WBGene00045383,2.294687e-07
WBGene00017098,2.2943445e-07
WBGene00017084,2.2937837e-07
WBGene00003003,2.2934064e-07
WBGene00007953,2.2930229e-07
WBGene00004912,2.2930138e-07
WBGene00004385,2.292589e-07
WBGene00017663,2.2903745e-07
WBGene00219734,2.2899458e-07
WBGene00017190,2.2898429e-07
WBGene00020581,2.2891693e-07
WBGene00022193,2.2871662e-07
WBGene00044689,2.286515e-07
WBGene00022744,2.2860078e-07
WBGene00010569,2.2842399e-07
WBGene00302995,2.2841117e-07
WBGene00004166,2.28001e-07
WBGene00043995,2.279949e-07
WBGene00219343,2.2796267e-07
WBGene00022182,2.2781262e-07
WBGene00010583,2.278044e-07
WBGene00022329,2.2765204e-07
WBGene00004214,2.2765059e-07
WBGene00010922,2.2762423e-07
