,,0
"(0, 0)","(0, 1)",28
"(0, 0)","(0, 1)",30
"(0, 0)","(0, 2)",3
"(0, 0)","(0, 1)",6
"(0, 0)","(0, 1)",11
"(0, 0)","(0, 1)",1
"(0, 0)","(0, 1)",1
"(0, 0)","(0, 2)",4
"(0, 0)","(0, 2)",3
"(0, 0)","(0, 1)",15
"(0, 0)","(0, 1)",2
"(0, 1)","(1, 1)",2
"(0, 0)","(0, 1)",1
"(0, 0)","(0, 1)",3
"(0, 0)","(0, 1)",3
"(0, 0)","(0, 2)",4
"(0, 2)","(1, 0)",7
"(0, 0)","(0, 1)",12
"(0, 0)","(0, 2)",4
"(0, 1)","(1, 1)",6
"(0, 0)","(0, 1)",1
"(0, 0)","(0, 1)",1
"(0, 0)","(0, 1)",7
"(0, 2)","(1, 0)",7
"(0, 1)","(0, 2)",7
"(0, 1)","(0, 2)",9
"(0, 0)","(0, 1)",9
"(0, 0)","(0, 1)",4
"(0, 0)","(0, 1)",2
"(0, 0)","(0, 2)",3
"(0, 0)","(0, 1)",3
"(0, 0)","(0, 1)",7
"(0, 0)","(0, 2)",1
"(0, 2)","(1, 0)",16
"(0, 0)","(0, 2)",1
"(0, 0)","(0, 1)",2
"(0, 0)","(0, 1)",1
"(0, 1)","(1, 0)",3
"(0, 0)","(0, 2)",1
"(0, 0)","(1, 0)",2
"(0, 0)","(0, 1)",1
"(0, 1)","(0, 2)",1
"(0, 2)","(1, 0)",1
"(0, 1)","(0, 2)",1
"(0, 0)","(0, 1)",1
"(0, 0)","(1, 0)",1
"(0, 1)","(1, 1)",3
"(0, 0)","(0, 1)",4
"(0, 0)","(0, 1)",2
"(0, 0)","(1, 1)",1
"(0, 1)","(1, 2)",4
