Gene,avg_abs_r
WBGene00016992,0.3715571297549326
WBGene00005326,0.3715076666407722
WBGene00003388,0.37136730466856355
WBGene00010244,0.37133649597751445
WBGene00022385,0.3710836483822652
WBGene00007916,0.3706544544772343
WBGene00019743,0.3705440208483761
WBGene00008155,0.3704367593987455
WBGene00017764,0.37026137314363167
WBGene00016085,0.37012078772783996
WBGene00219655,0.37004817120809447
WBGene00022373,0.3700192495672866
WBGene00011450,0.36950218504403964
WBGene00304819,0.36933075903993434
WBGene00008020,0.3693015337327452
WBGene00001704,0.36916591434916796
WBGene00016362,0.3690352356559973
WBGene00017363,0.3689396254043476
WBGene00020929,0.3689019739433143
WBGene00011723,0.3688888786303533
WBGene00196235,0.36869176056347913
WBGene00015065,0.36853776142835787
WBGene00021267,0.36850883405918355
WBGene00014883,0.3682294986176765
WBGene00044073,0.3680788572164497
WBGene00006204,0.3680154540334702
WBGene00009738,0.36795223141162703
WBGene00198873,0.3679178822480155
WBGene00005413,0.36786006426939294
WBGene00005081,0.3677735103270263
WBGene00200996,0.36754578360208046
WBGene00002248,0.36749150959167426
WBGene00019428,0.367464996761037
WBGene00044003,0.36743051170560426
WBGene00195209,0.36734447905914097
WBGene00011871,0.36718306053610794
WBGene00021021,0.36710871377121457
WBGene00019091,0.36707144249121987
WBGene00219719,0.3670568337666861
WBGene00045108,0.36696985560283035
WBGene00022800,0.3669314983730333
WBGene00011607,0.36691262914298645
WBGene00015052,0.3668705898472636
WBGene00020562,0.3667749270081943
WBGene00011540,0.36657832789010153
WBGene00004473,0.366490545097587
WBGene00012267,0.3663445921704203
WBGene00007464,0.36624588528848157
WBGene00011568,0.3662444693177742
WBGene00009947,0.3662230627359239
WBGene00006601,0.3661805912311962
WBGene00021294,0.36617235006284676
WBGene00015626,0.366070099676912
WBGene00009159,0.3660669280812807
WBGene00019878,0.36604683351211487
WBGene00010895,0.36598015804828626
WBGene00012020,0.36596345816609555
WBGene00001721,0.3659590541337968
WBGene00008849,0.36592908888944264
