Neuron,total_3node_motifs,as_source,as_target
 AS11          ,28,0,0
PHBR ,210,0,0
 PHCR          ,3,0,0
PHCL ,136,0,0
 LUAL          ,21,0,0
 DA09          ,36,0,0
PHCR ,171,0,0
 PHCL          ,1,0,0
AIAL ,325,0,0
AIAR ,190,0,0
AIBL ,630,0,0
 RMFR          ,45,0,0
 RIMR          ,300,0,0
AIBR ,666,0,0
AIYL ,120,0,0
AIYR ,153,0,0
AIZL ,406,0,0
 AVKR          ,66,0,0
 VB02          ,45,0,0
AIZR ,231,0,0
ADAL ,351,0,0
ADAR ,253,0,0
AIML ,190,0,0
 AVFR          ,55,0,0
AIMR ,351,0,0
AINL ,153,0,0
AINR ,300,0,0
ALA ,78,0,0
RIAL ,465,0,0
RIAR ,561,0,0
 vBWML6        ,28,0,0
RIBL ,496,0,0
RIBR ,561,0,0
RICL ,253,0,0
RICR ,325,0,0
RIFL ,55,0,0
RIFR ,276,0,0
RIGL ,561,0,0
 ALNL          ,6,0,0
RIGR ,528,0,0
RIH ,561,0,0
 IL2VL         ,0,0,0
RIR ,378,0,0
RIS ,666,0,0
RMFL ,136,0,0
RMFR ,15,0,0
RMGL ,903,0,0
RMGR ,780,0,0
URBL ,253,0,0
URBR ,406,0,0
RIPL ,55,0,0
RIPR ,28,0,0
AVFL ,780,0,0
 DVB           ,1,0,0
 AS10          ,28,0,0
 vBWML10       ,66,0,0
 vBWML11       ,171,0,0
 vBWML13       ,120,0,0
 intestine     ,6,0,0
 VC01          ,10,0,0
AVFR ,595,0,0
 vBWML12       ,91,0,0
 vBWMR14       ,78,0,0
AVG ,946,0,0
 VA06          ,45,0,0
 VA11          ,66,0,0
 vBWML16       ,136,0,0
AVHL ,990,0,0
 SABD          ,78,0,0
 VD01          ,45,0,0
AVHR ,990,0,0
 vBWMR9        ,55,0,0
AVJL ,496,0,0
AVJR ,595,0,0
 SABVL         ,36,0,0
AVKL ,741,0,0
 vBWMR6        ,91,0,0
AVKR ,595,0,0
 vBWML9        ,66,0,0
AVL ,861,0,0
 PVWL          ,21,0,0
 SABVR         ,28,0,0
 DD06          ,210,0,0
 VD12          ,120,0,0
 vBWML15       ,105,0,0
 VC02          ,21,0,0
 VC06          ,0,0,0
DVA ,2346,0,0
 PDER          ,3,0,0
 DA02          ,78,0,0
 DB02          ,21,0,0
 DB03          ,36,0,0
 DB04          ,36,0,0
 VA08          ,10,0,0
 VB11          ,10,0,0
DVB ,300,0,0
 PDA           ,0,0,0
 VD13          ,45,0,0
 intL          ,0,0,0
DVC ,703,0,0
 VD09          ,55,0,0
 vBWMR20       ,36,0,0
PVNL ,820,0,0
 PQR           ,6,0,0
 PVWR          ,15,0,0
PVNR ,1485,0,0
 DD02          ,136,0,0
 VD03          ,91,0,0
 VD04          ,105,0,0
 VD06          ,91,0,0
 VD07          ,45,0,0
PVPL ,1035,0,0
PVPR ,1128,0,0
 vBWMR11       ,105,0,0
PVQL ,300,0,0
PVQR ,496,0,0
PVR ,1225,0,0
 PVM           ,0,0,0
 SDQR          ,3,0,0
 DA05          ,91,0,0
PVT ,903,0,0
PVWL ,136,0,0
PVWR ,171,0,0
RID ,136,0,0
 DA06          ,10,0,0
 DB01          ,15,0,0
 VD05          ,78,0,0
 dBWML13       ,66,0,0
 dBWML14       ,78,0,0
 dBWMR10       ,55,0,0
PVCL ,1540,0,0
 AS01          ,55,0,0
 AS02          ,36,0,0
 VB04          ,21,0,0
PVCR ,1953,0,0
 DA04          ,45,0,0
 DA07          ,21,0,0
AVAL ,3741,0,0
 DA03          ,66,0,0
 AS04          ,36,0,0
 AS05          ,21,0,0
 AS07          ,15,0,0
 AS08          ,15,0,0
 AS09          ,10,0,0
 VA03          ,66,0,0
 VA04          ,45,0,0
 VA05          ,28,0,0
 VA07          ,6,0,0
 VA10          ,15,0,0
AVAR ,4278,0,0
 AS06          ,6,0,0
AVBL ,1275,0,0
 VC03          ,10,0,0
AVBR ,1275,0,0
 AS03          ,10,0,0
AVDL ,741,0,0
AVDR ,903,0,0
AVEL ,561,0,0
 VD02          ,91,0,0
AVER ,820,0,0
LUAL ,120,0,0
LUAR ,300,0,0
 PDB           ,0,0,0
RIML ,630,0,0
RIMR ,496,0,0
RMDDL ,276,0,0
RMDDR ,210,0,0
RMDL ,861,0,0
RMDR ,190,0,0
RMDVL ,276,0,0
RMDVR ,630,0,0
 vBWML3        ,36,0,0
RMED ,120,0,0
RMEL ,36,0,0
RMER ,55,0,0
RMEV ,300,0,0
RMHL ,120,0,0
RMHR ,91,0,0
RIVL ,190,0,0
RIVR ,276,0,0
URADL ,28,0,0
URADR ,55,0,0
URAVL ,190,0,0
URAVR ,153,0,0
SAADL ,231,0,0
SAADR ,231,0,0
 PLNL          ,21,0,0
SAAVL ,465,0,0
SAAVR ,378,0,0
SABD ,105,0,0
SABVL ,28,0,0
SABVR ,36,0,0
 vBWMR1        ,1,0,0
SIADL ,300,0,0
 dBWMR8        ,28,0,0
 dBWMR9        ,55,0,0
 dBWMR11       ,66,0,0
 dBWMR12       ,78,0,0
 dBWMR13       ,66,0,0
 dBWMR14       ,66,0,0
 dBWMR15       ,55,0,0
 dBWMR16       ,66,0,0
SIADR ,378,0,0
 dBWML7        ,45,0,0
 dBWML8        ,36,0,0
 dBWML9        ,55,0,0
 dBWML10       ,45,0,0
 dBWML11       ,66,0,0
 dBWML12       ,78,0,0
 dBWML15       ,45,0,0
 dBWML16       ,66,0,0
SIAVL ,300,0,0
 vBWML8        ,55,0,0
 vBWML14       ,66,0,0
SIAVR ,253,0,0
 PLNR          ,3,0,0
 vBWMR12       ,78,0,0
 vBWMR13       ,105,0,0
 vBWMR15       ,78,0,0
 vBWMR16       ,66,0,0
SIBDL ,253,0,0
SIBDR ,190,0,0
SIBVL ,496,0,0
SIBVR ,406,0,0
SMBDL ,561,0,0
SMBDR ,666,0,0
SMBVL ,496,0,0
SMBVR ,741,0,0
SMDDL ,1176,0,0
SMDDR ,946,0,0
SMDVL ,820,0,0
SMDVR ,630,0,0
DA01 ,105,0,0
DA02 ,231,0,0
DA03 ,210,0,0
DA04 ,105,0,0
DA05 ,120,0,0
 DD03          ,66,0,0
DA06 ,231,0,0
 DB05          ,0,0,0
DA07 ,300,0,0
 DB06          ,0,0,0
 DD04          ,21,0,0
 VD08          ,21,0,0
 dBWML17       ,15,0,0
 dBWML18       ,15,0,0
 dBWML19       ,28,0,0
 dBWMR17       ,15,0,0
 dBWMR18       ,15,0,0
 dBWMR19       ,28,0,0
DA08 ,703,0,0
 VD11          ,55,0,0
 dBWML20       ,21,0,0
 dBWML21       ,28,0,0
 dBWMR20       ,15,0,0
 dBWMR21       ,21,0,0
DA09 ,780,0,0
 dBWML22       ,10,0,0
 dBWML23       ,10,0,0
 dBWML24       ,10,0,0
 dBWMR22       ,15,0,0
 dBWMR23       ,15,0,0
 dBWMR24       ,10,0,0
PDA ,253,0,0
DB01 ,171,0,0
DB02 ,210,0,0
DB03 ,276,0,0
DB04 ,190,0,0
DB05 ,300,0,0
DB06 ,276,0,0
DB07 ,528,0,0
