Motif,Gene,partial_spearman_r,p,q_bh,n_rows
"(1, 0)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan_nan",WBGene00015863,-0.5323859058016877,2.407590086840634e-05,0.2160932482443811,60
"(0, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",WBGene00009650,-0.5322410898592479,2.422205374526325e-05,0.4348100867812207,60
"(2, 0)_(2, 1)_nan_nan_nan_nan_nan_nan_nan",WBGene00003937,-0.5318947318281021,2.457494152330616e-05,0.4411447752848689,60
"(0, 0)_(0, 1)_(1, 2)_nan_nan_nan_nan_nan_nan",WBGene00009256,-0.5318435253121199,2.462751471282268e-05,0.3719328395715024,60
"(0, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan_nan",WBGene00004088,-0.5310123328314749,2.54955591916677e-05,0.2921329667490921,60
"(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_nan_nan_nan_nan",WBGene00000108,-0.5310024775296297,2.550601894786787e-05,0.228929273066588,60
"(0, 1)_(0, 2)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan",WBGene00021533,-0.5299410487629836,2.6656044926734977e-05,0.3575601556127862,60
"(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan",WBGene00044440,-0.5299202737362064,2.6679024582970194e-05,0.2394575851444489,60
"(0, 0)_(0, 1)_(1, 0)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan",WBGene00008155,0.5297311096254878,2.6889106174765936e-05,0.4826863449432233,60
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_nan_nan",WBGene00007495,0.529484665743178,2.7165093869646307e-05,0.3481150708447748,60
"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan",WBGene00000675,0.529260389237633,2.7418528514086463e-05,0.2344224109838584,60
"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan",WBGene00196733,0.5290790006734089,2.7625094827198635e-05,0.1652993590810142,60
"(0, 2)_(2, 1)_nan_nan_nan_nan_nan_nan_nan",WBGene00019704,-0.5289907537182467,2.772610984674883e-05,0.4906701733296585,60
"(0, 1)_(0, 2)_(1, 1)_(2, 0)_nan_nan_nan_nan_nan",WBGene00012207,-0.52822891972787,2.8612463467056125e-05,0.2825117731489436,60
"(0, 0)_(0, 2)_(2, 1)_nan_nan_nan_nan_nan_nan",WBGene00019828,-0.5279421565218095,2.8952821953199656e-05,0.2645525158228814,60
"(0, 0)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan",WBGene00010503,0.5277284611194928,2.9208883280592536e-05,0.3273074301173165,60
"(0, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan_nan",WBGene00007329,-0.5272684597630594,2.9767192532533426e-05,0.2671754365757537,60
"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan",WBGene00022637,-0.5270468214387495,3.00397002657273e-05,0.2344224109838584,60
"(0, 0)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_nan_nan_nan_nan",WBGene00006186,-0.5263966382032597,3.0852455863735055e-05,0.553832435209908,60
"(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan_nan",WBGene00016282,-0.5260944728230141,3.1237042105505835e-05,0.5607361428359352,60
"(1, 0)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan",WBGene00219655,0.5259451025174341,3.1428785765175675e-05,0.5641781332706686,60
"(1, 2)_(2, 0)_nan_nan_nan_nan_nan_nan_nan",WBGene00007273,-0.5257240263435053,3.1714571404465175e-05,0.5693082712815544,60
"(1, 0)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan",WBGene00019605,-0.5255923146566049,3.1885973609383595e-05,0.5723851122620449,60
"(0, 0)_(0, 1)_(0, 2)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan",WBGene00002231,0.5253288768531793,3.223136483332678e-05,0.5785852301230491,60
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_nan_nan_nan_nan",WBGene00017439,-0.525202992679774,3.239762686497193e-05,0.1524550186710997,60
"(0, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan_nan",WBGene00044614,0.5250897857872023,3.254782092909499e-05,0.2921329667490921,60
"(0, 0)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan_nan",WBGene00011554,-0.5247634723939391,3.2984351199842335e-05,0.2507906215005739,60
"(0, 0)_(1, 0)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan",WBGene00189952,-0.524658257699275,3.3126251401434685e-05,0.594649338907154,60
"(1, 0)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",WBGene00020763,0.5241968643316468,3.37551968271686e-05,0.6059395382445034,60
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_nan_nan_nan_nan",WBGene00021968,-0.5240401100414113,3.397137065814713e-05,0.1524550186710997,60
"(0, 0)_(0, 1)_(0, 2)_(2, 0)_nan_nan_nan_nan_nan",WBGene00050917,0.5238512864075581,3.423346597244396e-05,0.4165663094352667,60
"(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan",WBGene00206389,-0.5237191522827844,3.4417982020677605e-05,0.5495030008843822,60
"(0, 2)_(1, 0)_(1, 1)_nan_nan_nan_nan_nan_nan",WBGene00012802,-0.5236433469880779,3.452425257252269e-05,0.3098724289646773,60
"(0, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan_nan",WBGene00005180,0.5226083611589867,3.600579586847584e-05,0.3231700208175049,60
"(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan_nan",WBGene00014798,0.522257484330982,3.652122642876181e-05,0.3277962678113517,60
"(1, 0)_(1, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan",WBGene00010374,-0.5221545835113208,3.6673671051813786e-05,0.3291645345255546,60
"(0, 0)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan_nan",WBGene00004170,0.5221478722254881,3.6683633988392e-05,0.4450098249921839,60
"(0, 0)_(0, 2)_(1, 0)_(1, 1)_nan_nan_nan_nan_nan",WBGene00007349,-0.5221130316142117,3.673539517574619e-05,0.6594370787998198,60
