,motif_count
 vBWML16     ,2
 vBWML17     ,3
vBWML17 ,2
 vBWML18     ,3
vBWML18 ,3
 vBWML19     ,2
 vBWML20     ,3
vBWML20 ,3
 vBWML21     ,3
vBWML21 ,2
 vBWML22     ,2
vBWMR1 ,3
 vBWMR3      ,4
 vBWMR2      ,2
vBWMR3 ,3
vBWMR2 ,3
 vBWMR1      ,2
 vBWMR4      ,3
 vBWMR15     ,3
vBWMR16 ,2
 vBWMR17     ,3
 vBWMR19     ,3
vBWMR20 ,3
 vBWMR21     ,3
intL ,5
 intR        ,3
 anal        ,5
sph ,3
anal ,5
 intL        ,5
 um2pL       ,4
BWM-VL01,42
PLNR,52
ALNL,84
BWM-DR07,37
I2R ,4
NSMR ,3
M3R ,3
pm5d ,3
pm5vl ,3
MCR ,5
pm2vr ,3
pm4vr ,5
mc2v ,4
AWAL ,3
AIYL ,3
ALNL ,3
RMFL ,5
 dBWML9        ,4
IL1VR ,3
RMFR ,5
PHAR ,5
ASJR ,5
 vBWML8      ,4
 DD05        ,4
VD08 ,5
vBWML8 ,5
vBWMR8 ,3
AS09 ,5
vm2aR ,4
AS08 ,5
vBWML7 ,3
vBWML9 ,5
um1aL ,4
vm1aR ,5
pm1vl ,1
pm1vr ,1
pm2d ,3
pm2vl ,3
mc3dl ,3
pm7vl ,4
 dBWML3      ,4
dBWML3 ,3
dBWML2 ,3
dBWML4 ,3
 dBWML1      ,3
 dBWML5      ,3
dBWML6 ,3
dBWML18 ,3
dBWML22 ,3
 dBWML23     ,2
dBWML24 ,1
dBWMR5 ,3
 dBWMR6      ,3
dBWMR6 ,2
dBWMR7 ,3
dBWMR9 ,3
dBWMR10 ,3
dBWMR13 ,3
dBWMR16 ,3
dBWMR17 ,3
dBWMR20 ,2
vBWML10 ,3
 vBWML11     ,2
vBWMR7 ,3
 vBWMR6      ,2
vBWML12 ,3
vBWML16 ,2
vBWML19 ,3
vBWML22 ,2
vBWMR4 ,3
vBWMR5 ,2
vBWMR17 ,3
 vBWMR18     ,3
vBWMR18 ,3
vBWMR19 ,3
intR ,3
um2aR ,3
um2pR ,3
RIBL,167
RIBR,175
RIGR,262
AIAR,121
ASER,192
RIGL,275
IL1VR,124
RMDDL,220
RMDDR,247
RMGL,240
AIZL,295
AIZR,264
AQR,244
RMED,181
ASHL,194
RIPR,68
SDQR,153
SDQL,173
RMER,136
IL1VL,149
RIPL,70
RIR,171
ADEL,187
AIAL,192
AIMR,118
RMEL,110
IL1DR,156
CANR,9
dBWML8 ,3
vm1aL ,3
vm1pR ,4
pm1d ,1
dBWML11 ,3
 dBWML12     ,3
dBWML13 ,3
dBWML15 ,3
 dBWML16     ,2
dBWML17 ,3
dBWML21 ,3
 dBWML22     ,2
dBWML23 ,2
 dBWMR14     ,2
dBWMR15 ,3
dBWMR23 ,2
dBWMR24 ,1
vBWML1 ,3
vBWML4 ,3
vBWML23 ,1
vBWMR10 ,3
 vBWMR11     ,2
vBWMR12 ,3
vBWMR14 ,3
vBWMR21 ,3
 vBWMR22     ,2
vBWMR22 ,3
vBWMR23 ,2
BWM-VR03,41
DB1,10
 I2L           ,3
 MCL           ,3
 pm3vl         ,3
 pm4d          ,3
 MCR         ,3
 pm1vr         ,3
 pm3vr         ,3
 I1L           ,3
 I1R           ,3
 pm4vr         ,3
 pm6vl         ,2
 pm7d          ,2
 mc2dl         ,2
 AFDL          ,3
 AIZL          ,3
 RIGR          ,3
 SMDVL         ,3
 AVJL          ,3
 ASJL          ,3
 ASKL          ,3
 RMGR          ,3
 RMDDR         ,3
 RMDL          ,3
 SIADR         ,3
 RIFL          ,3
 SIADL         ,3
 AVKR          ,3
 ALNL          ,3
 RMEL        ,3
 vm2aR         ,3
 vm2pL         ,3
 RIFL        ,3
 ALA           ,3
 OLLR          ,3
 AWAR        ,3
 VC04          ,3
 HSNL        ,3
 IL2DL         ,3
 URBL          ,3
 IL1DL         ,3
 DB04          ,3
 PDA         ,3
 VD03          ,3
 URADL       ,2
 IL2DR         ,3
 RMFR          ,3
 AS01          ,3
 AS03          ,3
 RID         ,3
 DB05        ,3
 dBWMR1        ,3
 IL2VL         ,2
 dBWMR10       ,3
 dBWML14       ,3
 dBWML16       ,3
 AS03        ,2
 intestine     ,3
 VB06          ,3
 VB04          ,3
 URAVR       ,1
 URADR       ,3
 CEPDR       ,2
 IL2DL       ,1
 PHBL          ,3
 VC06          ,2
 VC02        ,3
 vm2aL       ,3
 vm2aR       ,3
 DB01          ,3
 vBWML21       ,3
 vBWML20       ,3
 VD06        ,3
 VD04        ,3
 VD10        ,3
 AS04        ,3
 DD04          ,3
 dBWMR23       ,3
 dBWML18       ,3
 DD03        ,3
 VB07          ,3
dBWML9 ,2
um1aR ,3
 pm6vl       ,3
 mc1v        ,3
 pm7d        ,3
 pm7vl       ,3
 pm1vl       ,1
 vBWML9      ,3
 vBWMR7      ,2
 vBWMR9      ,3
 um1aL       ,3
 um1pL       ,3
 um1pR       ,3
 vm1aR       ,3
 dBWML8      ,2
 dBWML10     ,2
 vBWMR8      ,3
 dBWML2      ,2
dBWML1 ,2
 dBWML4      ,3
 dBWML6      ,3
dBWML7 ,2
 dBWMR8      ,2
 dBWMR11     ,2
dBWMR12 ,2
 dBWMR13     ,2
dBWMR14 ,2
 dBWMR15     ,2
 dBWMR16     ,3
 vBWML3      ,3
vBWML2 ,2
 vBWML1      ,3
vBWMR9 ,2
 vBWMR10     ,2
 vBWML23     ,1
 vBWMR5      ,2
vBWMR6 ,2
vBWMR11 ,2
 vBWMR12     ,2
vBWMR13 ,2
 vBWMR14     ,2
vBWMR15 ,2
