tuple_index,tuple_label
277,"(0, 0)_(0, 1)_(0, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan"
278,"(0, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan"
279,"(0, 1)_(0, 2)_(1, 0)_nan_nan_nan_nan_nan_nan"
280,"(0, 0)_(0, 1)_(2, 0)_nan_nan_nan_nan_nan_nan"
281,"(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan_nan"
282,"(0, 1)_(1, 0)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan"
283,"(0, 0)_(0, 1)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan"
284,"(0, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan_nan"
285,"(1, 0)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan"
286,"(0, 2)_(1, 0)_(2, 2)_nan_nan_nan_nan_nan_nan"
287,"(0, 2)_(1, 1)_(2, 1)_nan_nan_nan_nan_nan_nan"
288,"(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan_nan"
289,"(1, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan_nan"
290,"(0, 1)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan"
291,"(0, 1)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan"
292,"(0, 0)_(0, 1)_(0, 2)_(1, 1)_(2, 0)_(2, 2)_nan_nan_nan"
293,"(0, 2)_(1, 0)_(1, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan"
294,"(0, 2)_(2, 1)_nan_nan_nan_nan_nan_nan_nan"
295,"(0, 2)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan_nan"
296,"(0, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan_nan"
297,"(0, 0)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan"
298,"(0, 1)_(1, 0)_(1, 1)_(2, 1)_(2, 2)_nan_nan_nan_nan"
299,"(0, 1)_(1, 0)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan"
300,"(0, 0)_(0, 1)_(1, 1)_(2, 1)_nan_nan_nan_nan_nan"
301,"(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan"
302,"(0, 0)_(0, 1)_(0, 2)_(1, 1)_(2, 2)_nan_nan_nan_nan"
303,"(0, 0)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan_nan"
304,"(0, 1)_(1, 0)_(1, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan"
305,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 2)_nan_nan"
306,"(0, 1)_(1, 0)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan"
307,"(0, 1)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan"
308,"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan"
309,"(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan"
310,"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(2, 0)_(2, 1)_nan_nan_nan"
311,"(0, 0)_(0, 1)_(1, 0)_(1, 1)_(2, 1)_nan_nan_nan_nan"
312,"(0, 0)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan"
313,"(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan"
314,"(0, 0)_(0, 1)_(1, 0)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan"
315,"(0, 0)_(0, 1)_(0, 2)_(1, 1)_(2, 1)_nan_nan_nan_nan"
316,"(0, 0)_(0, 2)_(1, 0)_(1, 1)_(2, 2)_nan_nan_nan_nan"
317,"(0, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan"
318,"(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan"
319,"(0, 0)_(1, 0)_(1, 1)_(2, 1)_nan_nan_nan_nan_nan"
320,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan"
321,"(0, 0)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan_nan"
322,"(0, 1)_(1, 0)_(1, 1)_(2, 0)_nan_nan_nan_nan_nan"
323,"(0, 0)_(1, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan"
324,"(0, 0)_(0, 1)_(1, 0)_(1, 1)_(2, 0)_(2, 2)_nan_nan_nan"
325,"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(2, 0)_(2, 1)_(2, 2)_nan_nan"
326,"(0, 1)_(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan"
327,"(0, 2)_(1, 0)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan"
328,"(0, 1)_(0, 2)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan"
329,"(0, 0)_(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan"
330,"(1, 0)_(1, 1)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan"
331,"(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan"
332,"(0, 0)_(0, 1)_(2, 1)_nan_nan_nan_nan_nan_nan"
333,"(0, 0)_(1, 0)_(1, 1)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan"
334,"(0, 0)_(0, 2)_(1, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan"
335,"(0, 0)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan"
336,"(0, 0)_(0, 1)_(0, 2)_(1, 1)_(2, 1)_(2, 2)_nan_nan_nan"
337,"(0, 1)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan_nan"
338,"(0, 0)_(0, 2)_(1, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan"
339,"(0, 2)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan"
340,"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan"
341,"(0, 1)_(0, 2)_(1, 1)_(2, 0)_nan_nan_nan_nan_nan"
342,"(0, 0)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan"
343,"(0, 2)_(1, 0)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan"
344,"(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 2)_nan_nan_nan_nan"
345,"(0, 0)_(0, 1)_(1, 0)_(2, 0)_(2, 1)_nan_nan_nan_nan"
346,"(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 1)_nan_nan_nan_nan"
347,"(0, 0)_(0, 1)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan"
348,"(0, 0)_(1, 0)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan"
349,"(0, 1)_(0, 2)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan"
350,"(0, 2)_(1, 1)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan"
351,"(0, 0)_(0, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan"
352,"(0, 1)_(1, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan"
353,"(0, 1)_(0, 2)_(1, 1)_nan_nan_nan_nan_nan_nan"
354,"(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan"
355,"(0, 0)_(0, 2)_(1, 0)_(1, 1)_(2, 1)_nan_nan_nan_nan"
356,"(0, 1)_(0, 2)_(1, 1)_(2, 2)_nan_nan_nan_nan_nan"
357,"(0, 2)_(1, 0)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan"
358,"(0, 0)_(0, 2)_(1, 0)_(1, 1)_(2, 0)_nan_nan_nan_nan"
359,"(0, 1)_(0, 2)_nan_nan_nan_nan_nan_nan_nan"
360,"(0, 0)_(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan"
361,"(0, 2)_(1, 0)_(1, 1)_(1, 2)_nan_nan_nan_nan_nan"
362,"(0, 0)_(0, 2)_(1, 1)_(2, 1)_nan_nan_nan_nan_nan"
363,"(1, 0)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan_nan"
364,"(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan_nan"
365,"(0, 0)_(0, 1)_(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan"
366,"(0, 0)_(1, 0)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan"
367,"(0, 0)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan"
368,"(0, 0)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_nan_nan_nan_nan"
369,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(2, 2)_nan_nan_nan"
370,"(0, 0)_(0, 2)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan"
371,"(0, 0)_(0, 2)_(1, 0)_(1, 2)_(2, 1)_nan_nan_nan_nan"
372,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan"
373,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 2)_nan_nan"
374,"(1, 0)_(2, 1)_nan_nan_nan_nan_nan_nan_nan"
375,"(0, 0)_(0, 2)_(1, 0)_nan_nan_nan_nan_nan_nan"
376,"(0, 0)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan"
377,"(0, 2)_(1, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan"
378,"(0, 1)_(1, 0)_(2, 0)_nan_nan_nan_nan_nan_nan"
379,"(0, 0)_(0, 2)_(1, 0)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan"
380,"(1, 0)_(2, 0)_nan_nan_nan_nan_nan_nan_nan"
381,"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan"
382,"(0, 0)_(1, 0)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan"
383,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_nan_nan_nan_nan"
384,"(0, 1)_(0, 2)_(1, 0)_(1, 1)_nan_nan_nan_nan_nan"
385,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_nan_nan_nan"
386,"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(2, 1)_nan_nan_nan_nan"
387,"(0, 0)_(0, 1)_(0, 2)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan"
388,"(0, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan"
389,"(0, 0)_(0, 1)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan"
390,"(0, 2)_(1, 0)_(1, 1)_(2, 0)_nan_nan_nan_nan_nan"
391,"(0, 2)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan_nan"
392,"(0, 1)_(1, 0)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan"
393,"(0, 2)_(1, 0)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan"
394,"(0, 1)_(1, 0)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan"
395,"(0, 1)_(0, 2)_(1, 2)_nan_nan_nan_nan_nan_nan"
396,"(0, 1)_(0, 2)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan"
397,"(0, 1)_(0, 2)_(1, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan"
398,"(1, 0)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan_nan"
399,"(0, 1)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan"
400,"(0, 0)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan"
401,"(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan"
402,"(0, 0)_(0, 2)_(1, 2)_nan_nan_nan_nan_nan_nan"
403,"(0, 1)_(1, 0)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan"
404,"(0, 0)_(0, 2)_(1, 0)_(1, 1)_nan_nan_nan_nan_nan"
405,"(0, 0)_(0, 1)_(0, 2)_(1, 2)_nan_nan_nan_nan_nan"
406,"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan_nan"
407,"(0, 1)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan"
408,"(0, 0)_(0, 1)_(1, 0)_(1, 1)_(1, 2)_nan_nan_nan_nan"
409,"(0, 1)_(0, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan"
410,"(0, 1)_(0, 2)_(1, 0)_(2, 0)_(2, 1)_nan_nan_nan_nan"
411,"(0, 1)_(1, 1)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan"
412,"(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan"
413,"(0, 2)_(1, 0)_(2, 0)_nan_nan_nan_nan_nan_nan"
414,"(0, 0)_(0, 1)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan"
415,"(0, 0)_(0, 1)_(1, 1)_(2, 1)_(2, 2)_nan_nan_nan_nan"
416,"(0, 0)_(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan"
417,"(0, 1)_(0, 2)_(1, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan"
