,003,012,102,021D,021U,021C,111D,111U,030T,030C,201,120D,120U,120C,210,300
"(2, 0)_(2, 1)_nan_nan_nan_nan_nan_nan_nan",121145,7272,0,283,78,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan",123399,5294,0,57,28,0,0,0,0,0,0,0,0,0,0,0
PC17,126385,2358,0,1,34,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan",125441,3234,0,97,6,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan",125552,3012,0,208,6,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 1)_(2, 1)_nan_nan_nan_nan_nan",123989,4620,0,148,21,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 2)_nan_nan_nan_nan_nan_nan",120974,7614,0,112,78,0,0,0,0,0,0,0,0,0,0,0
PC64,126372,2384,0,1,21,0,0,0,0,0,0,0,0,0,0,0
PC74,125900,2822,0,3,53,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan",124631,3842,0,290,15,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan",125386,3344,0,42,6,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan",115235,13020,0,223,300,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_nan_nan_nan_nan_nan_nan_nan",120516,8024,0,147,91,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(2, 2)_nan_nan_nan_nan_nan_nan",124974,3662,0,132,10,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(2, 1)_nan_nan_nan_nan_nan_nan",122505,6070,0,158,45,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(2, 0)_(2, 1)_nan_nan",122159,6256,0,308,55,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan",126494,2140,0,143,1,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan",123539,5014,0,197,28,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_nan_nan_nan",125941,2740,0,94,3,0,0,0,0,0,0,0,0,0,0,0
PC196,124402,4300,0,15,61,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(2, 1)_nan_nan_nan_nan_nan_nan",116338,11826,0,361,253,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan",123008,5570,0,164,36,0,0,0,0,0,0,0,0,0,0,0
PC54,126864,1906,0,0,8,0,0,0,0,0,0,0,0,0,0,0
"(1, 0)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan_nan",124906,3798,0,64,10,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(2, 1)_(2, 2)_nan_nan_nan",125927,2768,0,80,3,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan",124008,4582,0,167,21,0,0,0,0,0,0,0,0,0,0,0
PC23,124451,4202,0,15,110,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan",126369,2390,0,18,1,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan",123001,5584,0,157,36,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(2, 1)_nan_nan_nan_nan",126407,2314,0,56,1,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 1)_(2, 0)_(2, 2)_nan_nan_nan",125974,2674,0,127,3,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan",121586,6896,0,230,66,0,0,0,0,0,0,0,0,0,0,0
