Neuron,Unclassified ❓
 SDQR        ,339.0
 PVM         ,210.0
 PDEL        ,391.0
 PDER        ,446.0
 PVCL        ,1089.0
 PVCR        ,1404.0
 SIADR       ,318.0
 DA09        ,803.0
 SAAVR       ,422.0
 AVBR        ,1290.0
 DB07        ,574.0
 DB01        ,181.0
 DB06        ,234.0
 VD13          ,346.0
 PQR           ,166.0
 PVWR          ,234.0
 DD02          ,534.0
 VD04          ,448.0
 VD06          ,412.0
 VD07          ,283.0
 AVHR        ,1205.0
 AVDL        ,704.0
 LUAR        ,567.0
 PQR         ,544.0
 PVWR        ,725.0
 VD13        ,621.0
 VC06        ,284.0
 RMEL          ,243.0
 RMED          ,485.0
 DVC           ,581.0
 RMEV        ,340.0
 RIBR        ,536.0
 SIADL       ,204.0
 AIML        ,38.0
 DD01          ,852.0
 AVG           ,471.0
 PVDL          ,208.0
 DA08          ,731.0
 vBWML12       ,421.0
 vBWMR14       ,359.0
 VB01        ,106.0
 VD01          ,303.0
 DD06          ,711.0
 LUAL        ,301.0
 PHAL        ,290.0
 ASJR        ,73.0
 DA07        ,329.0
 dBWML3        ,226.0
 dBWML6        ,372.0
 URYDR         ,118.0
 dBWMR3        ,277.0
 vBWML4        ,285.0
 dBWMR4        ,376.0
 dBWMR5        ,364.0
 vBWMR4        ,275.0
 URAVR         ,155.0
 ADER          ,334.0
 vBWMR3        ,268.0
 AVKL          ,374.0
 FLPR          ,129.0
 VA01          ,289.0
 FLPR        ,230.0
 DD01        ,159.0
 FLPL          ,246.0
 dBWMR6        ,370.0
 RIR         ,37.0
 ALNR          ,336.0
 RMED        ,119.0
 SMDDR       ,334.0
 FLPL        ,219.0
 RIMR        ,436.0
 OLQDR       ,200.0
 OLQVR       ,152.0
 SMBDR       ,311.0
 SIBDR       ,158.0
 URXR        ,101.0
 RMHR        ,65.0
 OLLR        ,50.0
 ADEL        ,50.0
 URYDR       ,137.0
 AQR         ,261.0
 vBWMR6        ,473.0
 vBWML9        ,377.0
 VD09          ,314.0
 vBWMR20       ,218.0
 PVDR        ,242.0
 DVB         ,561.0
 VD11        ,503.0
 VC03        ,145.0
 VA03          ,547.0
 VA04          ,426.0
 VD02          ,407.0
 AVAL        ,2190.0
 SMBDL       ,250.0
 PLNL          ,238.0
 SABD        ,163.0
 vBWML1        ,291.0
 vBWML2        ,339.0
 vBWML6        ,248.0
 AS10          ,401.0
 vBWML10       ,420.0
 vBWML13       ,475.0
 SABVL         ,416.0
 DA04          ,493.0
 DA07          ,422.0
 DA03          ,518.0
 AS04          ,433.0
 DB03        ,225.0
 VB10        ,461.0
 VB11        ,542.0
 VB09        ,160.0
 AS05        ,143.0
 AS06        ,213.0
 DB02        ,170.0
 DB04        ,170.0
 VB02        ,164.0
 VB04        ,184.0
 VB05        ,140.0
 VB06        ,160.0
 VB07        ,135.0
 VB08        ,135.0
 VB03        ,132.0
 vBWML3        ,276.0
 SMBVL       ,99.0
 RIAR        ,220.0
 SAAVL       ,193.0
 vBWML8        ,299.0
 vBWML14       ,336.0
 dBWMR7        ,415.0
 dBWMR2        ,207.0
 IL2VR         ,122.0
 OLQDR         ,243.0
 CEPVL       ,66.0
 SDQR          ,109.0
 dBWMR8        ,225.0
 dBWMR9        ,298.0
 dBWMR11       ,328.0
 dBWMR12       ,341.0
 dBWMR13       ,318.0
 dBWMR14       ,329.0
 dBWMR15       ,297.0
 dBWMR16       ,355.0
 PVNL          ,352.0
 DA01        ,273.0
 DA02        ,319.0
 DA03        ,311.0
 AS01        ,169.0
 VA12        ,564.0
 PDB         ,309.0
 dBWML1        ,231.0
 dBWML2        ,260.0
 IL1DR         ,306.0
 IL1R          ,367.0
 vBWMR2        ,210.0
 IL1VR         ,214.0
 vBWMR5        ,191.0
 vBWMR8        ,451.0
 AIMR        ,109.0
 IL2VR       ,40.0
 DA01          ,422.0
 VA09          ,245.0
 LUAR          ,317.0
 AS11          ,414.0
 LUAL          ,371.0
 DA09          ,410.0
 RMDDL       ,258.0
 dBWML13       ,322.0
 AS02          ,402.0
 AS07          ,286.0
 AS08          ,305.0
 AS09          ,276.0
 VA05          ,355.0
 VA07          ,209.0
 VA10          ,304.0
 PHCL        ,297.0
 VA02        ,246.0
 VA10        ,424.0
 PHCR        ,505.0
 AS10        ,541.0
 DA04        ,283.0
 URYVR       ,86.0
 SABVR       ,200.0
 DA05        ,239.0
 DA06        ,179.0
 VA01        ,202.0
 VA03        ,265.0
 VA04        ,233.0
 VA05        ,179.0
 VA06        ,172.0
 VA07        ,197.0
 VA08        ,179.0
 VA09        ,179.0
 IL1VL       ,79.0
 SAADR       ,58.0
 dBWML7        ,298.0
 dBWML8        ,245.0
 dBWML10       ,261.0
 dBWML11       ,319.0
 dBWML12       ,339.0
 dBWML15       ,275.0
 vBWMR12       ,366.0
 vBWMR13       ,434.0
 ALNR        ,173.0
 ALNL        ,180.0
 RMDR        ,209.0
 IL2DR       ,26.0
 IL2VL       ,19.0
 AS06          ,157.0
 PVDL        ,247.0
 SABVL       ,92.0
 ALMR          ,139.0
 IL2R        ,99.0
 RIFR        ,138.0
 PVWL        ,486.0
 VC01        ,140.0
 AVM           ,89.0
 URADR         ,96.0
 PLNR          ,94.0
 PLML        ,201.0
 PLMR        ,245.0
 DVB           ,81.0
 VC01          ,201.0
 VC05        ,67.0
 IL1DR       ,96.0
 IL1DL       ,65.0
AIYR ,364.0
AIMR ,754.0
AVJL ,1223.0
PVCL ,2671.0
IL2R ,402.0
IL2VR ,394.0
RMDVL ,570.0
SIBVR ,731.0
AUAR ,343.0
IL1R ,491.0
URYDR ,538.0
AVER ,1452.0
URAVR ,376.0
PVR ,1902.0
OLQVR ,293.0
ALA ,412.0
RMDVR ,1092.0
SMBVR ,1226.0
OLQDR ,272.0
URADL ,109.0
AVM ,713.0
BDUR ,442.0
PQR ,972.0
PHAL ,478.0
PVCR ,3073.0
AVL ,1488.0
PVNL ,1672.0
AVBL ,2039.0
VC01 ,584.0
VC02 ,796.0
VC03 ,1280.0
ALML ,589.0
SIADR ,750.0
AVDL ,1464.0
 CEPVR       ,57.0
 IL1R        ,30.0
 IL1VR       ,70.0
 VB03          ,212.0
 PVM           ,49.0
 AVM         ,126.0
 vBWMR1        ,47.0
 CEPDL       ,15.0
 PHAR          ,37.0
 PHBR          ,62.0
 PLNL        ,174.0
 VD12          ,555.0
 BDUL        ,62.0
 VD05          ,338.0
 DD03          ,314.0
 VC04        ,57.0
 vm2pL       ,53.0
 vm2pR       ,53.0
IL1VL ,289.0
ASJL ,210.0
IL1DL ,247.0
IL2DR ,255.0
AVG ,1876.0
AVJR ,1493.0
LUAL ,523.0
RIFL ,280.0
LUAR ,906.0
PVDL ,601.0
PVDR ,561.0
PHBL ,772.0
PHBR ,729.0
PHCL ,464.0
VA02 ,585.0
VA12 ,1200.0
VD06 ,264.0
PVWR ,616.0
RMHL ,386.0
VA04 ,482.0
VA06 ,497.0
VD05 ,269.0
VD11 ,658.0
VD13 ,807.0
ALMR ,258.0
PDER ,319.0
DVB ,695.0
PVWL ,466.0
RMDDR ,423.0
DA08 ,1196.0
DA09 ,1342.0
PDA ,570.0
DB07 ,929.0
AS10 ,421.0
AS11 ,588.0
PDB ,334.0
VA10 ,600.0
VA11 ,952.0
VB11 ,672.0
VD12 ,717.0
PLML ,139.0
PLMR ,161.0
hyp ,2429.0
 PHAL          ,64.0
 PDB           ,24.0
 DD05          ,242.0
 VD10          ,245.0
 VB05          ,74.0
 VD09        ,74.0
 PHCR          ,75.0
 PLNR        ,107.0
 VD02        ,117.0
 vBWMR22       ,205.0
 vBWMR23       ,150.0
 vBWML22       ,143.0
 vBWML23       ,89.0
 vBWMR24       ,64.0
 VD05        ,37.0
 VD07        ,23.0
 AS02        ,60.0
 vBWML19       ,168.0
 vBWMR21       ,196.0
 VB10          ,52.0
 DD02        ,76.0
IL1DR ,314.0
RMEL ,154.0
URADR ,151.0
PVM ,335.0
VC04 ,183.0
DA07 ,577.0
VC05 ,321.0
PHCR ,500.0
 PHCL          ,43.0
SABVR ,205.0
DA01 ,337.0
DA02 ,486.0
DA03 ,468.0
DA04 ,347.0
DA05 ,351.0
DA06 ,536.0
AS01 ,259.0
AS03 ,131.0
AS05 ,151.0
AS06 ,243.0
VA01 ,236.0
VA03 ,495.0
VA05 ,277.0
VA07 ,373.0
VA08 ,393.0
VA09 ,352.0
VD01 ,209.0
RID ,341.0
RMER ,157.0
DD06 ,524.0
SABD ,291.0
SIBDR ,414.0
DB01 ,392.0
DD01 ,346.0
AS02 ,208.0
 VD03        ,88.0
 PDEL          ,14.0
VB02 ,483.0
VD02 ,353.0
 dBWML9      ,22.0
VC06 ,328.0
 PDA           ,24.0
 intL          ,24.0
 VD11          ,320.0
 vBWML17       ,99.0
 vBWMR17       ,83.0
PDEL ,264.0
VB06 ,306.0
VD03 ,209.0
VD04 ,138.0
 dBWML21       ,224.0
 dBWMR21       ,197.0
 dBWML22       ,144.0
 dBWML23       ,138.0
 dBWML24       ,138.0
 dBWMR22       ,164.0
 dBWMR24       ,138.0
VB03 ,368.0
DB02 ,468.0
DB04 ,422.0
DB06 ,510.0
DD03 ,219.0
VB04 ,438.0
VB09 ,303.0
VB10 ,568.0
VD09 ,129.0
VD10 ,106.0
 dBWML19       ,219.0
 dBWMR19       ,219.0
 dBWML20       ,179.0
 dBWMR20       ,158.0
AS04 ,207.0
DD02 ,213.0
DB03 ,545.0
DB05 ,547.0
VB05 ,282.0
VB07 ,253.0
VB08 ,267.0
 VD08          ,173.0
 dBWML17       ,137.0
 dBWMR17       ,137.0
 dBWMR18       ,137.0
 vBWML18       ,127.0
 vBWMR18       ,128.0
 VB08          ,54.0
 vBWMR19       ,104.0
 VB09          ,33.0
VD07 ,144.0
 VD08        ,22.0
DD05 ,103.0
DD04 ,134.0
 DB06          ,24.0
AS07 ,60.0
 DB05          ,21.0
 DD04        ,22.0
vm2aL  ,21.0
vm2pL ,21.0
vm2pR ,21.0
dBWML10 ,4.0
um1pL ,16.0
vm1pL ,10.0
um1pR ,16.0
 pm3d        ,20.0
 mc1dl       ,30.0
 mc1dr       ,23.0
 pm6d        ,23.0
 mc2dl       ,33.0
 mc2dr       ,29.0
 mc2v        ,14.0
