pre,post,gap_weight,chem_weight,functional_weight,uncertainty,data_sources
ADAR,RIVR,,1.8,-0.0212168898433446,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_n2u', 'white1986_whole']"
ADAR,RMDDL,,,,,[]
ADAR,RMDDR,,,,,[]
ADAR,RMDL,,,0.0046338974498212,,['funconn']
ADAR,RMDR,,,0.0250973999500274,,['funconn']
ADAR,RMDVL,,,0.0102736055850982,,['funconn']
ADAR,RMDVR,,,,,[]
ADAR,RMED,,,,,[]
ADAR,RMEL,,,-0.0084221353754401,,['funconn']
ADAR,RMER,,,,,[]
ADAR,RMEV,,,0.0333171263337135,,['funconn']
ADAR,RMFL,,,,,[]
ADAR,RMFR,,1.5,,,"['witvliet2020_7', 'witvliet2020_8']"
ADAR,RMGL,,,,,[]
ADAR,RMGR,,,,,[]
ADAR,RMHL,,,,,[]
ADAR,RMHR,,,,,[]
ADAR,SAADL,,,,,[]
ADAR,SAADR,,1.0,,,['witvliet2020_7']
ADAR,SAAVL,,,-0.0094762677326798,,['funconn']
ADAR,SAAVR,,,0.0073768100701272,,['funconn']
ADAR,SABD,,,0.029473191127181,,['funconn']
ADAR,SABVL,,,-0.0206436663866043,,['funconn']
ADAR,SABVR,,,,,[]
ADAR,SDQL,,,,,[]
ADAR,SDQR,,,,,[]
ADAR,SIADL,,,,,[]
ADAR,SIADR,,,,,[]
ADAR,SIAVL,,,,,[]
ADAR,SIAVR,,,,,[]
ADAR,SIBDL,,,,,[]
ADAR,SIBDR,,,,,[]
ADAR,SIBVL,,,,,[]
ADAR,SIBVR,,,,,[]
ADAR,SMBDL,,,-0.0767635628581047,,['funconn']
ADAR,SMBDR,,,,,[]
ADAR,SMBVL,,,-0.000288476672722,,['funconn']
ADAR,SMBVR,,,,,[]
ADAR,SMDDL,,,0.0030183929484337,,['funconn']
ADAR,SMDDR,,1.0,,,['white1986_jsh']
ADAR,SMDVL,,1.5,,,"['cook2019', 'openworm', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAR,SMDVR,,,,,[]
ADAR,URADL,,,,,[]
ADAR,URADR,,,,,[]
