wbgene,symbol,sequence
WBGene00011239,pges-2,pges-2
WBGene00002152,iars-1,iars-1
WBGene00011240,mask-1,mask-1
WBGene00003064,lpd-8,lpd-8
WBGene00001669,gpa-7,gpa-7
WBGene00008729,F13B12.1,F13B12.1
WBGene00008487,F01D4.3,F01D4.3
WBGene00001189,egl-21,egl-21
WBGene00006527,tax-6,tax-6
WBGene00202419,C02F4.11,C02F4.11
WBGene00220252,C02F4.12,C02F4.12
WBGene00000288,cal-4,cal-4
WBGene00008077,oac-8,oac-8
WBGene00010647,K08C7.4,K08C7.4
WBGene00011292,allo-1,allo-1
WBGene00003568,ncx-3,ncx-3
WBGene00000865,cyb-1,cyb-1
WBGene00001730,grl-21,grl-21
WBGene00012013,ugt-54,ugt-54
WBGene00012014,T25B9.8,T25B9.8
WBGene00012015,T25B9.9,T25B9.9
WBGene00011259,miz-1,miz-1
WBGene00011720,T11G6.5,T11G6.5
WBGene00011722,rbm-22,rbm-22
WBGene00008750,F13E9.1,F13E9.1
WBGene00008760,F13E9.11,F13E9.11
WBGene00004319,rbr-2,rbr-2
WBGene00001017,dnc-1,dnc-1
WBGene00003081,lsm-7,lsm-7
WBGene00002981,lgg-2,lgg-2
WBGene00014004,fic-1,fic-1
WBGene00003586,ndx-9,ndx-9
WBGene00008774,F13H10.3,F13H10.3
WBGene00008775,mogs-1,mogs-1
WBGene00044784,F13H10.8,F13H10.8
WBGene00001426,fkb-1,fkb-1
WBGene00012385,Y5F2A.4,Y5F2A.4
WBGene00010882,atg-7,atg-7
WBGene00002344,let-70,let-70
WBGene00220032,M7.15,M7.15
WBGene00010884,M7.8,M7.8
WBGene00004474,rps-5,rps-5
WBGene00011481,imp-2,imp-2
WBGene00011480,enpl-1,enpl-1
WBGene00004985,spo-11,spo-11
WBGene00004204,swsn-4,swsn-4
WBGene00007443,pfd-1,pfd-1
WBGene00008504,pigq-1,pigq-1
WBGene00008505,F01G4.6,F01G4.6
WBGene00007444,C08F8.2,C08F8.2
WBGene00007449,C08F8.9,C08F8.9
WBGene00011122,cpt-2,cpt-2
WBGene00011123,nuaf-3,nuaf-3
WBGene00000699,col-125,col-125
WBGene00007113,B0035.15,B0035.15
WBGene00001019,dnj-1,dnj-1
WBGene00007105,znf-207,znf-207
WBGene00007106,B0035.3,B0035.3
WBGene00007107,pfd-4,pfd-4
WBGene00007110,leo-1,leo-1
WBGene00007111,sart-3,sart-3
WBGene00002223,klp-12,klp-12
WBGene00011337,T01G1.2,T01G1.2
WBGene00044025,T01G1.4,T01G1.4
WBGene00011338,sec-31,sec-31
WBGene00009039,F22B3.8,F22B3.8
WBGene00002192,kin-4,kin-4
WBGene00007006,npr-3,npr-3
WBGene00007514,catp-8,catp-8
WBGene00003148,mbf-1,mbf-1
WBGene00004892,sms-1,sms-1
WBGene00010847,M04B2.4,M04B2.4
WBGene00001585,gfl-1,gfl-1
WBGene00003218,mep-1,mep-1
WBGene00010849,M04B2.7,M04B2.7
WBGene00008722,F12F6.7,F12F6.7
WBGene00004755,sec-24.1,sec-24.1
WBGene00008720,F12F6.1,F12F6.1
WBGene00009589,F40F11.4,F40F11.4
WBGene00009588,F40F11.3,F40F11.3
WBGene00009587,mig-38,mig-38
WBGene00004480,rps-11,rps-11
WBGene00012497,ragc-1,ragc-1
WBGene00012496,Y24F12A.1,Y24F12A.1
WBGene00003415,mars-1,mars-1
WBGene00014086,ZK809.3,ZK809.3
WBGene00001320,ent-1,ent-1
WBGene00014087,ZK809.5,ZK809.5
WBGene00014080,atg-4.2,atg-4.2
