wbgene,symbol,sequence
WBGene00001223,ehn-3,ehn-3
WBGene00044500,T19E7.6,T19E7.6
WBGene00000687,col-113,col-113
WBGene00001936,his-62,his-62
WBGene00044508,nsy-7,nsy-7
WBGene00012433,Y11D7A.9,Y11D7A.9
WBGene00011454,lron-14,lron-14
WBGene00044922,Y43C5A.7,Y43C5A.7
WBGene00011181,R09H10.3,R09H10.3
WBGene00011719,T11G6.4,T11G6.4
WBGene00014005,ZK593.9,ZK593.9
WBGene00008503,F01G4.4,F01G4.4
WBGene00011741,T12G3.6,T12G3.6
WBGene00012709,sre-15,sre-15
WBGene00044907,K08E7.10,K08E7.10
WBGene00008178,C48D1.5,C48D1.5
WBGene00013412,Y64G10A.2,Y64G10A.2
WBGene00023520,oig-5,oig-5
WBGene00170129,21ur-7422,21ur-7422
WBGene00172675,21ur-5732,21ur-5732
WBGene00077752,Y105C5A.508,Y105C5A.508
WBGene00013774,clec-193,clec-193
WBGene00049400,21ur-3793,21ur-3793
WBGene00015649,C09F5.3,C09F5.3
WBGene00019331,dos-3,dos-3
WBGene00003978,pes-4,pes-4
WBGene00014979,ZC47.11,ZC47.11
WBGene00001236,elc-1,elc-1
WBGene00005141,srd-64,srd-64
WBGene00021263,Y22D7AR.10,Y22D7AR.10
WBGene00219299,C01G12.16,C01G12.16
WBGene00011278,R74.2,R74.2
WBGene00008912,F17C8.7,F17C8.7
WBGene00000561,cnd-1,cnd-1
WBGene00020530,T15B12.1,T15B12.1
WBGene00001869,him-10,him-10
WBGene00000265,brd-1,brd-1
WBGene00044946,C03B8.5,C03B8.5
WBGene00019456,K06H7.2,K06H7.2
WBGene00016242,C30A5.10,C30A5.10
WBGene00019882,R05D3.9,R05D3.9
WBGene00015525,rha-2,rha-2
WBGene00004041,plg-1,plg-1
WBGene00000863,cya-1,cya-1
WBGene00005936,srx-45,srx-45
WBGene00012663,hex-3,hex-3
WBGene00012123,T28D6.3,T28D6.3
WBGene00010073,F54F12.2,F54F12.2
WBGene00020490,tmc-1,tmc-1
WBGene00016872,dop-4,dop-4
WBGene00019272,H42K12.3,H42K12.3
WBGene00304790,ZC53.22,ZC53.22
WBGene00019828,R02E12.4,R02E12.4
WBGene00017308,F09F9.3,F09F9.3
WBGene00006393,taf-11.1,taf-11.1
WBGene00003377,mls-2,mls-2
WBGene00001824,hbl-1,hbl-1
WBGene00019160,nlp-49,nlp-49
WBGene00003254,mig-23,mig-23
WBGene00006746,unc-6,unc-6
WBGene00303398,F46H5.11,F46H5.11
WBGene00004949,sox-2,sox-2
WBGene00018603,F48E3.2,F48E3.2
WBGene00003171,mec-7,mec-7
WBGene00000422,ced-8,ced-8
WBGene00004369,rig-1,rig-1
WBGene00195542,C24A3.10,C24A3.10
WBGene00006637,tsp-11,tsp-11
WBGene00002270,lec-7,lec-7
WBGene00009617,slc-9B.1,slc-9B.1
WBGene00010225,ttr-31,ttr-31
WBGene00003180,med-1,med-1
WBGene00010775,poml-1,poml-1
WBGene00010834,mct-3,mct-3
WBGene00000618,col-41,col-41
WBGene00004789,sgk-1,sgk-1
WBGene00197269,F59C12.8,F59C12.8
WBGene00004235,ptr-21,ptr-21
WBGene00255457,F23C8.14,F23C8.14
WBGene00017739,F23C8.11,F23C8.11
WBGene00002141,inx-19,inx-19
WBGene00000237,bam-2,bam-2
WBGene00020900,T28F2.1,T28F2.1
WBGene00004217,ptr-2,ptr-2
WBGene00022833,ZK973.4,ZK973.4
WBGene00020656,T21E12.5,T21E12.5
WBGene00022471,rnf-145,rnf-145
WBGene00022472,Y119C1B.6,Y119C1B.6
WBGene00002979,lfe-2,lfe-2
WBGene00022463,elpc-1,elpc-1
WBGene00006508,tns-1,tns-1
WBGene00000632,col-55,col-55
WBGene00020402,T10B11.6,T10B11.6
WBGene00219281,K10D3.8,K10D3.8
WBGene00011915,ctf-8,ctf-8
WBGene00197258,C54G4.11,C54G4.11
WBGene00013957,sre-23,sre-23
WBGene00000527,cle-1,cle-1
WBGene00009958,madd-4,madd-4
WBGene00012296,spe-46,spe-46
WBGene00009260,calm-1,calm-1
WBGene00013710,Y106G6G.1,Y106G6G.1
WBGene00016460,C35E7.8,C35E7.8
WBGene00010652,K08C9.5,K08C9.5
WBGene00012270,W04G5.10,W04G5.10
WBGene00008569,fbxa-101,fbxa-101
WBGene00044066,fbxb-66,fbxb-66
WBGene00013510,Y71A12B.13,Y71A12B.13
WBGene00044513,nlp-70,nlp-70
WBGene00005516,sri-4,sri-4
WBGene00019091,srab-13,srab-13
WBGene00044520,F59A7.12,F59A7.12
WBGene00020699,T22F3.10,T22F3.10
WBGene00019357,cpg-8,cpg-8
WBGene00005110,srd-32,srd-32
WBGene00001727,grl-18,grl-18
WBGene00020270,T05H4.7,T05H4.7
WBGene00003786,npa-1,npa-1
WBGene00005312,srh-91,srh-91
WBGene00194921,ZK742.7,ZK742.7
WBGene00015860,C16D9.5,C16D9.5
WBGene00015864,C16D9.9,C16D9.9
WBGene00017879,acd-4,acd-4
WBGene00020554,T19A5.3,T19A5.3
WBGene00019111,F59E11.5,F59E11.5
WBGene00011536,T06E4.9,T06E4.9
WBGene00013964,nlp-73,nlp-73
WBGene00044020,ZK856.14,ZK856.14
WBGene00009333,zzz-1,zzz-1
WBGene00011428,nlp-80,nlp-80
WBGene00011832,bgal-1,bgal-1
WBGene00198429,F57B7.9,F57B7.9
WBGene00000983,dhs-20,dhs-20
WBGene00011264,R13H4.6,R13H4.6
WBGene00011265,R13H4.7,R13H4.7
WBGene00197847,K12G11.10,K12G11.10
WBGene00001553,gcy-33,gcy-33
WBGene00200967,C13C4.11,C13C4.11
WBGene00006677,twk-24,twk-24
WBGene00008183,rin-1,rin-1
WBGene00005782,srw-35,srw-35
WBGene00006017,srx-126,srx-126
WBGene00044181,F09C6.11,F09C6.11
WBGene00013585,cyp-42A1,cyp-42A1
WBGene00014876,Y39B6A.t2,Y39B6A.t2
WBGene00003763,nlp-25,nlp-25
WBGene00013819,Y116F11A.6,Y116F11A.6
WBGene00003566,ncx-1,ncx-1
WBGene00013764,Y113G7B.15,Y113G7B.15
WBGene00077669,Y38H6A.5,Y38H6A.5
WBGene00007124,B0250.7,B0250.7
WBGene00009760,F46B3.7,F46B3.7
WBGene00077434,F46B3.20,F46B3.20
WBGene00220159,Y44A6C.3,Y44A6C.3
WBGene00009291,clec-264,clec-264
WBGene00044640,B0432.14,B0432.14
WBGene00016299,C32B5.6,C32B5.6
WBGene00015301,C01F1.6,C01F1.6
WBGene00020248,T05C1.1,T05C1.1
WBGene00219823,C18A3.24,C18A3.24
WBGene00018871,F55C12.4,F55C12.4
WBGene00197074,C30B5.11,C30B5.11
WBGene00020800,zig-10,zig-10
WBGene00016172,C27H5.2,C27H5.2
WBGene00015566,C07D10.1,C07D10.1
WBGene00271809,D1022.17,D1022.17
WBGene00011923,chhy-1,chhy-1
WBGene00011886,T21B10.4,T21B10.4
WBGene00001761,gst-13,gst-13
WBGene00007229,C01G6.9,C01G6.9
WBGene00014173,ZK970.7,ZK970.7
WBGene00009700,lurp-1,lurp-1
WBGene00004455,rpl-42,rpl-42
WBGene00013388,Y62F5A.10,Y62F5A.10
WBGene00010194,btb-19,btb-19
WBGene00007999,tag-297,tag-297
WBGene00021524,Y41D4B.24,Y41D4B.24
WBGene00016024,glb-7,glb-7
WBGene00021898,Y54G2A.36,Y54G2A.36
WBGene00044480,ZK185.4,ZK185.4
WBGene00022247,lgc-10,lgc-10
WBGene00004179,prg-2,prg-2
WBGene00003992,pgl-1,pgl-1
WBGene00001584,nrde-4,nrde-4
WBGene00019506,K07H8.5,K07H8.5
WBGene00001906,his-32,his-32
WBGene00017542,F17E9.5,F17E9.5
WBGene00004052,parg-2,parg-2
WBGene00019229,ipla-5,ipla-5
WBGene00001751,gst-3,gst-3
WBGene00011721,T11G6.7,T11G6.7
WBGene00003657,nhr-67,nhr-67
WBGene00007513,wht-2,wht-2
WBGene00006916,vha-7,vha-7
WBGene00014139,nstp-5,nstp-5
WBGene00013335,Y57G11C.46,Y57G11C.46
WBGene00168764,21ur-9231,21ur-9231
WBGene00020285,T06A10.2,T06A10.2
WBGene00007823,C30H6.5,C30H6.5
WBGene00022349,Y82E9BR.17,Y82E9BR.17
WBGene00194692,T02C12.5,T02C12.5
WBGene00007624,hrde-1,hrde-1
WBGene00000465,cpg-1,cpg-1
WBGene00015146,abi-1,abi-1
WBGene00016193,C28H8.2,C28H8.2
WBGene00016979,C56G2.4,C56G2.4
WBGene00015544,C06E8.5,C06E8.5
WBGene00044005,F37C12.18,F37C12.18
WBGene00015559,npr-17,npr-17
WBGene00018367,F42H10.3,F42H10.3
WBGene00013846,ZC84.1,ZC84.1
WBGene00011221,R10E12.2,R10E12.2
WBGene00007321,C05B5.4,C05B5.4
WBGene00003482,mua-3,mua-3
WBGene00006783,unc-47,unc-47
WBGene00012970,Y48A6B.9,Y48A6B.9
WBGene00013424,Y66A7A.4,Y66A7A.4
WBGene00012556,mrps-10,mrps-10
WBGene00000267,bre-2,bre-2
WBGene00008714,F11F1.1,F11F1.1
WBGene00006509,tag-164,tag-164
WBGene00020571,lpr-7,lpr-7
WBGene00020573,T19D7.5,T19D7.5
WBGene00044753,F49H12.7,F49H12.7
WBGene00000451,ceh-30,ceh-30
WBGene00019346,K02G10.5,K02G10.5
WBGene00015788,C15B12.8,C15B12.8
WBGene00044574,F23G4.1,F23G4.1
WBGene00018605,F48E3.4,F48E3.4
WBGene00018227,nep-15,nep-15
WBGene00011104,cut-5,cut-5
WBGene00195208,W02H3.3,W02H3.3
WBGene00007326,C05C9.2,C05C9.2
WBGene00013976,hizr-1,hizr-1
WBGene00000212,asm-2,asm-2
WBGene00006654,ttx-3,ttx-3
WBGene00304215,F17A2.16,F17A2.16
WBGene00005123,srd-45,srd-45
WBGene00010027,F54B11.4,F54B11.4
WBGene00009720,F45B8.3,F45B8.3
WBGene00008978,cutl-3,cutl-3
WBGene00195210,Y7A5A.13,Y7A5A.13
WBGene00044773,C08A9.10,C08A9.10
WBGene00019909,R06A10.1,R06A10.1
WBGene00006820,unc-89,unc-89
WBGene00016330,C32E12.4,C32E12.4
WBGene00016752,C48E7.7,C48E7.7
WBGene00020414,T10E9.4,T10E9.4
WBGene00019247,syp-4,syp-4
WBGene00219591,linc-149,linc-149
WBGene00009270,F30F8.1,F30F8.1
WBGene00008314,C54G4.4,C54G4.4
WBGene00044679,K02B12.9,K02B12.9
WBGene00009346,F32H2.10,F32H2.10
WBGene00009125,F25H5.2,F25H5.2
WBGene00007043,algn-10,algn-10
WBGene00009462,sre-22,sre-22
WBGene00005710,sru-47,sru-47
WBGene00013135,rga-2,rga-2
WBGene00005835,srw-88,srw-88
WBGene00008568,F08A8.5,F08A8.5
WBGene00007214,C01A2.2,C01A2.2
WBGene00077443,Y71A12B.19,Y71A12B.19
WBGene00010584,K05C4.8,K05C4.8
WBGene00019973,R09A1.3,R09A1.3
WBGene00022287,Y75B7AR.1,Y75B7AR.1
WBGene00000108,alh-2,alh-2
WBGene00003096,lys-7,lys-7
WBGene00044090,srbc-33,srbc-33
WBGene00020700,T22F3.11,T22F3.11
WBGene00005932,srx-41,srx-41
WBGene00015359,C02G6.1,C02G6.1
WBGene00019652,cest-34,cest-34
WBGene00020528,lgc-54,lgc-54
WBGene00016363,srab-4,srab-4
WBGene00016816,C50E3.5,C50E3.5
WBGene00022813,ZK742.3,ZK742.3
WBGene00219666,linc-31,linc-31
WBGene00001892,his-18,his-18
WBGene00005893,srx-2,srx-2
WBGene00019853,srsx-20,srsx-20
WBGene00018402,kvs-3,kvs-3
WBGene00001830,hcp-2,hcp-2
WBGene00005702,sru-39,sru-39
WBGene00005700,sru-37,sru-37
WBGene00008875,F15H10.8,F15H10.8
WBGene00008916,clec-221,clec-221
WBGene00001716,grl-7,grl-7
WBGene00000727,col-154,col-154
WBGene00198075,F57B7.8,F57B7.8
WBGene00000729,col-156,col-156
WBGene00012276,his-74,his-74
WBGene00045340,T10G3.8,T10G3.8
WBGene00009997,F53F4.15,F53F4.15
WBGene00011931,srsx-19,srsx-19
WBGene00004997,spp-12,spp-12
WBGene00011795,T16A9.5,T16A9.5
WBGene00011794,nep-21,nep-21
WBGene00010378,H12D21.2,H12D21.2
WBGene00014643,B0391.8,B0391.8
WBGene00013610,fbxa-206,fbxa-206
WBGene00013939,ZK218.5,ZK218.5
WBGene00008010,C38D9.2,C38D9.2
WBGene00010295,fbxa-193,fbxa-193
WBGene00013349,Y59A8B.12,Y59A8B.12
WBGene00007440,C08E8.4,C08E8.4
WBGene00013588,nlp-42,nlp-42
WBGene00077457,Y39B6A.49,Y39B6A.49
WBGene00086559,Y43F8B.20,Y43F8B.20
WBGene00013817,Y116F11A.3,Y116F11A.3
WBGene00013746,lgc-55,lgc-55
WBGene00013758,fbxa-114,fbxa-114
WBGene00018668,bath-2,bath-2
WBGene00017252,sdz-10,sdz-10
WBGene00015853,C16C8.16,C16C8.16
WBGene00019858,R03H10.6,R03H10.6
WBGene00020715,nspd-4,nspd-4
WBGene00005067,srb-2,srb-2
WBGene00016276,C30G12.4,C30G12.4
WBGene00015516,C06A8.6,C06A8.6
WBGene00003743,nlp-5,nlp-5
WBGene00009043,F22B5.5,F22B5.5
WBGene00009780,F46C5.4,F46C5.4
WBGene00009782,F46C5.7,F46C5.7
WBGene00011848,chil-27,chil-27
WBGene00011335,T01E8.8,T01E8.8
WBGene00005036,sra-10,sra-10
WBGene00005037,sra-11,sra-11
WBGene00000658,col-83,col-83
WBGene00008137,sfxn-1.4,sfxn-1.4
WBGene00001977,hmg-12,hmg-12
WBGene00012219,W03C9.1,W03C9.1
WBGene00013263,txdc-12.1,txdc-12.1
WBGene00013274,Y57A10B.2,Y57A10B.2
WBGene00011877,T21B4.3,T21B4.3
WBGene00011878,ador-1,ador-1
WBGene00005289,srh-68,srh-68
WBGene00012915,lgc-35,lgc-35
WBGene00009644,F42G4.7,F42G4.7
WBGene00008862,F15D4.5,F15D4.5
WBGene00012723,Y39G8B.2,Y39G8B.2
WBGene00044464,Y77E11A.16,Y77E11A.16
WBGene00022086,sprr-3,sprr-3
WBGene00020729,T23E1.2,T23E1.2
WBGene00021375,Y37E11B.2,Y37E11B.2
WBGene00044478,K06B9.6,K06B9.6
WBGene00219684,linc-26,linc-26
WBGene00019718,M01H9.2,M01H9.2
WBGene00020356,T08B6.9,T08B6.9
WBGene00169595,21ur-14036,21ur-14036
WBGene00016541,C39H7.1,C39H7.1
WBGene00016758,C49A9.4,C49A9.4
WBGene00019060,acox-3,acox-3
WBGene00001862,him-3,him-3
WBGene00006109,str-44,str-44
WBGene00016382,C33H5.16,C33H5.16
WBGene00018360,irld-8,irld-8
WBGene00016770,C49C8.6,C49C8.6
WBGene00012120,T28C6.5,T28C6.5
WBGene00023424,C53D6.10,C53D6.10
WBGene00009679,F44D12.2,F44D12.2
WBGene00009681,gipc-2,gipc-2
WBGene00008730,F13B12.2,F13B12.2
WBGene00008076,lgc-43,lgc-43
WBGene00010883,M7.7,M7.7
WBGene00010351,cbd-1,cbd-1
WBGene00009896,scl-3,scl-3
WBGene00007457,C08F11.10,C08F11.10
WBGene00011018,R05A10.1,R05A10.1
WBGene00048999,21ur-4663,21ur-4663
WBGene00009536,F38C2.4,F38C2.4
WBGene00255598,BE0003N10.6,BE0003N10.6
WBGene00017101,E02H9.3,E02H9.3
WBGene00019261,H34I24.2,H34I24.2
WBGene00010811,hmit-1.3,hmit-1.3
WBGene00044167,C36A4.11,C36A4.11
WBGene00016676,C45G9.5,C45G9.5
WBGene00020964,polq-1,polq-1
WBGene00000435,ceh-10,ceh-10
WBGene00006987,zmp-1,zmp-1
WBGene00002881,let-756,let-756
WBGene00005712,srv-1,srv-1
WBGene00220259,ZK418.13,ZK418.13
WBGene00003024,lin-39,lin-39
WBGene00194726,R13A5.15,R13A5.15
WBGene00019458,K06H7.7,K06H7.7
WBGene00015124,anmt-1,anmt-1
WBGene00015131,B0303.11,B0303.11
WBGene00003253,mig-22,mig-22
WBGene00018833,ztf-1,ztf-1
WBGene00001689,gpr-2,gpr-2
WBGene00010538,ttr-3,ttr-3
WBGene00013442,Y66D12A.16,Y66D12A.16
WBGene00013233,sdz-33,sdz-33
WBGene00019734,nlp-64,nlp-64
WBGene00195183,R04A9.9,R04A9.9
WBGene00044281,R04A9.7,R04A9.7
WBGene00002056,ifc-2,ifc-2
WBGene00020215,T04G9.4,T04G9.4
WBGene00017779,gtr-1,gtr-1
WBGene00018215,igcm-1,igcm-1
WBGene00016109,C25G6.4,C25G6.4
WBGene00016107,C25G6.1,C25G6.1
WBGene00219769,linc-64,linc-64
WBGene00018744,F53B3.6,F53B3.6
WBGene00001461,flp-18,flp-18
WBGene00001400,fax-1,fax-1
WBGene00022770,acp-1,acp-1
WBGene00000990,dhs-27,dhs-27
WBGene00018026,F35A5.4,F35A5.4
WBGene00005717,srv-6,srv-6
WBGene00017471,F14H12.3,F14H12.3
WBGene00001821,ham-2,ham-2
WBGene00015493,C05E11.2,C05E11.2
WBGene00021322,Y34B4A.6,Y34B4A.6
WBGene00016933,C54G7.1,C54G7.1
WBGene00003911,pak-1,pak-1
WBGene00020484,T13C5.3,T13C5.3
WBGene00015780,C14F11.4,C14F11.4
WBGene00020421,T10E10.4,T10E10.4
WBGene00199831,F01E11.12,F01E11.12
WBGene00219373,F01E11.18,F01E11.18
WBGene00017154,ugt-57,ugt-57
WBGene00006642,tsp-16,tsp-16
WBGene00018518,F46H5.2,F46H5.2
WBGene00001069,dpy-7,dpy-7
WBGene00019846,gpx-7,gpx-7
WBGene00015322,C02B8.3,C02B8.3
WBGene00011077,R07B1.5,R07B1.5
WBGene00044686,flp-28,flp-28
WBGene00009675,F44A6.3,F44A6.3
WBGene00215616,W04G3.17,W04G3.17
WBGene00001690,grd-1,grd-1
WBGene00008737,gnrr-7,gnrr-7
WBGene00009259,hpo-34,hpo-34
WBGene00010423,zmp-5,zmp-5
WBGene00008600,F09A5.3,F09A5.3
WBGene00005128,srd-50,srd-50
WBGene00005129,srd-51,srd-51
WBGene00010060,F54E4.4,F54E4.4
WBGene00009552,piki-1,piki-1
WBGene00001362,exc-1,exc-1
WBGene00008104,B0395.t1,B0395.t1
WBGene00044770,C53C11.5,C53C11.5
WBGene00016900,C53C11.2,C53C11.2
WBGene00021660,nol-14,nol-14
WBGene00022386,Y95B8A.6,Y95B8A.6
WBGene00018232,F40E3.5,F40E3.5
WBGene00022133,Y71F9B.15,Y71F9B.15
WBGene00000625,col-48,col-48
WBGene00220054,T01A4.8,T01A4.8
WBGene00004224,ptr-10,ptr-10
WBGene00016422,noah-1,noah-1
WBGene00015689,spch-2,spch-2
WBGene00022632,ZC581.2,ZC581.2
WBGene00022634,ZC581.7,ZC581.7
WBGene00022631,nekl-2,nekl-2
WBGene00016262,C30F12.3,C30F12.3
WBGene00002348,myo-1,myo-1
WBGene00001647,gna-2,gna-2
WBGene00011968,T23G11.1,T23G11.1
WBGene00219282,F43G9.21,F43G9.21
WBGene00219926,F30A10.16,F30A10.16
WBGene00007277,asfl-1,asfl-1
WBGene00013704,Y106G6D.8,Y106G6D.8
WBGene00000780,cpn-4,cpn-4
WBGene00044262,Y95D11A.2,Y95D11A.2
WBGene00009416,F35E2.9,F35E2.9
WBGene00011388,T02G6.5,T02G6.5
WBGene00000023,abt-5,abt-5
WBGene00011431,T04D3.1,T04D3.1
WBGene00009862,fbxb-67,fbxb-67
WBGene00044245,F32A7.8,F32A7.8
WBGene00009288,F31C3.6,F31C3.6
WBGene00018010,F33E11.2,F33E11.2
WBGene00019744,M02H5.8,M02H5.8
WBGene00000976,dhs-13,dhs-13
WBGene00018115,F36H9.7,F36H9.7
WBGene00016696,srbc-19,srbc-19
WBGene00017498,pud-4,pud-4
WBGene00022018,Y61A9LA.7,Y61A9LA.7
WBGene00018211,oac-24,oac-24
WBGene00017265,snpc-1.3,snpc-1.3
WBGene00019754,M03E7.2,M03E7.2
WBGene00015769,C14C11.7,C14C11.7
WBGene00044612,Y57E12AR.1,Y57E12AR.1
WBGene00017363,F10G2.2,F10G2.2
WBGene00235093,C54F6.18,C54F6.18
WBGene00022544,ZC190.10,ZC190.10
WBGene00017659,F21C10.10,F21C10.10
WBGene00077697,F58E6.13,F58E6.13
WBGene00003092,lys-3,lys-3
WBGene00009384,piit-1,piit-1
WBGene00044631,bus-18,bus-18
WBGene00014826,R13H4.2,R13H4.2
WBGene00011100,nhr-209,nhr-209
WBGene00006874,vab-8,vab-8
WBGene00009094,F23H12.5,F23H12.5
WBGene00001539,gcy-13,gcy-13
WBGene00010734,parn-1,parn-1
WBGene00007932,zip-5,zip-5
WBGene00006019,srx-128,srx-128
WBGene00011932,sptl-3,sptl-3
WBGene00009807,pepm-1,pepm-1
WBGene00007240,C01G10.15,C01G10.15
WBGene00004037,plc-2,plc-2
WBGene00008993,F21A3.3,F21A3.3
WBGene00000057,acr-18,acr-18
WBGene00005513,sri-1,sri-1
WBGene00011850,T20B3.1,T20B3.1
WBGene00006585,tni-3,tni-3
WBGene00010212,fbxa-192,fbxa-192
WBGene00010293,fbxa-108,fbxa-108
WBGene00044758,Y37H2A.12,Y37H2A.12
WBGene00005831,srw-84,srw-84
WBGene00045050,ZC15.10,ZC15.10
WBGene00012856,Y44A6D.6,Y44A6D.6
WBGene00005081,srd-3,srd-3
WBGene00000497,chs-2,chs-2
WBGene00021972,glb-31,glb-31
WBGene00015014,bath-24,bath-24
WBGene00022713,ZK355.3,ZK355.3
WBGene00005826,srw-79,srw-79
WBGene00021716,fbxb-112,fbxb-112
WBGene00044382,Y14H12A.2,Y14H12A.2
WBGene00018045,F35D11.4,F35D11.4
WBGene00270318,F26G1.15,F26G1.15
WBGene00044298,T23B7.2,T23B7.2
WBGene00006619,try-1,try-1
WBGene00022782,ZK622.4,ZK622.4
WBGene00002268,lec-5,lec-5
WBGene00015004,B0034.4,B0034.4
WBGene00016965,C56C10.9,C56C10.9
WBGene00017351,cutl-5,cutl-5
WBGene00017128,E04F6.9,E04F6.9
WBGene00010944,M176.5,M176.5
WBGene00010014,F54B3.2,F54B3.2
WBGene00010831,M02G9.2,M02G9.2
WBGene00010830,M02G9.1,M02G9.1
WBGene00045074,R166.7,R166.7
WBGene00013926,nep-1,nep-1
WBGene00008138,C47D12.4,C47D12.4
WBGene00044030,Y17G7B.23,Y17G7B.23
WBGene00005291,srh-70,srh-70
WBGene00044757,Y55F3BR.11,Y55F3BR.11
WBGene00022307,nadk-1,nadk-1
WBGene00002243,lad-2,lad-2
WBGene00006428,tkr-3,tkr-3
WBGene00044125,srsx-16,srsx-16
WBGene00016847,C50F7.9,C50F7.9
WBGene00044326,tag-322,tag-322
WBGene00017643,czw-1,czw-1
WBGene00016125,C26B2.2,C26B2.2
WBGene00011742,tgn-38,tgn-38
WBGene00003086,lst-4,lst-4
WBGene00044979,Y41E3.19,Y41E3.19
WBGene00003931,pat-4,pat-4
WBGene00021906,Y55B1AR.2,Y55B1AR.2
WBGene00001559,gei-1,gei-1
WBGene00007622,C16C10.1,C16C10.1
WBGene00007172,B0393.7,B0393.7
WBGene00018675,F52C9.5,F52C9.5
WBGene00003055,lon-1,lon-1
WBGene00015079,B0244.4,B0244.4
WBGene00018370,F42H10.6,F42H10.6
WBGene00000439,ceh-16,ceh-16
WBGene00003929,pat-2,pat-2
WBGene00010783,mrpl-36,mrpl-36
WBGene00014073,ZK757.1,ZK757.1
WBGene00003589,nex-2,nex-2
WBGene00013448,Y66D12A.24,Y66D12A.24
WBGene00001512,gab-1,gab-1
WBGene00013914,lgc-37,lgc-37
WBGene00011476,exc-12,exc-12
WBGene00020489,hot-8,hot-8
WBGene00018655,F49H12.4,F49H12.4
WBGene00020134,T01B6.1,T01B6.1
WBGene00018577,asna-2,asna-2
WBGene00017040,D1079.1,D1079.1
WBGene00017530,F16H11.1,F16H11.1
WBGene00019404,K05B2.4,K05B2.4
WBGene00020199,metl-9,metl-9
WBGene00015388,C03F11.2,C03F11.2
WBGene00019226,H22K11.3,H22K11.3
WBGene00001463,flp-20,flp-20
WBGene00004000,pgp-6,pgp-6
WBGene00044138,sssh-1,sssh-1
WBGene00004354,rgs-11,rgs-11
WBGene00008976,plp-2,plp-2
WBGene00011101,R07D5.2,R07D5.2
WBGene00011680,T10B10.3,T10B10.3
WBGene00010372,H08J19.1,H08J19.1
WBGene00021188,Y13C8A.1,Y13C8A.1
WBGene00018203,F39F10.3,F39F10.3
WBGene00015122,B0302.5,B0302.5
WBGene00021763,Y51F10.2,Y51F10.2
WBGene00021475,tbca-1,tbca-1
WBGene00021035,W05F2.3,W05F2.3
WBGene00016332,C32F10.4,C32F10.4
WBGene00016159,pigo-1,pigo-1
WBGene00020382,T09B4.8,T09B4.8
WBGene00004773,sem-4,sem-4
WBGene00009159,F26E4.4,F26E4.4
WBGene00045390,C38C3.10,C38C3.10
WBGene00005690,sru-27,sru-27
WBGene00000387,cdc-25.2,cdc-25.2
WBGene00020955,angl-1,angl-1
WBGene00018229,F40C5.2,F40C5.2
WBGene00269429,H43I07.4,H43I07.4
WBGene00016502,C37C3.10,C37C3.10
WBGene00015220,B0507.3,B0507.3
WBGene00015218,B0507.1,B0507.1
WBGene00018405,F44A2.5,F44A2.5
WBGene00009582,F40F9.5,F40F9.5
WBGene00007430,C08B6.10,C08B6.10
WBGene00009389,F35B12.10,F35B12.10
WBGene00000285,cal-1,cal-1
WBGene00001671,gpa-9,gpa-9
WBGene00008100,C44H9.5,C44H9.5
WBGene00009987,tbcb-1,tbcb-1
WBGene00007049,tag-191,tag-191
WBGene00013568,Y75B12B.3,Y75B12B.3
WBGene00010599,K06B4.4,K06B4.4
WBGene00012451,Y17D7B.3,Y17D7B.3
WBGene00016809,C50D2.6,C50D2.6
WBGene00018767,F53G2.2,F53G2.2
WBGene00016909,frpr-4,frpr-4
WBGene00044391,C25H3.15,C25H3.15
WBGene00014054,dbt-1,dbt-1
WBGene00014663,C01G6.10,C01G6.10
WBGene00011040,arv-1,arv-1
WBGene00009356,F33A8.10,F33A8.10
WBGene00021598,Y46E12BR.1,Y46E12BR.1
WBGene00021596,spsb-2,spsb-2
WBGene00044463,W09G12.10,W09G12.10
WBGene00022313,Y77E11A.12,Y77E11A.12
WBGene00016920,C54E4.5,C54E4.5
WBGene00022072,cpg-9,cpg-9
WBGene00003955,pcn-1,pcn-1
WBGene00017922,F29B9.7,F29B9.7
WBGene00017921,F29B9.5,F29B9.5
WBGene00015097,B0273.1,B0273.1
WBGene00006745,unc-5,unc-5
WBGene00020465,T12E12.6,T12E12.6
WBGene00015278,C01B10.3,C01B10.3
WBGene00002173,itr-1,itr-1
WBGene00001456,flp-13,flp-13
WBGene00010637,K07F5.12,K07F5.12
WBGene00011482,pigk-1,pigk-1
WBGene00011479,T05E11.2,T05E11.2
WBGene00004030,pin-2,pin-2
WBGene00012867,seld-1,seld-1
WBGene00001575,gei-18,gei-18
WBGene00013534,acr-24,acr-24
WBGene00012416,Y7A9A.1,Y7A9A.1
WBGene00021124,W10C4.1,W10C4.1
WBGene00021755,hpo-38,hpo-38
WBGene00020924,W02B3.4,W02B3.4
WBGene00020453,fbxa-55,fbxa-55
WBGene00196072,Y39A3B.6,Y39A3B.6
WBGene00019199,H14E04.2,H14E04.2
WBGene00010449,K01A11.1,K01A11.1
WBGene00008286,C54C6.4,C54C6.4
WBGene00011369,T02C12.4,T02C12.4
WBGene00008654,pfas-1,pfas-1
WBGene00008656,lron-5,lron-5
WBGene00000044,acr-5,acr-5
WBGene00000448,pros-1,pros-1
WBGene00004269,rab-6.1,rab-6.1
WBGene00050931,F59B2.14,F59B2.14
WBGene00011219,srxa-10,srxa-10
WBGene00004075,pod-1,pod-1
