from_neuron,to_neuron,from_pos,to_pos,from_type,to_type,mean_gap_weight,mean_chem_weight,uncertainty,data_sources
ADEL,BDUL,"(-0.12, 87.97, 10.5)","(7.64, 186.23, -10.13)",sensory,inter,1.0,1.0,0.0,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADEL,CEPDL,"(-0.12, 87.97, 10.5)","(13.62, 49.58, 3.7)",sensory,sensory,,1.3333333333333333,,"['cook2019', 'openworm', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADEL,CEPVL,"(-0.12, 87.97, 10.5)","(1.03, 39.34, 4.58)",sensory,sensory,,1.0,,"['cook2019', 'funconn', 'witvliet2020_8']"
ADEL,FLPL,"(-0.12, 87.97, 10.5)","(0.02, 81.11, 10.58)",sensory,sensory,,2.0,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole']"
ADEL,IL1L,"(-0.12, 87.97, 10.5)","(7.23, 30.48, 6.98)",sensory,sensory,,1.8571428571428572,,"['chklovskii', 'cook2019', 'openworm', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADEL,IL2L,"(-0.12, 87.97, 10.5)","(7.93, 29.9, 9.15)",sensory,sensory,2.0,1.8571428571428572,1.2197356689220893,"['chklovskii', 'cook2019', 'openworm', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADEL,OLLL,"(-0.12, 87.97, 10.5)","(10.05, 31.34, 6.06)",sensory,sensory,,2.5714285714285716,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7']"
ADEL,PVR,"(-0.12, 87.97, 10.5)","(8.07, 786.71, -3.88)",sensory,inter,,1.0,,['white1986_jsh']
ADEL,PVT,"(-0.12, 87.97, 10.5)","(-2.9, 731.25, -1.85)",sensory,inter,,1.0,,['witvliet2020_8']
ADEL,RIAL,"(-0.12, 87.97, 10.5)","(9.98, 51.21, 5.75)",sensory,inter,,1.2,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_n2u', 'white1986_whole']"
ADEL,RIFL,"(-0.12, 87.97, 10.5)","(-8.14, 99.02, 2.31)",sensory,inter,,1.0,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_8']"
ADEL,RIGL,"(-0.12, 87.97, 10.5)","(-8.73, 114.67, 1.71)",sensory,inter,,6.75,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADEL,RIGR,"(-0.12, 87.97, 10.5)","(-8.93, 117.71, 0.23)",sensory,inter,1.0,7.625,3.541517153706869,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADEL,RIH,"(-0.12, 87.97, 10.5)","(-0.69, 47.05, -0.08)",sensory,inter,,2.0,,"['chklovskii', 'cook2019', 'openworm', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7']"
ADEL,RIVL,"(-0.12, 87.97, 10.5)","(11.92, 64.03, 4.43)",sensory,inter,,1.1428571428571428,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_8']"
