from_neuron,to_neuron,from_pos,to_pos,from_type,to_type,mean_gap_weight,mean_chem_weight,uncertainty,functional_weight,data_sources
ADAR,ADEL,"(-1.43, 91.22, -11.64)","(-0.12, 87.97, 10.5)",inter,sensory,,,,0.03335396200418472,['funconn']
ADAR,ADER,"(-1.43, 91.22, -11.64)","(-0.58, 83.23, -11.47)",inter,sensory,,1.0,,,['witvliet2020_7']
ADAR,ADFL,"(-1.43, 91.22, -11.64)","(8.48, 54.18, 7.0)",inter,sensory,,,,-0.003987835720181465,['funconn']
ADAR,ADFR,"(-1.43, 91.22, -11.64)","(7.15, 54.63, -8.88)",inter,sensory,2.3333333333333335,,,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAR,ADLL,"(-1.43, 91.22, -11.64)","(12.05, 59.13, 3.86)",inter,sensory,,,,0.03139818087220192,['funconn']
ADAR,ADLR,"(-1.43, 91.22, -11.64)","(11.38, 58.8, -6.34)",inter,sensory,,,,-6.664381362497807e-05,['funconn']
ADAR,AFDL,"(-1.43, 91.22, -11.64)","(5.99, 53.37, 7.49)",inter,sensory,,,,0.020177122205495834,['funconn']
ADAR,AIBL,"(-1.43, 91.22, -11.64)","(2.53, 55.49, 5.95)",inter,inter,,1.1428571428571428,,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7']"
ADAR,AIBR,"(-1.43, 91.22, -11.64)","(2.61, 55.94, -6.63)",inter,inter,,1.3333333333333333,,,"['chklovskii', 'cook2019', 'openworm', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7']"
ADAR,AINL,"(-1.43, 91.22, -11.64)","(6.62, 68.22, 9.69)",inter,inter,,,,-0.011584257706999779,['funconn']
ADAR,AINR,"(-1.43, 91.22, -11.64)","(7.01, 67.38, -10.84)",inter,inter,,,,-0.023646477609872818,['funconn']
ADAR,AIYR,"(-1.43, 91.22, -11.64)","(-1.49, 59.43, -1.12)",inter,inter,,,,0.04038819298148155,['funconn']
ADAR,AIZL,"(-1.43, 91.22, -11.64)","(2.53, 68.92, 7.98)",inter,inter,,,,0.04925229027867317,['funconn']
ADAR,AIZR,"(-1.43, 91.22, -11.64)","(1.72, 67.51, -8.68)",inter,inter,,,,0.026392977684736252,['funconn']
ADAR,ALA,"(-1.43, 91.22, -11.64)","(15.36, 51.26, -2.16)",inter,sensory,,,,-0.015689123421907425,['funconn']
ADAR,ASEL,"(-1.43, 91.22, -11.64)","(5.43, 61.3, 8.57)",inter,sensory,,,,0.04594215378165245,['funconn']
ADAR,ASGL,"(-1.43, 91.22, -11.64)","(8.66, 59.98, 7.01)",inter,sensory,,,,0.032910432666540146,['funconn']
ADAR,ASHL,"(-1.43, 91.22, -11.64)","(4.21, 58.42, 8.35)",inter,sensory,,,,-0.028296299278736115,['funconn']
ADAR,ASHR,"(-1.43, 91.22, -11.64)","(3.81, 57.83, -10.2)",inter,sensory,3.0,1.5,0.6370828693386971,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAR,ASIL,"(-1.43, 91.22, -11.64)","(10.14, 63.34, 5.8)",inter,sensory,,,,0.05751565843820572,['funconn']
ADAR,ASJR,"(-1.43, 91.22, -11.64)","(-1.08, 64.01, -5.99)",inter,sensory,,,,-0.023889441043138504,['funconn']
ADAR,ASKL,"(-1.43, 91.22, -11.64)","(12.0, 54.73, 4.44)",inter,sensory,,,,0.010252473875880241,['funconn']
ADAR,AUAL,"(-1.43, 91.22, -11.64)","(0.84, 60.91, 8.36)",inter,inter,,,,0.3197585344314575,['funconn']
ADAR,AVAL,"(-1.43, 91.22, -11.64)","(6.7, 50.2, 8.41)",inter,inter,,1.1428571428571428,,0.009348085150122643,"['chklovskii', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAR,AVAR,"(-1.43, 91.22, -11.64)","(4.79, 50.99, -9.13)",inter,inter,,3.0,,0.016241947188973427,"['cook2019', 'funconn', 'white1986_jsh', 'witvliet2020_7', 'witvliet2020_8']"
ADAR,AVBL,"(-1.43, 91.22, -11.64)","(5.1, 63.74, 7.12)",inter,inter,,3.0,,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAR,AVBR,"(-1.43, 91.22, -11.64)","(4.83, 62.69, -9.41)",inter,inter,,9.25,,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAR,AVDL,"(-1.43, 91.22, -11.64)","(5.35, 65.34, 9.11)",inter,inter,3.0,1.5,0.5316496580927725,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7']"
ADAR,AVDR,"(-1.43, 91.22, -11.64)","(5.14, 65.45, -10.59)",inter,inter,1.5,3.0,0.04999999999999999,,"['cook2019', 'white1986_jsh', 'witvliet2020_7', 'witvliet2020_8']"
ADAR,AVEL,"(-1.43, 91.22, -11.64)","(4.58, 51.08, 5.98)",inter,inter,,1.0,,-0.00032653994276188314,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole']"
ADAR,AVER,"(-1.43, 91.22, -11.64)","(3.63, 52.03, -6.09)",inter,inter,,1.0,,,"['witvliet2020_7', 'witvliet2020_8']"
