Neuron,KMeansCluster
 VB07        ,4
 VB08        ,4
 VB03        ,4
 vBWML3        ,0
 SMBVL       ,4
 RIAR        ,4
 SAAVL       ,4
 vBWML8        ,0
 vBWML14       ,0
 dBWMR7        ,0
 dBWMR2        ,0
 IL2VR         ,0
 OLQDR         ,0
 CEPVL       ,4
 SDQR          ,0
 dBWMR8        ,0
 dBWMR9        ,0
 dBWMR11       ,0
 dBWMR12       ,0
 dBWMR13       ,0
 dBWMR14       ,0
 dBWMR15       ,0
 dBWMR16       ,0
 PVNL          ,0
 DA01        ,0
 DA02        ,0
 DA03        ,0
 AS01        ,0
 VA12        ,4
 PDB         ,4
 dBWML1        ,0
 dBWML2        ,0
 IL1DR         ,0
 IL1R          ,0
 vBWMR2        ,0
 IL1VR         ,0
 vBWMR5        ,0
 vBWMR8        ,0
 AIMR        ,0
 IL2VR       ,4
 DA01          ,0
 VA09          ,0
 LUAR          ,0
 AS11          ,0
 LUAL          ,0
 DA09          ,0
 RMDDL       ,0
 dBWML13       ,0
 AS02          ,0
 AS07          ,0
 AS08          ,0
 AS09          ,0
 VA05          ,0
 VA07          ,0
 VA10          ,0
 PHCL        ,0
 VA02        ,0
 VA10        ,4
 PHCR        ,0
 AS10        ,4
 DA04        ,4
 URYVR       ,4
 SABVR       ,4
 DA05        ,4
 DA06        ,4
 VA01        ,4
 VA03        ,4
 VA04        ,4
 VA05        ,4
 VA06        ,4
 VA07        ,4
 VA08        ,4
 VA09        ,4
 IL1VL       ,0
 SAADR       ,4
 dBWML7        ,0
 dBWML8        ,0
 dBWML10       ,0
 dBWML11       ,0
 dBWML12       ,0
 dBWML15       ,0
 vBWMR12       ,0
 vBWMR13       ,0
 ALNR        ,0
 ALNL        ,4
 RMDR        ,4
 IL2DR       ,4
 IL2VL       ,4
 AS06          ,0
 PVDL        ,4
 SABVL       ,4
 ALMR          ,0
 IL2R        ,0
 RIFR        ,4
 PVWL        ,0
 VC01        ,4
 AVM           ,0
 URADR         ,0
 PLNR          ,0
 PLML        ,0
 PLMR        ,0
 DVB           ,0
 VC01          ,0
 VC05        ,4
 IL1DR       ,0
 IL1DL       ,0
AIYR ,1
AIMR ,0
AVJL ,1
PVCL ,1
IL2R ,0
IL2VR ,0
RMDVL ,1
SIBVR ,1
AUAR ,0
IL1R ,0
URYDR ,0
AVER ,1
URAVR ,0
PVR ,1
OLQVR ,0
ALA ,0
RMDVR ,1
SMBVR ,1
OLQDR ,0
URADL ,0
AVM ,0
BDUR ,0
PQR ,1
PHAL ,0
PVCR ,1
AVL ,1
PVNL ,1
AVBL ,1
VC01 ,0
VC02 ,1
VC03 ,1
ALML ,0
SIADR ,1
AVDL ,1
 CEPVR       ,0
