gene,mean_members,mean_control,effect_size,pval,qval
WBGene00014034,0.3402116402116402,0.7911094662389999,-0.4508978260273597,2.1064223530113615e-09,3.053497022568534e-07
WBGene00013141,0.0,0.04651698330454807,-0.04651698330454807,2.217828831110774e-09,3.1740379621801265e-07
WBGene00018519,55.80621693121693,218.74700222057734,-162.9407852893604,2.2052305312935685e-09,3.1740379621801265e-07
WBGene00020811,0.01875,0.20466321243523317,-0.18591321243523318,2.2825798679888624e-09,3.2460308261925154e-07
WBGene00011467,0.004166666666666667,0.05233160621761658,-0.048164939550949915,2.321723676753805e-09,3.260425580811328e-07
WBGene00010334,0.0,0.0920552677029361,-0.0920552677029361,2.313669174642506e-09,3.260425580811328e-07
WBGene00003431,0.008333333333333333,0.0692573402417962,-0.06092400690846286,2.395539578282408e-09,3.3225542459523097e-07
WBGene00016101,0.03425925925925926,0.3195986512048688,-0.28533939194560953,2.3840819874151345e-09,3.3225542459523097e-07
WBGene00018960,0.45965608465608465,1.1585081009951477,-0.698852016339063,2.431700468201e-09,3.3520170441722865e-07
WBGene00017758,0.2761243386243386,0.8496175672341476,-0.573493228609809,2.4543723376887297e-09,3.362639759483419e-07
WBGene00004336,10.572420634920634,27.59459659511473,-17.022175960194097,2.580026025341131e-09,3.5133699856599926e-07
WBGene00012004,5.990046296296296,17.06100830660416,-11.070962010307863,2.599544697594607e-09,3.518624687364652e-07
WBGene00006738,0.2899140211640212,0.8614441977136277,-0.5715301765496065,2.782435957827065e-09,3.743625960264451e-07
WBGene00003891,0.04282407407407407,0.4122049510650548,-0.3693808769909807,2.9010692757750227e-09,3.878368482776993e-07
WBGene00044903,0.3646825396825397,1.024549716259561,-0.6598671765770212,2.9171047825417767e-09,3.878368482776993e-07
WBGene00016052,0.0,0.04404145077720207,-0.04404145077720207,3.000646012260833e-09,3.9659714852640384e-07
WBGene00001311,0.05171957671957672,0.27889629081338924,-0.22717671409381252,3.0852508558148917e-09,4.0539474549301056e-07
WBGene00021545,1.1635912698412698,2.4697425775145985,-1.3061513076733287,3.104574790567914e-09,4.0556215679808405e-07
WBGene00001718,0.046957671957671955,0.2668722756805658,-0.21991460372289387,3.175268577653364e-09,4.078616280542686e-07
WBGene00021547,0.24821428571428572,0.9293774159059134,-0.6811631301916277,3.1758979601349944e-09,4.078616280542686e-07
WBGene00007505,0.3427248677248677,3.4329632371083147,-3.090238369383447,3.176633802550047e-09,4.078616280542686e-07
WBGene00001516,0.34252645502645507,2.669931737807386,-2.327405282780931,3.2903013949513996e-09,4.2005557979069887e-07
WBGene00017700,0.022222222222222223,0.1557858376511226,-0.13356361542890038,3.3367953619788566e-09,4.2358449145933863e-07
WBGene00021322,0.025000000000000005,0.13356361542890038,-0.10856361542890038,3.4754955040809316e-09,4.387129689954744e-07
WBGene00044674,0.0,0.06794966691339747,-0.06794966691339747,3.530834031021081e-09,4.4320843487716577e-07
WBGene00000540,0.26223544973544977,0.5818406118924253,-0.31960516215697554,3.806537956345373e-09,4.7516167411735664e-07
WBGene00195004,0.0,0.06620610247553252,-0.06620610247553252,3.914332014389827e-09,4.859178233774863e-07
WBGene00017272,1.1837962962962962,2.4251254214984788,-1.2413291252021825,3.9952590783516075e-09,4.932388803927598e-07
WBGene00044702,0.0,0.07979274611398963,-0.07979274611398963,4.0926126458990424e-09,5.024967953044021e-07
WBGene00018787,0.1372685185185185,0.5601200756641171,-0.42285155714559863,4.12060288277267e-09,5.031838378968432e-07
WBGene00022680,0.0,0.042857142857142864,-0.042857142857142864,4.334870118643083e-09,5.264875497069807e-07
WBGene00006605,0.5274801587301587,1.2726128793486307,-0.7451327206184719,4.43762420461767e-09,5.360697755567443e-07
WBGene00020715,0.0,0.04404145077720206,-0.04404145077720206,4.523432217174649e-09,5.435133608967765e-07
WBGene00022505,0.05416666666666667,0.25235627929928445,-0.19818961263261778,4.5660382683785205e-09,5.447980717744064e-07
WBGene00014080,0.41352513227513227,0.9336129615922362,-0.5200878293171038,4.582617631641942e-09,5.447980717744064e-07
WBGene00021315,0.9198743386243388,1.9382515009458012,-1.0183771623214626,4.676421222110955e-09,5.530237286295319e-07
WBGene00016667,0.004166666666666667,0.20587219343696028,-0.2017055267702936,4.702498691736166e-09,5.531960371969629e-07
WBGene00004332,0.0820436507936508,0.3383008471091373,-0.25625719631548655,4.8167193905260276e-09,5.636816040923401e-07
WBGene00010327,0.012962962962962963,0.08175014392630972,-0.06878718096334675,4.88868594657729e-09,5.691392981017883e-07
WBGene00017307,0.03958333333333333,0.20434246237355042,-0.16475912904021708,5.034752900104537e-09,5.801326303202505e-07
WBGene00012036,0.05304232804232804,0.24004441154700218,-0.18700208350467415,5.025885589631526e-09,5.801326303202505e-07
WBGene00009556,0.4253306878306879,0.9393042190969653,-0.5139735312662774,5.261539630117818e-09,6.00109309386382e-07
WBGene00010192,1.9563492063492063,5.771074923924664,-3.814725717575458,5.2443736691227636e-09,6.00109309386382e-07
WBGene00219729,0.0,0.05686322888395425,-0.05686322888395425,5.349650594894443e-09,6.070772687711275e-07
WBGene00011034,1.4988425925925926,3.122139978616663,-1.6232973860240705,5.410221397530108e-09,6.098456881350813e-07
WBGene00000066,90.95056216931216,230.42838226827863,-139.47782009896645,5.428329593084528e-09,6.098456881350813e-07
WBGene00119204,0.0,0.04991364421416235,-0.04991364421416235,5.470331762978697e-09,6.115068874744693e-07
