gene,mean_hub,mean_control,effect_size,pval,qval
WBGene00013751,0.21772151898734177,3.244918998527246,-3.0271974795399044,1.2468377570925193e-07,2.4813026188987283e-05
WBGene00003620,2.7403656821378335,8.69585174275896,-5.955486060621126,1.2589278497238642e-07,2.4813026188987283e-05
WBGene00012928,0.59873417721519,1.3121011291114384,-0.7133669518962484,1.2884091602491547e-07,2.517327427968544e-05
WBGene00015324,0.22827004219409275,0.6135084274259532,-0.3852383852318605,1.338862536062743e-07,2.5933536485167042e-05
WBGene00001714,0.04528832630098453,0.1518818523973163,-0.10659352609633177,1.38617590917372e-07,2.639490381629179e-05
WBGene00000677,0.2052039381153305,0.7629684176075928,-0.5577644794922623,1.3804395507562044e-07,2.639490381629179e-05
WBGene00006524,0.7109704641350212,3.020880379643266,-2.309909915508245,1.4052063473286957e-07,2.653242135977182e-05
WBGene00015478,2.5071729957805906,10.736213385697923,-8.229040389917332,1.425936300148318e-07,2.6699468940027132e-05
WBGene00005418,0.0,0.049999999999999996,-0.049999999999999996,1.438368890107635e-07,2.6709678175064833e-05
WBGene00009026,0.09170182841068913,0.3985272459499264,-0.30682541753923726,1.485798637809077e-07,2.692291096204206e-05
WBGene00303423,0.26033755274261605,1.4499263622974965,-1.1895888095548806,1.4855613529704438e-07,2.692291096204206e-05
WBGene00010318,1.0160337552742615,5.634707903780068,-4.618674148505807,1.479089278696762e-07,2.692291096204206e-05
WBGene00003741,2.7714486638537275,73.09896907216495,-70.32752040831122,1.5611453867958005e-07,2.8061900556731873e-05
WBGene00004856,0.12390998593530238,0.4385861561119293,-0.3146761701766269,1.5747628632903885e-07,2.8082021250215664e-05
WBGene00022802,0.035021097046413506,0.12333496972672231,-0.0883138726803088,1.6245580545815847e-07,2.851733978780752e-05
WBGene00021084,0.012658227848101266,0.33991981672394045,-0.32726158887583917,1.6123429611456734e-07,2.851733978780752e-05
WBGene00018423,1.4149085794655414,4.100032727867779,-2.6851241484022377,1.668066934584037e-07,2.9054105390053275e-05
WBGene00175035,0.14894514767932485,0.31958762886597936,-0.1706424811866545,1.6931400001284055e-07,2.926397127914242e-05
WBGene00219352,0.0,0.03837342497136311,-0.03837342497136311,1.7271662804159043e-07,2.939977208686739e-05
WBGene00019069,1.1319268635724336,4.564367533955163,-3.432440670382729,1.7147490566565563e-07,2.939977208686739e-05
WBGene00008487,0.3791842475386779,0.9272459499263623,-0.5480617023876844,1.809259349571115e-07,3.056560024474691e-05
WBGene00004184,5.870182841068916,16.581484208803797,-10.711301367734881,1.8357780144093327e-07,3.078216134758455e-05
WBGene00200895,0.0,0.03367697594501718,-0.03367697594501718,1.9178642834322033e-07,3.145437414922495e-05
WBGene00000155,0.3721518987341773,0.8158239240713467,-0.44367202533716943,1.891065178983712e-07,3.145437414922495e-05
WBGene00004307,2.0426160337552735,6.345434462444771,-4.302818428689498,1.9175134972807787e-07,3.145437414922495e-05
WBGene00008020,0.07341772151898732,0.7445589919816724,-0.6711412704626851,1.976837654696263e-07,3.172683233097881e-05
WBGene00016867,0.5742616033755276,1.5143266241204385,-0.9400650207449109,1.9547432261649776e-07,3.172683233097881e-05
WBGene00006462,3.91012658227848,10.846318114874816,-6.936191532596336,1.9638413174159947e-07,3.172683233097881e-05
WBGene00012784,0.0,0.04086074292259859,-0.04086074292259859,2.03115900710363e-07,3.1935830605507474e-05
WBGene00006705,1.1350210970464139,2.9762068401243664,-1.8411857430779526,2.0230549116047496e-07,3.1935830605507474e-05
WBGene00000793,3.4631504922644174,10.23478154148257,-6.771631049218153,2.032499789304183e-07,3.1935830605507474e-05
WBGene00008595,0.0,0.0211340206185567,-0.0211340206185567,2.0513526663273118e-07,3.200139441939198e-05
WBGene00013872,0.0,0.09530355097365407,-0.09530355097365407,2.0651574127962245e-07,3.200139441939198e-05
WBGene00010740,0.01828410689170183,0.08717067583046964,-0.06888656893876781,2.2600507830237052e-07,3.3490373956912575e-05
WBGene00021975,0.0,0.07961053837342497,-0.07961053837342497,2.2378616839195202e-07,3.3490373956912575e-05
WBGene00011246,0.012658227848101266,0.09243986254295533,-0.07978163469485407,2.2314170800917488e-07,3.3490373956912575e-05
WBGene00045292,0.0,0.09160530191458027,-0.09160530191458027,2.2055871630603497e-07,3.3490373956912575e-05
WBGene00004223,0.011954992967651195,0.12382588774341352,-0.11187089477576233,2.2953925806064074e-07,3.3490373956912575e-05
WBGene00001855,0.049929676511955,0.36966944853542794,-0.3197397720234729,2.227387539945087e-07,3.3490373956912575e-05
WBGene00022277,0.2849507735583686,1.060783832433317,-0.7758330588749484,2.2858190485395262e-07,3.3490373956912575e-05
WBGene00003660,0.189873417721519,1.0032073310423826,-0.8133339133208636,2.2009938125390995e-07,3.3490373956912575e-05
WBGene00020163,2.9625879043600563,17.89882179675994,-14.936233892399883,2.2682833223677513e-07,3.3490373956912575e-05
WBGene00017488,0.0,0.022565864833906067,-0.022565864833906067,2.3216962777020252e-07,3.365560881528181e-05
WBGene00021492,0.04781997187060478,0.2167975781377843,-0.16897760626717953,2.437360474007285e-07,3.5105802878506216e-05
WBGene00008303,0.0,0.08204058255604646,-0.08204058255604646,2.490198372182237e-07,3.5638386767237384e-05
WBGene00019640,0.044444444444444446,0.16190476190476188,-0.11746031746031743,2.5209905854203736e-07,3.566069808893747e-05
WBGene00003656,0.9938115330520395,2.4333578792341677,-1.4395463461821283,2.523499486466268e-07,3.566069808893747e-05
WBGene00045488,0.0,0.048879070528555064,-0.048879070528555064,2.5555388648449903e-07,3.566484643118142e-05
WBGene00022416,0.03656821378340366,0.2279986908852888,-0.19143047710188513,2.550059942151723e-07,3.566484643118142e-05
WBGene00012866,0.005625879043600563,0.1254295532646048,-0.11980367422100424,2.587749994870497e-07,3.589145347823778e-05
WBGene00016417,0.010126582278481011,0.052004581901489114,-0.0418779996230081,2.6602794642862807e-07,3.622130172003813e-05
