Neuron,TotalStrength,AvgRelatedness,StrengthImbalance
PVPR ,838.0,7.651515151515151,838.0
PVQL,119.0,14.922348484848484,9.0
PVQL ,331.0,7.4523809523809526,331.0
PVQR,118.0,11.945767195767196,30.0
PVQR ,402.0,8.078125,402.0
PVR,166.0,17.37962962962963,96.0
PVR ,754.0,8.09433962264151,754.0
PVT,209.0,13.484126984126984,163.0
PVT ,498.0,7.043478260869565,498.0
PVWL ,130.0,8.15,130.0
PVWR ,145.0,7.285714285714286,145.0
RIAL,1166.0,15.441139593201449,86.0
RIAL ,824.0,8.314814814814815,824.0
RIAR,1247.0,15.579835953520163,155.0
RIAR ,925.0,8.296296296296296,925.0
RIBL,477.0,14.218245614035087,143.0
RIBL ,326.0,7.823529411764706,326.0
RIBR,448.0,13.721916971916972,166.0
RIBR ,299.0,7.85,299.0
RICL,223.0,15.988294898672258,21.0
RICL ,227.0,6.925,227.0
RICR,238.0,15.917347226133483,10.0
RICR ,219.0,7.142857142857143,219.0
RID,49.0,12.173913043478262,47.0
RID ,101.0,9.090909090909092,101.0
RIFL,137.0,14.95,81.0
RIFL ,125.0,6.571428571428571,125.0
RIFR,133.0,14.05861244019139,61.0
RIFR ,187.0,6.725,187.0
RIGL,333.0,14.579307568438004,39.0
RIGL ,554.0,7.7368421052631575,554.0
RIGR,335.0,13.999567099567098,3.0
RIGR ,526.0,7.2368421052631575,526.0
RIH,440.0,15.370728562217923,218.0
RIH ,550.0,7.285714285714286,550.0
RIML,563.0,14.114843991350014,55.0
RIML ,645.0,6.277777777777778,645.0
RIMR,585.0,14.190727699530516,57.0
RIMR ,636.0,7.304347826086956,636.0
RIPL,185.0,15.602564102564102,173.0
RIPL ,56.0,5.875,56.0
RIPR,184.0,15.361702127659575,178.0
RIPR ,42.0,7.8,42.0
RIR,321.0,14.543735224586289,81.0
RIR ,233.0,7.730769230769231,233.0
RIS,312.0,13.604830917874397,180.0
RIS ,479.0,6.884615384615385,479.0
RIVL,220.0,15.725400457665902,156.0
RIVL ,336.0,7.95,336.0
RIVR,232.0,15.166666666666666,128.0
RIVR ,390.0,8.035714285714286,390.0
RMDDL,616.0,13.777690494893951,14.0
RMDDL ,309.0,7.40625,309.0
RMDDR,635.0,13.955405405405404,33.0
RMDDR ,288.0,8.0,288.0
RMDL,532.0,14.897199453551913,26.0
RMDL ,399.0,8.274193548387096,399.0
RMDR,545.0,15.576151826211508,33.0
RMDR ,258.0,7.625,258.0
RMDVL,744.0,14.428571428571429,8.0
RMDVL ,462.0,6.933333333333334,462.0
RMDVR,695.0,14.637820512820513,7.0
RMDVR ,579.0,6.854166666666667,579.0
RMED,406.0,13.86734693877551,214.0
RMED ,312.0,8.5,312.0
RMEL,372.0,13.163461538461538,144.0
RMEL ,147.0,8.571428571428571,147.0
RMER,418.0,14.426724137931036,168.0
RMER ,261.0,6.928571428571429,261.0
RMEV,355.0,15.881118881118882,155.0
RMEV ,186.0,8.0,186.0
RMFL,215.0,15.846428571428572,31.0
RMFL ,119.0,7.0,119.0
RMFR,235.0,15.326375711574952,63.0
RMFR ,52.0,6.5,52.0
RMGL,250.0,14.347222222222221,150.0
RMGL ,286.0,7.724137931034483,286.0
RMGR,228.0,13.911616161616163,128.0
RMGR ,282.0,7.083333333333333,282.0
RMHL,141.0,15.666034155597723,27.0
RMHL ,99.0,6.3,99.0
RMHR,196.0,15.709649122807019,44.0
RMHR ,153.0,7.25,153.0
SAADL,177.0,15.326420890937019,17.0
SAADL ,237.0,8.416666666666666,237.0
SAADR,180.0,15.511217948717949,12.0
SAADR ,315.0,8.078947368421053,315.0
SAAVL,183.0,15.007246376811594,33.0
SAAVL ,600.0,8.36,600.0
SAAVR,212.0,15.34307992202729,48.0
SAAVR ,474.0,7.026315789473684,474.0
SABD ,1512.0,8.227272727272727,1512.0
SABVL ,768.0,7.857142857142857,768.0
SABVR ,753.0,6.833333333333333,753.0
SDQL,51.0,16.97142857142857,13.0
SDQL ,133.0,7.4,133.0
SDQR,59.0,18.289772727272727,39.0
SDQR ,285.0,8.125,285.0
SIADL ,450.0,6.7631578947368425,450.0
SIADR ,444.0,8.157894736842104,444.0
SIAVL,54.0,15.647058823529413,52.0
SIAVL ,234.0,7.333333333333333,234.0
SIAVR ,225.0,7.705882352941177,225.0
SIBDL,44.0,14.5,34.0
SIBDL ,204.0,7.5588235294117645,204.0
SIBDR,46.0,14.14,38.0
SIBDR ,198.0,7.714285714285714,198.0
SIBVL,40.0,16.0,36.0
SIBVL ,510.0,6.868421052631579,510.0
SIBVR,39.0,16.09090909090909,33.0
SIBVR ,519.0,6.7368421052631575,519.0
SMBDL,274.0,15.573717948717949,126.0
SMBDL ,651.0,7.519230769230769,651.0
SMBDR,285.0,16.192857142857143,127.0
SMBDR ,777.0,7.446428571428571,777.0
SMBVL,320.0,15.132407407407406,110.0
SMBVL ,441.0,7.041666666666667,441.0
SMBVR,326.0,15.86,128.0
SMBVR ,504.0,6.944444444444445,504.0
SMDDL,391.0,15.385059931506849,113.0
SMDDL ,639.0,7.185714285714286,639.0
SMDDR,386.0,15.305315765561108,96.0
SMDDR ,534.0,7.129032258064516,534.0
SMDVL,340.0,15.206784083496412,130.0
SMDVL ,1146.0,7.361111111111111,1146.0
SMDVR,338.0,16.11085972850679,106.0
