hub_def,PC,n_hubs,n_controls,mean_hub,mean_control,effect_size,t_stat,pval,qval
cycle,PC27,20,32,-47.5569714285351,-266.16930031465165,218.61232888611656,0.6087607593733513,0.5460744898891983,0.8862548594675778
cycle,PC28,20,32,168.8553982113468,-28.559580044375735,197.41497825572253,0.552109367719845,0.5849653552109325,0.8862548594675778
cycle,PC29,20,32,-244.0574803989103,22.92713667071396,-266.9846170696242,-1.3125297808506478,0.2005610637552349,0.8862548594675778
cycle,PC30,20,32,386.928901369096,-174.512728862621,561.441630231717,1.2866640846294333,0.20817171603974538,0.8862548594675778
cycle,PC31,20,32,-30.34364640258458,19.795709384341034,-50.13935578692561,-0.3746418211787061,0.7101209504499456,0.8862548594675778
cycle,PC32,20,32,33.01129162159848,192.7771120672988,-159.7658204457003,-0.8090791725660128,0.4226237128811531,0.8862548594675778
cycle,PC33,20,32,310.933190487746,-209.371326807424,520.30451729517,1.2518230921798517,0.22418537184366555,0.8862548594675778
cycle,PC34,20,32,251.15034207070545,39.58307113164766,211.56727093905778,0.6503382739710785,0.5194817660938555,0.8862548594675778
cycle,PC35,20,32,-12.940823390112715,434.4253007924325,-447.3661241825452,-1.2268662810194368,0.22867449111282204,0.8862548594675778
cycle,PC36,20,32,-257.1215431167192,2.4998024093985762,-259.62134552611775,-1.0912798407930615,0.28040590997480114,0.8862548594675778
cycle,PC37,20,32,237.23140288332314,-84.7775975486984,322.00900043202154,0.9940805789944115,0.32820515176086984,0.8862548594675778
cycle,PC38,20,32,3.602591208715245,90.09655809220416,-86.49396688348892,-0.45417692613122934,0.6517129594957773,0.8862548594675778
cycle,PC39,20,32,-110.91641962173942,15.611432629578218,-126.52785225131764,-0.5682488096572811,0.5724522469182256,0.8862548594675778
cycle,PC40,20,32,216.1017279984168,-333.3668696241097,549.4685976225265,3.371795138073323,0.001590189152419213,0.07950945762096065
cycle,PC41,20,32,-13.052652856253895,-28.632838896323747,15.580186040069853,0.09717844392006977,0.9230224189359051,0.9333932163514259
cycle,PC42,20,32,-30.89123218151907,399.86502551066724,-430.7562576921863,-2.5836445743710557,0.013388027478211578,0.33470068695528943
cycle,PC43,20,32,-156.03198166519783,-179.20922779937783,23.177246134179995,0.1308365696858873,0.8964299652200917,0.9333932163514259
cycle,PC44,20,32,-75.93550929711685,-119.31294302468132,43.377433727564465,0.3263296203274992,0.7457119912032357,0.8862548594675778
cycle,PC45,20,32,-2.171985624982831,120.00026149621073,-122.17224712119355,-0.7752470304969722,0.44188163775961076,0.8862548594675778
cycle,PC46,20,32,164.76254153166764,87.61743709283081,77.14510443883682,0.4392667798038117,0.66253957397356,0.8862548594675778
cycle,PC47,20,32,76.54583636155934,-77.62514319215884,154.17097955371818,1.1950794241680622,0.23770844644613087,0.8862548594675778
cycle,PC48,20,32,40.3258772088535,-115.81922288484235,156.14510009369585,1.9678950342786068,0.0554742871934686,0.7412461929717731
cycle,PC49,20,32,-114.01666099236184,56.802972895602444,-170.81963388796427,-1.106001332134682,0.2748120198493974,0.8862548594675778
cycle,PC50,20,32,130.5949943124132,-155.0640653686911,285.6590596811043,1.9320944979665955,0.05929969543774185,0.7412461929717731
