cycle_id,size,label,a,b,c,d,N,n,K,coverage,jaccard,overlap,odds_ratio,risk_ratio,phi,exp,var,z,fisher_p,hypergeom_p,chi2,chi2_p,cov_ci_low,cov_ci_high,qval,reject_0.05
15,123,NPR10,32,4,91,52,179,36,123,0.8888888888888888,0.25196850393700787,0.8888888888888888,4.143897996357013,1.3823659725299071,0.218311952571815,24.737430167597765,6.217354239599614,2.9126447323966365,0.00200033673173281,0.00200033673173281,7.396920343376137,0.006533563710122278,0.7468519140963513,0.9559335969968435,0.01577624063894933,True
288,74,NPR10,23,13,51,92,179,36,74,0.6388888888888888,0.26436781609195403,0.6388888888888888,3.1265731751168646,1.7759118341642612,0.22973958688105492,14.88268156424581,7.0134788678410285,3.0651083903982,0.002061130508997727,0.002061130508997727,8.319625138375137,0.003921901281106254,0.4757507548555804,0.7752440705348462,0.015954676902982405,True
383,79,NPR10,24,12,55,88,179,36,79,0.6666666666666666,0.26373626373626374,0.6666666666666666,3.1254054054054055,1.7180423666910152,0.22768467578461893,15.888268156424582,7.130821500121509,3.037692456867905,0.002132690622508886,0.002132690622508886,8.170721793150589,0.004257196227959946,0.5033399787115652,0.7978538117569468,0.016208448731067533,True
295,137,NPR10,34,2,103,40,179,36,137,0.9444444444444444,0.2446043165467626,0.9444444444444444,5.4,1.2972972972972974,0.21203209816214455,27.553072625698324,5.193765431860653,2.8288610244911916,0.00218712156758571,0.00218712156758571,6.847561898428685,0.008876232167076394,0.8185534279135275,0.9846300133358382,0.016325300272336193,True
407,52,NPR10,18,18,34,109,179,36,52,0.5,0.2571428571428571,0.5,3.1739130434782608,2.0869565217391304,0.2315319700447068,10.458100558659218,5.96100571984841,3.0890217644418394,0.0024770569004336157,0.0024770569004336157,8.365523589280023,0.0038240642487470497,0.34474325409626827,0.6552567459037317,0.01816508393651318,True
208,124,NPR10,32,4,92,51,179,36,124,0.8888888888888888,0.25,0.8888888888888888,4.021021021021021,1.3674214755295835,0.21332198563015106,24.93854748603352,6.1559750165605935,2.8460702697698603,0.00252065792394891,0.00252065792394891,7.032927821811619,0.008002441401182508,0.7468519140963513,0.9559335969968435,0.018166120900183522,True
371,32,NPR10,13,23,19,124,179,36,32,0.3611111111111111,0.23636363636363636,0.40625,3.6677577741407528,2.6943866943866945,0.23877284876450286,6.435754189944134,4.245998017287541,3.18562713585044,0.002598764983889709,0.002598764983889709,8.709772979583246,0.003165086208022288,0.22475592946515371,0.5242492451444196,0.01841158920789658,True
186,118,NPR10,31,5,87,56,179,36,118,0.8611111111111112,0.25203252032520324,0.8611111111111112,3.6981818181818182,1.4010810810810812,0.21372341564211123,23.731843575418996,6.497171285806914,2.8514260141346903,0.0026590764511379775,0.0026590764511379775,7.090053093343939,0.007751295082188714,0.713404696106438,0.9391818499086717,0.01852489927626124,True
232,138,NPR10,34,2,104,39,179,36,138,0.9444444444444444,0.24285714285714285,0.9444444444444444,5.216267942583732,1.2848829690934955,0.20715292164038215,27.75418994413408,5.107112411099683,2.763764690428264,0.0027776083492344304,0.0027776083492344304,6.500700260277408,0.010783201415263748,0.8185534279135275,0.9846300133358382,0.019033447376721177,True
346,97,NPR10,27,9,70,73,179,36,97,0.75,0.25471698113207547,0.75,3.0179171332586785,1.5181138585393905,0.2095640174047093,19.508379888268156,7.179563824299555,2.7959327201423556,0.003888248759478813,0.003888248759478813,6.84684685460239,0.00887978548892412,0.5892954623327166,0.8624952233700517,0.02621432228164748,True
209,120,NPR10,31,5,89,54,179,36,120,0.8611111111111112,0.248,0.8611111111111112,3.4875571356018282,1.3697720066435148,0.20357103510871613,24.134078212290504,6.390660281121555,2.715976363606958,0.00414591161889963,0.00414591161889963,6.376904221210365,0.011561492419289646,0.713404696106438,0.9391818499086717,0.02750779455079437,True
402,140,NPR10,34,2,106,37,179,36,140,0.9444444444444444,0.23943661971830985,0.9444444444444444,4.859154929577465,1.2607537114579368,0.19729500676537778,28.156424581005588,4.928390555780182,2.632243701793202,0.00443544996910447,0.00443544996910447,5.826285991430223,0.015788421857276903,0.8185534279135275,0.9846300133358382,0.028969032610713565,True
65,98,NPR10,27,9,71,72,179,36,98,0.75,0.2523364485981308,0.75,2.935222672064777,1.4968814968814967,0.2041435652819452,19.70949720670391,7.165121654172726,2.723614868844756,0.004828196078555297,0.004828196078555297,6.4716247095546,0.010961028165460126,0.5892954623327166,0.8624952233700517,0.031049014782094063,True
108,115,NPR10,30,6,85,58,179,36,115,0.8333333333333334,0.24793388429752067,0.8333333333333334,3.210526315789474,1.3883357041251778,0.19982367189094016,23.12849162011173,6.643398258341051,2.6659803024291278,0.005094320994424744,0.005094320994424744,6.145075988511791,0.013177850311296363,0.6810920568872054,0.9212955240498188,0.03153898375162788,True
