Unnamed: 0	pearson_r_strict	spearman_r_strict	abs_pearson_strict	abs_spearman_strict	rank_p_strict	rank_s_strict	rank_product_strict	gold_strict	gold_umbrella	gold_union	variance_var_bulk	variance_var_aggr	dynamic_range_dyn_bulk	meta_rank_product	meta_score_mean	tier
WBGene00000061	0.9605407700434774	0.2592148160842932	0.9605407700434774	0.2592148160842932	1136.0	5182.0	2426.2629700838283	True	True	True	6887389.820917786		9427.851943662949	7344.442164008528	691290.8817506714	Low
WBGene00000062	-0.26474920253094	-0.3410989819032546	0.26474920253094	0.3410989819032546	4751.0	3094.0	3834.0049556566814	True	True	True	4063710.589751027		4938.341098981903	3518.3161166126406	408384.6251922279	Very Low
WBGene00000063	-0.1075110523032119	0.1566347560821921	0.1075110523032119	0.1566347560821921	11398.0	8976.0	10114.763862789878	True	True	True	26633077.14551399		11398.117607789683	8452.995959879561	2668341.7336213957	Medium
WBGene00000064	-0.1558322619191711	0.0030790291162366	0.1558322619191711	0.0030790291162366	8107.0	17571.0	11935.162210879247	True	True	True	44689165.54847407		17571.15583226192	6812.084446117091	4475116.19571214	Very High
WBGene00000065	-0.1442417616883664	0.0502994196012577	0.1442417616883664	0.0502994196012577	8823.0	14765.5	11413.851519097312	True	True	True	38748993.75152359		16162.149726781272	7854.335901046865	3880801.2689269357	High
WBGene00000066	-0.1539629692951515	0.0324786324786324	0.1539629692951515	0.0324786324786324	8223.0	15827.5	11408.309800316609	True	True	True	41506718.605825216		17405.662239075584	7345.73810174805	4156692.888092363	High
WBGene00000067	-0.1110393232781029	0.0004968349949308	0.1110393232781029	0.0004968349949308	11151.0	17700.0	14048.939461752976	True	True	True	49045890.89747629		17700.111039323278	7049.030565833113	4911353.997953688	Very High
WBGene00000068	0.0794008306062269	0.2246578636030861	0.0794008306062269	0.2246578636030861	13403.0	6296.0	9186.146526155568	True	True	True	26431574.58135884		13402.920599169394	9170.724749440658	2648303.398135099	Medium
WBGene00000069	0.0623855555337013	0.3401760013600828	0.0623855555337013	0.3401760013600828	14531.0	3129.0	6742.95921684241	True	True	True	26383216.254724883		14600.937614444469	8894.021802279034	2643111.497848156	Medium
WBGene00000070	-0.0127943157884495	0.1716190972348551	0.0127943157884495	0.1716190972348551	17167.0	8360.0	11979.821367616463	True	True	True	46872993.92813856		17401.01279431579	8117.499683206304	4693601.96052219	Very High
WBGene00000071	0.4019371535873495	0.3004785732866057	0.4019371535873495	0.3004785732866057	3720.0	4109.0	3909.664947281288	True	True	True	2952049.298346598		4108.6995214267135	6938.832257921185	297483.6899904681	Very Low
WBGene00000072	0.4398576677318037	0.4808806183869146	0.4398576677318037	0.4808806183869146	3539.0	1151.0	2018.2638578738904	True	True	True	1723026.5705452594		3643.560142332268	6161.284686528436	173954.1520708566	Very Low
WBGene00000073	-0.0204074884464986	0.1533195257133366	0.0204074884464986	0.1533195257133366	16818.0	9107.0	12375.844456036122	True	True	True	46253399.45185408		16818.025410237013	8390.127745466049	4631690.875610488	Very High
WBGene00000074	-0.0589918770796054	0.3517125220893504	0.0589918770796054	0.3517125220893504	14748.0	2827.0	6456.980408828882	True	True	True	26361684.98711586		15082.05899187708	8452.70959503144	2640925.243953664	Medium
WBGene00000075	-0.0946677277283195	-0.0305753651817891	0.0946677277283195	0.0305753651817891	12335.0	15911.0	14009.360620670735	True	True	True	52064450.83671226		16736.09743413449	7451.601965662906	5213089.389673273	Very High
WBGene00000079	-0.1329615741115902	0.0929937670433315	0.1329615741115902	0.0929937670433315	9561.0	12406.0	10890.99472041007	True	True	True	32440398.58647265		13093.132961574112	8236.50554132277	3249458.6405683495	High
WBGene00000081	-0.1613669714168098	0.1634169099098992	0.1613669714168098	0.1634169099098992	7798.0	8691.0	8232.400500461576	True	True	True	20820990.05404365		11770.16593879582	7800.231531001495	2086528.2178847727	Medium
WBGene00000082	0.0039157303254634	0.1965012658218089	0.0039157303254634	0.1965012658218089	17596.0	7330.0	11356.87809215191	True	True	True	45481409.48242816		17657.00544463844	7670.033037247356	4554301.979983619	Very High
WBGene00000083	-0.180113551356987	-0.1373660886465937	0.180113551356987	0.1373660886465937	6827.0	9962.5	8247.059324389513	True	True	True	17264715.408143677		9962.684703292816	6430.309593666811	1730614.496176503	Low
WBGene00000084	0.0889125932708019	0.0423356982945357	0.0889125932708019	0.0423356982945357	12754.0	15217.0	13931.174322360625	True	True	True	54884746.15939621		16768.981501351962	7823.874508799031	5495124.14522253	Very High
WBGene00000085	0.667458658396304	0.7093115642458749	0.667458658396304	0.7093115642458749	2573.0	171.0	663.3121437151592	True	True	True	796465.8837599833		2724.344980773892	4039.8369904786414	80664.01314153963	Very Low
WBGene00000086	-0.0030447868929468	0.2183437153519428	0.0030447868929468	0.2183437153519428	17629.0	6523.0	10723.524000998925	True	True	True	42557684.79882809		17820.003044786892	7440.629680714354	4261782.139224202	High
WBGene00000088	0.0318709337852744	0.0734127129175759	0.0318709337852744	0.0734127129175759	16252.0	13401.0	14757.813252646883	True	True	True	58649907.054468654		16251.968129066216	7471.113002693794	5871804.115942037	Very High
WBGene00000089	-0.2171071893652741	-0.105317149769705	0.2171071893652741	0.105317149769705	5613.0	11663.0	8091.008527989573	True	True	True	23628206.72357738		13634.717107189364	6529.220567288677	2367373.766977985	Medium
WBGene00000090	-0.0790639142594761	-0.0461364564526742	0.0790639142594761	0.0461364564526742	13427.0	14995.0	14189.35745550164	True	True	True	46284247.52292		14995.094023052034	7721.096497743027	4634957.507089629	Very High
WBGene00000092	0.9479521305862172	0.4850154179526262	0.9479521305862172	0.4850154179526262	1235.0	1113.0	1172.4141759634265	True	True	True	351721.4667189904		1284.5162390008356	3781.76353235809	36031.10266014099	Very Low
WBGene00000093	0.3827127963200823	0.0191315568064743	0.3827127963200823	0.0191315568064743	3836.0	16618.0	7984.149798193919	True	True	True	31779853.062761582		16618.041885174553	8340.121383301088	3183325.0179516957	Medium
WBGene00000094	-0.1478708138247078	0.0760404725227188	0.1478708138247078	0.0760404725227188	8584.0	13281.0	10677.270437710193	True	True	True	33529785.25426723		14799.14964277256	8018.030358634053	3358514.4856787296	High
WBGene00000095	-0.0574346792208639	0.23291234666242	0.0574346792208639	0.23291234666242	14867.0	5966.0	9417.883095473208	True	True	True	31775011.68161144		15448.05743467922	8923.407146577963	3182963.4495112863	Medium
WBGene00000096	0.1569619081265204	0.1806169032882156	0.1569619081265204	0.1806169032882156	8054.0	7934.0	7993.774827952061	True	True	True	17593941.2569992		8808.852479847534	8771.140494495583	1763550.3699959118	Low
WBGene00000097	-0.0775289256154598	0.1589743589743589	0.0775289256154598	0.1589743589743589	13523.0	8908.0	10975.55848237346	True	True	True	32013498.32329091		14906.077528925616	8918.4634212133	3207072.9740672144	Medium
WBGene00000098	-0.3008724219533815	-0.307662019894817	0.3008724219533815	0.307662019894817	4395.0	3908.0	4144.352784211305	True	True	True	3889323.8891379545		4395.342463138825	3139.1770104745065	390930.57613957796	Very Low
WBGene00000099	0.0089475113947477	0.1466917443220891	0.0089475113947477	0.1466917443220891	17362.0	9488.0	12834.744095617956	True	True	True	49965862.28525427		17828.00220798931	7447.1505344489715	5003082.249337084	Very High
WBGene00000100	-0.1234917530421838	0.0825020351525215	0.1234917530421838	0.0825020351525215	10251.0	12902.0	11500.365298545956	True	True	True	34232982.871547125		13541.123491753042	8522.00370913701	3428969.9529050635	High
