Neuron	pearson_r_strict	spearman_r_strict	abs_pearson_strict	abs_spearman_strict	rank_p_strict	rank_s_strict	rank_product_strict	variance_var_bulk	variance_var_aggr	dynamic_range_dyn_bulk	meta_rank_product	meta_score_mean	meta_score_median	Type	LineageGroup	Functions	RichClubScore	TotalStrength	AvgRelatedness	StrengthImbalance	total_3node_motifs	as_source	as_target	MultifunctionalityScore	is_known_hub	literature_refs	is_novel_candidate
WBGene00008168	-0.0087274337739825	0.5069370187640444	0.0087274337739825	0.5069370187640444	17372.0	966.0	4096.5048516998	34144617.781974	0.1120914533412153	17372.008727433775	7044.923288264914	3108315.4858915354	966.0											0	False		True
WBGene00008184	0.992289983362761	-0.0169213399599906	0.992289983362761	0.0169213399599906	702.0	16730.0	3427.0191128734605	33479633.39324905	0.1120914533412153	17643.01692133996	6733.110147663267	3047715.5123729403	702.0											0	False		True
WBGene00008510	0.7257766112394057	-0.0059641734591755	0.7257766112394057	0.0059641734591755	2333.0	17433.0	6377.3967259376295	33042099.49439897	0.1120914533412153	17433.027461862544	7655.086909927149	3008484.779012852	2333.0											0	False		True
WBGene00008734	0.0200765778735155	0.3726964564729321	0.0200765778735155	0.3726964564729321	16831.0	2442.0	6411.02971448425	32591748.73931939	0.1120914533412153	16830.97992342213	8155.265045308346	2967492.719240012	2442.0											0	False		True
WBGene00009271	-0.003686511215723	0.4078862856112297	0.003686511215723	0.4078862856112297	17605.0	1971.0	5890.624330238688	34910466.72897536	0.1120914533412153	17605.01861676718	7639.10263784671	3178288.9456749307	1971.0											0	False		True
WBGene00010019	-0.0109364900455722	0.5071785440102085	0.0109364900455722	0.5071785440102085	17264.0	963.0	4077.4050571411226	34165855.20494357	0.1120914533412153	17462.010936490045	7024.30923604978	3110240.641511072	963.0											0	False		True
WBGene00010117	-0.0129887525921046	0.4062984260877703	0.0129887525921046	0.4062984260877703	17155.0	1992.0	5845.747172090151	34713576.60698176	0.1120914533412153	17518.01298875259	7755.295600668445	3160349.4170392347	1992.0											0	False		True
WBGene00010228	0.0173674302147294	0.491345231960871	0.0173674302147294	0.491345231960871	16967.0	1076.0	4272.761636225452	33669366.25024315	0.1120914533412153	17412.988848886675	7588.382986177873	3065153.1375664743	1076.0											0	False		True
WBGene00010231	-0.0162806566494648	0.4181282149431649	0.0162806566494648	0.4181282149431649	17018.0	1845.0	5603.410568573393	33152539.385863844	0.1120914533412153	17018.02792778544	8149.310890007301	3018379.462145281	1845.0											0	False		True
WBGene00010857	0.8328856541104543	-0.0070605262621475	0.8328856541104543	0.0070605262621475	1850.0	17379.0	5670.198409226965	35070908.74140031	0.1120914533412153	17564.007060526263	7195.580010010025	3192779.0277038943	1850.0											0	False		True
WBGene00011197	0.9963512102615482	0.01118140283762	0.9963512102615482	0.01118140283762	545.0	17150.0	3057.245492269144	34735040.42840776	0.1120914533412153	17861.00068793625	6150.635580151431	3161800.5852113445	545.0											0	False		True
WBGene00011315	0.0054391884242462	0.4316202152509936	0.0054391884242462	0.4316202152509936	17527.0	1676.0	5419.894094906284	35091338.44470884	0.1120914533412153	17526.994560811574	7419.014679671258	3194628.030386771	1676.0											0	False		True
WBGene00011328	0.8532946201659076	-0.0048153995177375	0.8532946201659076	0.0048153995177375	1742.0	17489.0	5519.586759894259	32103627.27290238	0.1120914533412153	17489.03382936404	7434.259104627369	2923027.54284336	1742.0											0	False		True
WBGene00011345	-0.0268563863983803	0.3568500061332731	0.0268563863983803	0.3568500061332731	16489.0	2723.0	6700.712424809768	32876907.94148082	0.1120914533412153	16941.026856386397	8307.056295094644	2993460.8693498704	2723.0											0	False		True
WBGene00011381	-0.0075175018856998	0.4685529794194922	0.0075175018856998	0.4685529794194922	17431.0	1283.0	4729.056248343849	35291951.54691834	0.1120914533412153	17723.007517501886	7200.946982031262	3212756.3278966937	1283.0											0	False		True
WBGene00011586	-0.0174535198102525	0.4417618317919616	0.0174535198102525	0.4417618317919616	16963.0	1585.0	5185.205396124632	32198058.91734483	0.1120914533412153	16963.030091392542	7987.434899403751	2931522.1439406243	1585.0											0	False		True
WBGene00011662	-0.0188348612870983	0.3745138194168483	0.0188348612870983	0.3745138194168483	16888.0	2420.0	6392.883543441098	32716075.62838931	0.1120914533412153	16888.0312776972	8300.017217196644	2978815.0383224306	2420.0											0	False		True
WBGene00011826	0.0055525227685162	0.4705426629421059	0.0055525227685162	0.4705426629421059	17522.0	1265.0	4708.007009340577	34297746.11552376	0.1120914533412153	17521.99444747723	7256.294586595033	3122365.497804454	1265.0											0	False		True
WBGene00011996	0.0164895755273871	0.5033451858937645	0.0164895755273871	0.5033451858937645	17002.0	997.0	4117.158486140654	32537963.996637568	0.1120914533412153	17001.983510424474	7482.480950329497	2962233.2519404944	997.0											0	False		True
WBGene00012128	0.0064680442709782	0.403214797862237	0.0064680442709782	0.403214797862237	17480.0	2019.0	5940.717128428183	34436928.82757841	0.1120914533412153	17479.99353195573	7654.864331317937	3135227.66672975	2019.0											0	False		True
